frame,x,y,rmag,f_x,f_y,f_rot_mag
0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.6329113924050633,0.6329113924050633,0.0,0.6329113924050633,0.6329113924050633,0.0
2.0,1.2658227848101267,1.2658227848101267,0.0,1.2658227848101267,1.2658227848101267,0.0
3.0,1.89873417721519,1.89873417721519,0.0,1.89873417721519,1.89873417721519,0.0
4.0,2.5316455696202533,2.5316455696202533,0.0,2.5316455696202533,2.5316455696202533,0.0
5.0,3.1645569620253164,3.1645569620253164,0.0,3.1645569620253164,3.1645569620253164,0.0
6.0,3.79746835443038,3.79746835443038,0.0,3.79746835443038,3.79746835443038,0.0
7.0,4.430379746835443,4.430379746835443,0.0,4.430379746835443,4.430379746835443,0.0
8.0,5.063291139240507,5.063291139240507,0.0,5.063291139240507,5.063291139240507,0.0
9.0,5.69620253164557,5.69620253164557,0.0,5.69620253164557,5.69620253164557,0.0
10.0,6.329113924050633,6.329113924050633,0.0,6.329113924050633,6.329113924050633,0.0
11.0,6.962025316455696,6.962025316455696,0.0,6.962025316455696,6.962025316455696,0.0
12.0,7.59493670886076,7.59493670886076,0.0,7.59493670886076,7.59493670886076,0.0
13.0,8.227848101265822,8.227848101265822,0.0,8.227848101265822,8.227848101265822,0.0
14.0,8.860759493670885,8.860759493670885,0.0,8.860759493670885,8.860759493670885,0.0
15.0,9.49367088607595,9.49367088607595,0.0,9.49367088607595,9.49367088607595,0.0
16.0,10.126582278481013,10.126582278481013,0.0,10.126582278481013,10.126582278481013,0.0
17.0,10.759493670886076,10.759493670886076,0.0,10.759493670886076,10.759493670886076,0.0
18.0,11.39240506329114,11.39240506329114,0.0,11.39240506329114,11.39240506329114,0.0
19.0,12.025316455696203,12.025316455696203,0.0,12.025316455696203,12.025316455696203,0.0
20.0,12.658227848101266,12.658227848101266,0.0,12.658227848101266,12.658227848101266,0.0
21.0,13.291139240506327,13.291139240506327,0.0,13.291139240506327,13.291139240506327,0.0
22.0,13.924050632911392,13.924050632911392,0.0,13.924050632911392,13.924050632911392,0.0
23.0,14.556962025316455,14.556962025316455,0.0,14.556962025316455,14.556962025316455,0.0
24.0,15.18987341772152,15.18987341772152,0.0,15.18987341772152,15.18987341772152,0.0
25.0,15.822784810126583,15.822784810126583,0.0,15.822784810126583,15.822784810126583,0.0
26.0,16.455696202531644,16.455696202531644,0.0,16.455696202531644,16.455696202531644,0.0
27.0,17.088607594936708,17.088607594936708,0.0,17.088607594936708,17.088607594936708,0.0
28.0,17.72151898734177,17.72151898734177,0.0,17.72151898734177,17.72151898734177,0.0
29.0,18.354430379746837,18.354430379746837,0.0,18.354430379746837,18.354430379746837,0.0
30.0,18.9873417721519,18.9873417721519,0.0,18.9873417721519,18.9873417721519,0.0
31.0,19.62025316455696,19.62025316455696,0.0,19.62025316455696,19.62025316455696,0.0
32.0,20.253164556962027,20.253164556962027,0.0,20.253164556962027,20.253164556962027,0.0
33.0,20.88607594936709,20.88607594936709,0.0,20.88607594936709,20.88607594936709,0.0
34.0,21.518987341772153,21.518987341772153,0.0,21.518987341772153,21.518987341772153,0.0
35.0,22.151898734177212,22.151898734177212,0.0,22.151898734177212,22.151898734177212,0.0
36.0,22.78481012658228,22.78481012658228,0.0,22.78481012658228,22.78481012658228,0.0
37.0,23.417721518987342,23.417721518987342,0.0,23.417721518987342,23.417721518987342,0.0
38.0,24.050632911392405,24.050632911392405,0.0,24.050632911392405,24.050632911392405,0.0
39.0,24.68354430379747,24.68354430379747,0.0,24.68354430379747,24.68354430379747,0.0
40.0,25.31645569620253,25.31645569620253,0.0,25.31645569620253,25.31645569620253,0.0
41.0,25.949367088607595,25.949367088607595,0.0,25.949367088607595,25.949367088607595,0.0
42.0,26.582278481012654,26.582278481012654,0.0,26.582278481012654,26.582278481012654,0.0
43.0,27.21518987341772,27.21518987341772,0.0,27.21518987341772,27.21518987341772,0.0
44.0,27.848101265822784,27.848101265822784,0.0,27.848101265822784,27.848101265822784,0.0
45.0,28.48101265822785,28.48101265822785,0.0,28.48101265822785,28.48101265822785,0.0
46.0,29.11392405063291,29.11392405063291,0.0,29.11392405063291,29.11392405063291,0.0
47.0,29.746835443037973,29.746835443037973,0.0,29.746835443037973,29.746835443037973,0.0
48.0,30.37974683544304,30.37974683544304,0.0,30.37974683544304,30.37974683544304,0.0
49.0,31.0126582278481,31.0126582278481,0.0,31.0126582278481,31.0126582278481,0.0
50.0,31.645569620253166,31.645569620253166,0.0,31.645569620253166,31.645569620253166,0.0
51.0,32.278481012658226,32.278481012658226,0.0,32.278481012658226,32.278481012658226,0.0
52.0,32.91139240506329,32.91139240506329,0.0,32.91139240506329,32.91139240506329,0.0
53.0,33.54430379746836,33.54430379746836,0.0,33.54430379746836,33.54430379746836,0.0
54.0,34.177215189873415,34.177215189873415,0.0,34.177215189873415,34.177215189873415,0.0
55.0,34.810126582278485,34.810126582278485,0.0,34.810126582278485,34.810126582278485,0.0
56.0,35.44303797468354,35.44303797468354,0.0,35.44303797468354,35.44303797468354,0.0
57.0,36.075949367088604,36.075949367088604,0.0,36.075949367088604,36.075949367088604,0.0
58.0,36.708860759493675,36.708860759493675,0.0,36.708860759493675,36.708860759493675,0.0
59.0,37.34177215189873,37.34177215189873,0.0,37.34177215189873,37.34177215189873,0.0
60.0,37.9746835443038,37.9746835443038,0.0,37.9746835443038,37.9746835443038,0.0
61.0,38.607594936708864,38.607594936708864,0.0,38.607594936708864,38.607594936708864,0.0
62.0,39.24050632911392,39.24050632911392,0.0,39.24050632911392,39.24050632911392,0.0
63.0,39.87341772151899,39.87341772151899,0.0,39.87341772151899,39.87341772151899,0.0
64.0,40.50632911392405,40.50632911392405,0.0,40.50632911392405,40.50632911392405,0.0
65.0,41.139240506329116,41.139240506329116,0.0,41.139240506329116,41.139240506329116,0.0
66.0,41.77215189873418,41.77215189873418,0.0,41.77215189873418,41.77215189873418,0.0
67.0,42.405063291139236,42.405063291139236,0.0,42.405063291139236,42.405063291139236,0.0
68.0,43.037974683544306,43.037974683544306,0.0,43.037974683544306,43.037974683544306,0.0
69.0,43.67088607594937,43.67088607594937,0.0,43.67088607594937,43.67088607594937,0.0
70.0,44.303797468354425,44.303797468354425,0.0,44.303797468354425,44.303797468354425,0.0
71.0,44.936708860759495,44.936708860759495,0.0,44.936708860759495,44.936708860759495,0.0
72.0,45.56962025316456,45.56962025316456,0.0,45.56962025316456,45.56962025316456,0.0
73.0,46.20253164556962,46.20253164556962,0.0,46.20253164556962,46.20253164556962,0.0
74.0,46.835443037974684,46.835443037974684,0.0,46.835443037974684,46.835443037974684,0.0
75.0,47.46835443037975,47.46835443037975,0.0,47.46835443037975,47.46835443037975,0.0
76.0,48.10126582278481,48.10126582278481,0.0,48.10126582278481,48.10126582278481,0.0
77.0,48.734177215189874,48.734177215189874,0.0,48.734177215189874,48.734177215189874,0.0
78.0,49.36708860759494,49.36708860759494,0.0,49.36708860759494,49.36708860759494,0.0
79.0,50.0,50.0,0.0,50.0,50.0,0.0
