,JA_diff_l_prox_-0.003041550610151832,JV_l_prox_-0.7312707887954343,JA_diff_r_prox_-0.0009301223997788374,JV_r_prox_-0.21755824405140015,JA_diff_l_distal_0.0019291807764027118,JV_l_distal_0.4562064179035029,JA_diff_r_distal_-0.001611261686573612,JV_r_distal_-0.3802557706186004,EUC_dist_l_prox_0.0,EUC_dist_l_distal_0.00024011161671528726,EUC_dist_r_prox_0.0,EUC_dist_r_distal_0.000183964770457143,EUC_dist_cube_controller_0.00030668213751034113,EUC_dist_cube_human_0.000271667719348636
59,,-1.0130761806973148,,1.0130773772767077,,-1.018735732089605,,1.0187506418989196,0.0,0.0,0.0,0.0,0.0,0.0
60,-0.02287971731375027,-5.491132155300077,0.02287968054555578,5.491123330933392,0.00042490648277515586,0.1019775558660422,-0.00042491269178890345,-0.1019790460293434,0.0,0.000303919872546343,0.0,0.0003039258481763996,6.005261397463897e-06,0.0
61,-0.019535433567848925,-4.68850405628373,0.0195658739547121,4.6958097491309045,0.019789349277164803,4.749443826519566,-0.019172243377312603,-4.601338410555013,0.0,0.0016473022595629556,0.0,0.001647300592881931,0.0003789668361846425,0.0
62,-0.018478127676705647,-4.434750642409365,0.018542082950944505,4.450099908226674,0.029736041388893963,7.136649933334551,-0.028661209044281155,-6.878690170627483,0.0,0.0014065296414427148,0.0,0.0014087198601575425,0.0004960626209704694,0.0
63,0.002307817457693595,0.5538761898464655,-0.0022881511174104308,-0.5491562681785016,-0.002973604138889363,-0.7136649933334551,0.002855760778723515,0.6853825868936365,0.0,0.001330405958323881,0.0,0.001335012150887428,0.0004124253530204325,0.0
64,0.0003464783821085504,0.0831548117060627,-0.00028170508189895305,-0.0676092196557378,0.0002973604138889474,0.0713664993333446,-0.00028832693548486166,-0.0691984645163686,0.0,0.0001661644974674542,0.0,0.00016474704205568437,0.0003270893857711876,0.0
65,0.0002511793010951946,0.0602830322628538,-0.00017992729036442334,-0.0431825496874705,4.145300042202038e-05,0.0099487201012819,-9.363192167211043e-05,-0.0224716612012943,0.0,2.4944602811067414e-05,0.0,2.028061724293573e-05,0.00023615158954002504,0.0
66,0.0003622434489135573,0.0869384277392617,-0.00028933101415140605,-0.0694394433963347,-4.1453000422242425e-06,-0.0009948720101284,2.369073880736927e-06,0.0005685777313749,0.0,1.8087979691137773e-05,0.0,1.2958943710192704e-05,0.0001564862357345582,0.0
67,0.0004055673527537662,0.0973361646608985,-0.00032453408156307706,-0.0778881795751341,4.14530004211322e-07,9.948720101338182e-05,-2.075014324876001e-05,-0.0049800343797131,0.0,2.6083146170405363e-05,0.0,2.0832261692208457e-05,7.770604484848099e-05,0.0
68,0.0004354257558569774,0.1045021814056719,-0.0003460757252857771,-0.0830581740685856,-4.145300036562105e-08,-9.948720101071729e-06,-3.1041001521958655e-05,-0.0074498403652803,0.0,2.9197274935819613e-05,0.0,2.33657263606983e-05,1.0078640537471804e-05,0.0
69,0.0004511144594308014,0.108267470263387,-0.00035098502934505227,-0.0842364070428189,-8.385082506112695e-08,-2.012419800197284e-05,1.8788740674402504e-06,0.0004509297761854,0.0,3.135038319362698e-05,0.0,2.4913444760504427e-05,4.619576154679078e-05,0.0
70,0.00045132505218581365,0.1083180125245846,-0.00034751029914681375,-0.0834024717952299,-2.041852031897662e-08,-4.900444878415086e-06,-2.8820977315824337e-07,-6.917034556437303e-05,0.0,3.247862252058967e-05,0.0,2.5277065098675987e-05,9.713319415137154e-05,0.0
71,0.0004440545907700155,0.106573101784801,-0.000335878673514034,-0.0806108816433601,5.364818045361375e-07,0.0001287556330865,-8.577939684117908e-07,-0.0002058705524307,0.0,3.249712744798567e-05,0.0,2.501661777037348e-05,0.00014815369660732848,0.0
72,0.00042914457721443533,0.1029946985314751,-0.000316610806249229,-0.0759865934998043,3.2142763672915464e-08,7.714263279125742e-06,-2.6345333581367925e-08,-6.322880060416806e-06,0.0,3.197215591866756e-05,0.0,2.4187960784933692e-05,0.000199171725302332,0.0
73,0.0004062123092670733,0.0974909542241082,-0.0002893982018725705,-0.0694555684494062,1.2414516847858437e-07,2.979484043245622e-05,-1.4862949460070496e-07,-3.567107870303386e-05,0.0,3.089338839884962e-05,0.0,2.2793050404120226e-05,0.0002501607306174258,0.00015231546211727818
74,0.00034091697029514645,0.0818200728708244,-0.000269068505295067,-0.064576441270824,3.512537520844461e-07,8.430090049850794e-05,-9.887985052969839e-08,-2.373116411450685e-05,0.0,2.925050213460093e-05,0.0,2.0838116486916886e-05,0.0003011114609586078,1.0000000000000026e-05
75,0.00035787067027615027,0.0858889608662733,-0.0001729203309830396,-0.04150087943592,-3.512537516403569e-08,-8.430090050026693e-06,-2.5254478224989718e-05,-0.0060610747740039,0.0,2.4543105906354984e-05,0.0,1.936884578629207e-05,0.00013618130183945144,1.4142135623730944e-05
76,0.0003028757452202546,0.0726901788528664,-0.00012657812141381175,-0.0303787491393027,3.512537483096878e-09,8.430090039368565e-07,7.10432622352819e-06,0.0017050382936393,0.0,2.5772596477160466e-05,0.0,1.2450330376216735e-05,4.660282577715255e-05,0.0
77,0.0002922005716927689,0.0701281372062698,-9.761517920947593e-05,-0.0234276430102681,-3.512536927985366e-10,-8.430089959432507e-08,-2.1672515963633288e-05,-0.0052014038312752,0.0,2.1802946287426343e-05,0.0,9.110966480933075e-06,3.2913876286439474e-06,0.0
