,Phase,human_cube_pos,human_cube_orn,Cube_Pos,Cube_Orn,Cube_pos_in_start_pos,b'l_prox_pin'_link_pos,b'l_prox_pin'_link_orn,b'l_distal_pin'_link_pos,b'l_distal_pin'_link_orn,b'r_prox_pin'_link_pos,b'r_prox_pin'_link_orn,b'r_distal_pin'_link_pos,b'r_distal_pin'_link_orn,b'l_prox_pin'_joint_angle,b'l_prox_pin'_joint_vel,b'l_prox_pin'_joint_react_forces,b'l_prox_pin'_joint_motor_torque,b'l_distal_pin'_joint_angle,b'l_distal_pin'_joint_vel,b'l_distal_pin'_joint_react_forces,b'l_distal_pin'_joint_motor_torque,b'r_prox_pin'_joint_angle,b'r_prox_pin'_joint_vel,b'r_prox_pin'_joint_react_forces,b'r_prox_pin'_joint_motor_torque,b'r_distal_pin'_joint_angle,b'r_distal_pin'_joint_vel,b'r_distal_pin'_joint_react_forces,b'r_distal_pin'_joint_motor_torque,in_contact_l,contact_point_l_dist,contact_normal_l_dist,contact_distance_l_dist,contact_norm_force_l_dist,in_contact_r,contact_point_r_dist,contact_normal_r_dist,contact_distance_r_dist,contact_norm_force_r_dist
94,Move,"(0.03240506329113924, 0.0, 0.0)","(0.0, -0.0, 0.0)","(0.009318382252693328, 0.17358227378584784, 0.0009383190275233399)","(1.5702545760427102, 0.0017629344924006394, -0.11258553256485017)","[0.009318303691228323, 0.003583211409329018, 2.3429344435605196e-05]","[-0.026750000193715096, 0.05299999937415123, 0.03999999910593033]","[0.0, -0.0, 0.5073077316457152]","[-0.06172945722937584, 0.11593201011419296, 0.03999999910593033]","[0.0, 0.0, -0.3063329169650575]","[0.026750000193715096, 0.05299999937415123, 0.03999999910593033]","[0.0, 0.0, -0.6636070506079871]","[0.07109928876161575, 0.10971984267234802, 0.03999999910593033]","[0.0, -0.0, 0.1524445022362825]",0.502406947480201,-1.176187298138893,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.8001063493387722,-0.8136217512918419,0.004536515506921268,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.450367119868266,-0.6683807661867107,-1.1456941669477454,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.02932787850620361,0.8160515231825435,0.0,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.0022058858367064605,True,"(-0.022108564524419096, 0.18489459916992992, 0.039996354569082085)","(0.9945254299547195, -0.1044312214177492, -0.0036454309179169754)",-3.596737236676381e-05,5.7197712029596195,True,"(0.042521580096834106, 0.18399581547353866, 0.04000364543091792)","(-0.9945254299547195, 0.10443122141774906, 0.0036454309179175643)",0.00048612586316408455,0.0
95,Move,"(0.033417721518987344, 0.0, 0.0)","(0.0, -0.0, 0.0)","(0.010010059118439996, 0.17365670800522712, 0.0008866859953997195)","(1.5703068347881883, -0.00017882332562821164, -0.12071792381415211)","[0.01000998055697499, 0.003657645628708295, -2.820368768801523e-05]","[-0.026750000193715096, 0.05299999937415123, 0.03999999910593033]","[0.0, -0.0, 0.5024069561576873]","[-0.06142062321305275, 0.1161026805639267, 0.03999999910593033]","[0.0, 0.0, -0.3112148204556578]","[0.026750000193715096, 0.05299999937415123, 0.03999999910593033]","[0.0, 0.0, -0.6683808465565665]","[0.07136955112218857, 0.1095074862241745, 0.03999999910593033]","[0.0, -0.0, 0.14767075831349258]",0.49735036020467216,-1.2135809461269205,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.8017615729018276,-0.8136028645368585,0.004532821196010084,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.45157771994012136,-0.6732307666002969,-1.1640000992606823,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.027227206394025625,0.8160515231825435,0.0,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.002049831715913887,True,"(-0.021463872608490933, 0.18486796144355927, 0.039998237066420785)","(0.9936673964850721, -0.11234766231557311, -0.0017629335792149602)",-3.589547584795222e-05,5.736549714634087,True,"(0.04314708428498248, 0.18392220402614357, 0.04000176293357922)","(-0.9936673964850723, 0.11234766231557122, 0.0017629335792140651)",0.00042394583812795794,0.0
96,Move,"(0.03443037974683545, 0.0, 0.0)","(0.0, -0.0, 0.0)","(0.010673740581184091, 0.17370482032760468, 0.0008256992747517506)","(1.572582350889953, -0.00015783807457524384, -0.12520407821861532)","[0.010673662019719086, 0.003705757951085853, -8.919040833598412e-05]","[-0.026750000193715096, 0.05299999937415123, 0.03999999910593033]","[0.0, -0.0, 0.49735038563067574]","[-0.061101097613573074, 0.11627718806266785, 0.03999999910593033]","[0.0, 0.0, -0.316252540911648]","[0.026750000193715096, 0.05299999937415123, 0.03999999910593033]","[0.0, 0.0, -0.6732307367675449]","[0.07164308428764343, 0.10929041355848312, 0.03999999910593033]","[0.0, -0.0, 0.14282075857336277]",0.49213758188183315,-1.251066797481362,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.4196792691088094,-0.8135859022935092,0.004070938403807228,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.22216898830153764,-0.6781509406733778,-1.180841777539415,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.02508396351445377,0.8160515231825435,0.0,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.0018905652514924164,True,"(-0.02079880249872637, 0.18483723420327963, 0.04000017882332469)","(0.9927224198902362, -0.12042493541410719, 0.00017882332468261022)",-3.593178965498163e-05,2.8006443923391933,True,"(0.04378225009521179, 0.18384439799239238, 0.039999821176675325)","(-0.9927224198902375, 0.1204249354140983, -0.0001788233246710275)",0.00034655439482371187,0.0
97,Move,"(0.03544303797468354, 0.0, 0.0)","(0.0, -0.0, 0.0)","(0.011283941357023524, 0.17372321498781784, 0.0008387978545244121)","(1.5742350689469073, 0.0016576295451920114, -0.12966234228477921)","[0.011283862795558519, 0.0037241526112990198, -7.609182856332258e-05]","[-0.026750000193715096, 0.05299999937415123, 0.03999999910593033]","[0.0, -0.0, 0.4921376471440862]","[-0.06077078357338905, 0.11645539104938507, 0.03999999910593033]","[0.0, 0.0, -0.32144834159939734]","[0.026750000193715096, 0.05299999937415123, 0.03999999910593033]","[0.0, 0.0, -0.6781509105383005]","[0.0719195008277893, 0.1090688556432724, 0.03999999910593033]","[0.0, -0.0, 0.13790057743355805]",0.4867692230444935,-1.2884061209615199,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.640529163307982,-0.8135545505108704,0.007524427833324458,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.3429212075018909,-0.6831350627936222,-1.196189308858681,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.022896325292526915,0.8160515231825435,0.0,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.0017279471057914365,True,"(-0.02011271867530931, 0.184805814599037, 0.04000015783807391)","(0.9921721908116042, -0.12487721516451288, 0.00015783807390980182)",-3.445243184628554e-05,4.480002399349402,True,"(0.044425764257365885, 0.18375858234036785, 0.039999842161926084)","(-0.9921721908116036, 0.12487721516451802, -0.00015783807391781698)",0.0002785174555216971,0.0
98,Move,"(0.03645569620253164, 0.0, 0.0)","(0.0, -0.0, 0.0)","(0.01193114178863584, 0.17374451587527645, 0.0008832739549868145)","(1.5739589415087476, 0.002569975467542494, -0.1362687969862616)","[0.011931063227170835, 0.0037454534987576282, -3.161572810092019e-05]","[-0.026750000193715096, 0.05299999937415123, 0.03999999910593033]","[0.0, -0.0, 0.48676925926090214]","[-0.0604296438395977, 0.11663711071014404, 0.03999999910593033]","[0.0, 0.0, -0.32678533342708016]","[0.026750000193715096, 0.05299999937415123, 0.03999999910593033]","[0.0, 0.0, -0.6831351080478865]","[0.07219839096069336, 0.10884302854537964, 0.03999999910593033]","[0.0, -0.0, 0.1329164651590025]",0.4812698870941938,-1.3198406280719202,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-1.1419643532121948,-0.8134894194024648,0.015631466017363337,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.6651250324561998,-0.6881542051183829,-1.2045941579425403,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.01270819521020907,0.8160515231825435,0.0,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.0009684958964002822,True,"(-0.019407260205164915, 0.18477044184000838, 0.03999834237121393)","(0.9916042468222689, -0.12929914907240636, -0.001657628786067436)",-3.3164359798125385e-05,8.442671863665144,True,"(0.0450771919759896, 0.18366833882101594, 0.040001657628786075)","(-0.9916042468222692, 0.1292991490724036, 0.0016576287860682359)",0.0001987181061563547,0.0
99,Move,"(0.03746835443037974, 0.0, 0.0)","(0.0, -0.0, 0.0)","(0.012598442107251593, 0.17376157845649795, 0.0008784490380779092)","(1.5725331352562026, 0.0030945867299946666, -0.14343614572234675)","[0.012598363545786587, 0.003762516079979128, -3.6440645009825495e-05]","[-0.026750000193715096, 0.05299999937415123, 0.03999999910593033]","[0.0, -0.0, 0.48126987366614454]","[-0.060079172253608704, 0.11682136356830597, 0.03999999910593033]","[0.0, 0.0, -0.33221955519100355]","[0.026750000193715096, 0.05299999937415123, 0.03999999910593033]","[0.0, 0.0, -0.6881542016379419]","[0.07247810065746307, 0.10861421376466751, 0.03999999910593033]","[0.0, -0.0, 0.12789731147592334]",0.47564265104231157,-1.3505366524517388,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.8107275384938633,-0.8132738841754755,0.05172845447742164,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.48104318618395486,-0.6932137354380341,-1.2142872767162964,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.1913675711822398,0.8159057100747463,-0.03499514587133013,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.10201126030943487,True,"(-0.01868730836533633, 0.1847296041491523, 0.03999743002736148)","(0.9907264940990664, -0.1358470063373116, -0.002569972638524293)",-3.267574574676786e-05,5.956995746291346,True,"(0.04573301765983426, 0.1835762790450461, 0.04000256997263852)","(-0.9907264940990665, 0.135847006337311, 0.002569972638520185)",9.226367302910317e-05,1.5898782351336294
100,Move,"(0.03848101265822785, 0.0, 0.0)","(0.0, -0.0, 0.0)","(0.013272555794749176, 0.17373577762733758, 0.0008624484217279534)","(1.5712738384466896, 0.003129339344879342, -0.1474129690371495)","[0.013272477233284171, 0.0037367152508187562, -5.244126135978133e-05]","[-0.026750000193715096, 0.05299999937415123, 0.03999999910593033]","[0.0, -0.0, 0.47564268351530453]","[-0.0597195103764534, 0.11700790375471115, 0.03999999910593033]","[0.0, 0.0, -0.3376312338537951]","[0.026750000193715096, 0.05299999937415123, 0.03999999910593033]","[0.0, 0.0, -0.6932137960708443]","[0.07275889813899994, 0.10838213562965393, 0.03999999910593033]","[0.0, -0.0, 0.12269197088433197]",0.46989837816838315,-1.3786254897428207,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-1.9703637199028232,-0.8123982954053276,0.21014130483549762,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-1.1879502245455342,-0.6983478749549994,-1.2321934840716589,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",1.5482873398063617,0.8152928563609765,-0.14708489130476665,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.815694173513285,True,"(-0.017961004414721336, 0.18468941249958415, 0.039996905418209196)","(0.9897259218393765, -0.14294412615681792, -0.0030945817908052246)",-3.1397858046356925e-05,15.037414322509507,True,"(0.046404656859087914, 0.18348434854875137, 0.0400030945817908)","(-0.9897259218393754, 0.14294412615682706, 0.0030945817907951797)",-1.1999419951334378e-05,12.034856869357435
101,Move,"(0.03949367088607595, 0.0, 0.0)","(0.0, -0.0, 0.0)","(0.013974051681563297, 0.17366030781206712, 0.0008542356664916271)","(1.5702009199821878, 0.0032753357491511646, -0.14916126391652143)","[0.013973973120098291, 0.0036612454355482993, -6.0654016596107564e-05]","[-0.026750000193715096, 0.05299999937415123, 0.03999999910593033]","[0.0, -0.0, 0.4698983076002651]","[-0.05935128778219223, 0.1171962320804596, 0.03999999910593033]","[0.0, 0.0, -0.3424999088408853]","[0.026750000193715096, 0.05299999937415123, 0.03999999910593033]","[0.0, 0.0, -0.6983479406789227]","[0.07304263114929199, 0.10814519226551056, 0.03999999910593033]","[0.0, -0.0, 0.11694499109585642]",0.46400808655671605,-1.4136699868001086,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-2.1416137901392416,-0.8115969462724626,0.19232379188759427,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-1.2716907994241944,-0.7035252665660897,-1.2425739866616787,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",1.530020177844566,0.8146565726057791,-0.15270810124738998,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.8230430694923035,True,"(-0.017263628689823396, 0.1846745131083184, 0.03999687066576259)","(0.9891495265197957, -0.1468789346805538, -0.0031293342374102673)",-2.601226255663088e-05,16.073178850252845,True,"(0.04712017213898827, 0.18339586939911284, 0.04000312933423741)","(-0.9891495265197953, 0.1468789346805573, 0.0031293342374029928)",-2.099376926254506e-05,11.725186166371737
102,Move,"(0.04050632911392405, 0.0, 0.0)","(0.0, -0.0, 0.0)","(0.014711555403661916, 0.17360439732077684, 0.0008632337575897104)","(1.5701942189339027, 0.002990146020576293, -0.14994820786576757)","[0.01471147684219691, 0.0036053349442580207, -5.165592549802431e-05]","[-0.026750000193715096, 0.05299999937415123, 0.03999999910593033]","[0.0, -0.0, 0.46400809327285064]","[-0.058972589671611786, 0.11738714575767517, 0.03999999910593033]","[0.0, 0.0, -0.3475888936131304]","[0.026750000193715096, 0.05299999937415123, 0.03999999910593033]","[0.0, 0.0, -0.7035252944831955]","[0.07332751899957657, 0.10790478438138962, 0.03999999910593033]","[0.0, -0.0, 0.11113131699385938]",0.45801003684479624,-1.439531930860748,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-2.44148965544388,-0.8108765597240631,0.17289277161587138,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-1.2473260215728639,-0.708735677863416,-1.2504987113583044,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",1.060606308198919,0.8140328054566665,-0.14970411578701937,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.5877424798581362,True,"(-0.016541582660351585, 0.18465367770022637, 0.03999672467010706)","(0.9888907649389789, -0.14860796490260372, -0.003275329892944169)",-2.1463310987479242e-05,18.074764955692242,True,"(0.04784236543428926, 0.1833008694710453, 0.040003275329892944)","(-0.9888907649389782, 0.14860796490260886, 0.0032753298929408614)",-2.8826763202948825e-05,8.12181941667996
103,Move,"(0.04151898734177215, 0.0, 0.0)","(0.0, -0.0, 0.0)","(0.015460989526372069, 0.17354859441771264, 0.0008713829875818937)","(1.5701998621402504, 0.002728858392823142, -0.15063358382810754)","[0.015460910964907064, 0.0035495320411938203, -4.3506695505840976e-05]","[-0.026750000193715096, 0.05299999937415123, 0.03999999910593033]","[0.0, -0.0, 0.4580100535787688]","[-0.058585815131664276, 0.11757925897836685, 0.03999999910593033]","[0.0, 0.0, -0.3528665348364697]","[0.026750000193715096, 0.05299999937415123, 0.03999999910593033]","[0.0, 0.0, -0.7087356778667968]","[0.07361295819282532, 0.10766135156154633, 0.03999999910593033]","[0.0, -0.0, 0.10529713680306105]",0.45190575020585244,-1.4650287933465063,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-2.3294684330212463,-0.8101124335343782,0.18339028552436756,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-1.2253541991232717,-0.7139755324226665,-1.2575650942201442,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",1.4039879886716278,0.8133103563596336,-0.17338778328789217,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.7850797761471899,True,"(-0.015799708824065173, 0.18462535734195046, 0.039997009858435226)","(0.9887743960105363, -0.14938625387706125, -0.0029901415647739554)",-2.784686829429129e-05,17.32164297306605,True,"(0.048567346384042163, 0.18319984967702246, 0.04000299014156477)","(-0.9887743960105358, 0.1493862538770637, 0.00299014156477272)",-3.4722004850664355e-05,10.741538355437148
