,Phase,human_cube_pos,human_cube_orn,Cube_Pos,Cube_Orn,Cube_pos_in_start_pos,b'l_prox_pin'_link_pos,b'l_prox_pin'_link_orn,b'l_distal_pin'_link_pos,b'l_distal_pin'_link_orn,b'r_prox_pin'_link_pos,b'r_prox_pin'_link_orn,b'r_distal_pin'_link_pos,b'r_distal_pin'_link_orn,b'l_prox_pin'_joint_angle,b'l_prox_pin'_joint_vel,b'l_prox_pin'_joint_react_forces,b'l_prox_pin'_joint_motor_torque,b'l_distal_pin'_joint_angle,b'l_distal_pin'_joint_vel,b'l_distal_pin'_joint_react_forces,b'l_distal_pin'_joint_motor_torque,b'r_prox_pin'_joint_angle,b'r_prox_pin'_joint_vel,b'r_prox_pin'_joint_react_forces,b'r_prox_pin'_joint_motor_torque,b'r_distal_pin'_joint_angle,b'r_distal_pin'_joint_vel,b'r_distal_pin'_joint_react_forces,b'r_distal_pin'_joint_motor_torque,in_contact_l,contact_point_l_dist,contact_normal_l_dist,contact_distance_l_dist,contact_norm_force_l_dist,in_contact_r,contact_point_r_dist,contact_normal_r_dist,contact_distance_r_dist,contact_norm_force_r_dist
139,Move,"(-0.014530000000000001, 0.0, -0.026590000000000003)","(0.0, 0.16799143116295823, 0.0)","(-0.006046264270176552, 0.17367402112564478, 0.0009859563167264613)","(1.5705178286509451, 6.275660677375747e-05, 0.032169066640628664)","[-0.006046342831641557, 0.0036749587491259617, 7.106663363872661e-05]","[-0.026750000193715096, 0.05299999937415123, 0.03999999910593033]","[0.0, -0.0, 0.5985103735263473]","[-0.06731569766998291, 0.1124846562743187, 0.03999999910593033]","[0.0, 0.0, -0.15951957123996818]","[0.026750000193715096, 0.05299999937415123, 0.03999999910593033]","[0.0, 0.0, -0.5021899920978397]","[0.0614069327712059, 0.11611019819974899, 0.03999999910593033]","[0.0, -0.0, 0.25922645433287106]",0.5969141271460467,-0.38310263978846326,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-11.21752883322867,-0.7533807905246431,1.1157997045235697,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-6.087566307859965,-0.4986280106514297,0.8548782908743191,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",11.314344238821537,0.756980031535416,-1.0647350552259007,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",5.939313470178025,True,"(-0.038208946409260945, 0.18649125846548764, 0.03999993654141761)","(0.9994857744917202, 0.03206528592878205, -6.345858239080618e-05)",-9.217697759065684e-05,83.11850724632438,True,"(0.025076230032252546, 0.1868874191857449, 0.04000006345858239)","(-0.9994857744917204, -0.03206528592877552, 6.345858239052182e-05)",-0.0005624848117648011,84.89679197094947
140,Move,"(-0.01435, 0.0, -0.026740000000000003)","(0.0, 0.1553779366587952, 0.0)","(-0.006168209517931118, 0.1738305824742215, 0.000985702121621277)","(1.5705079995611892, 6.0497352206966256e-05, 0.03224450370648143)","[-0.006168288079396123, 0.003831520097702684, 7.081243853354234e-05]","[-0.026750000193715096, 0.05299999937415123, 0.03999999910593033]","[0.0, -0.0, 0.596914114556488]","[-0.06722068786621094, 0.11254933476448059, 0.03999999910593033]","[0.0, 0.0, -0.15646666664205336]","[0.026750000193715096, 0.05299999937415123, 0.03999999910593033]","[0.0, 0.0, -0.4986279810566913]","[0.06118191406130791, 0.11623324453830719, 0.03999999910593033]","[0.0, -0.0, 0.2583519927999225]",0.5951728024117157,-0.41791793623945345,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-11.344355350953487,-0.7486500530149557,1.1353770023249905,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-6.179611969066276,-0.4951421187548434,0.836614055180724,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",11.56010704866775,0.7524727179738419,-1.0817552547777969,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",6.068837987975069,True,"(-0.03833991270613882, 0.18664149824283494, 0.03999993724339327)","(0.9994826182273582, 0.03216351851077985, -6.275660673664512e-05)",-9.769020313009186e-05,84.34558669677727,True,"(0.02491314509697124, 0.1870412347331766, 0.040000062756606725)","(-0.9994826182273583, -0.032163518510772655, 6.275660672453092e-05)",-0.0005891194263628276,86.38489578802006
141,Move,"(-0.01399, 0.0, -0.027100000000000003)","(0.0, 0.17612117481874778, 0.0)","(-0.006290169908583326, 0.17398426207894588, 0.0009853880629636042)","(1.5705019363628383, 5.853099884959669e-05, 0.03232282440307412)","[-0.006290248470048331, 0.003985199702427056, 7.049837987586948e-05]","[-0.026750000193715096, 0.05299999937415123, 0.03999999910593033]","[0.0, -0.0, 0.5951727820038654]","[-0.06711693108081818, 0.11261972039937973, 0.03999999910593033]","[0.0, 0.0, -0.15347726654250643]","[0.026750000193715096, 0.05299999937415123, 0.03999999910593033]","[0.0, 0.0, -0.4951421527414875]","[0.0609612837433815, 0.11635288596153259, 0.03999999910593033]","[0.0, -0.0, 0.25733063308872456]",0.5934706427181348,-0.4085183264594095,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-11.122677599498218,-0.7439828461163869,1.1201296556565274,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-6.088573047613787,-0.49171183869663626,0.8232672139697126,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",11.492878768800354,0.7480240347028678,-1.0676839850337803,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",6.051702061990053,True,"(-0.03845767926104141, 0.18679497358545472, 0.03999993950264784)","(0.999480189201152, 0.032238916459763074, -6.049735216945839e-05)",-0.0001029115246603102,83.0453190018116,True,"(0.024764890574233575, 0.1871967886964413, 0.04000006049735218)","(-0.9994801892011516, -0.03223891645977507, 6.049735217213405e-05)",-0.0006144267156820385,85.71796252060547
142,Move,"(-0.013980000000000001, 0.0, -0.02754)","(0.0, 0.20944300089782356, 0.0)","(-0.006384600627076656, 0.17414242384840378, 0.0009850923100511602)","(1.570490419288503, 5.7729775377794275e-05, 0.032356370624251576)","[-0.006384679188541661, 0.00414336147188496, 7.020262696342552e-05]","[-0.026750000193715096, 0.05299999937415123, 0.03999999910593033]","[0.0, -0.0, 0.5934706690482232]","[-0.0670153945684433, 0.1126883402466774, 0.03999999910593033]","[0.0, 0.0, -0.15051218738734182]","[0.026750000193715096, 0.05299999937415123, 0.03999999910593033]","[0.0, 0.0, -0.4917118237348103]","[0.06074376404285431, 0.1164698675274849, 0.03999999910593033]","[0.0, -0.0, 0.25631218823268276]",0.5914928714385247,-0.47466510710640797,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-11.583220107149764,-0.7391978811414659,1.1483915939810472,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-6.287808375733722,-0.48843827439921145,0.7856554313819577,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",11.582125128357754,0.7434716397681957,-1.092574784321296,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",6.057104827129705,True,"(-0.03857609988945101, 0.18694536293060954, 0.03999994146900118)","(0.9994776612782538, 0.03231719634922768, -5.8530998816045196e-05)",-0.0001075162796559572,85.5928923800955,True,"(0.024619572839453874, 0.1873494996248777, 0.04000005853099882)","(-0.9994776612782532, -0.032317196349242454, 5.853099881622615e-05)",-0.0006367583578650138,86.55723819252735
143,Move,"(-0.013880000000000002, 0.0, -0.02793)","(0.0, 0.18846763394735566, 0.0)","(-0.0064546772069040085, 0.17430791421478736, 0.000984768750618568)","(1.570476196528477, 5.7732214250256495e-05, 0.032350677541347454)","[-0.006454755768369014, 0.00430885183826854, 6.987906753083326e-05]","[-0.026750000193715096, 0.05299999937415123, 0.03999999910593033]","[0.0, -0.0, 0.5914929151527694]","[-0.06689726561307907, 0.11276786029338837, 0.03999999910593033]","[0.0, 0.0, -0.14770500612255333]","[0.026750000193715096, 0.05299999937415123, 0.03999999910593033]","[0.0, 0.0, -0.48843829228344043]","[0.06053581088781357, 0.11658080667257309, 0.03999999910593033]","[0.0, -0.0, 0.2550333751425831]",0.5892203543163066,-0.5454041093323423,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-12.079506894050729,-0.7342170467684083,1.1954002495338232,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-6.544155706826919,-0.4852432679585461,0.7668015457596786,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",12.045411063427263,0.7387326413807851,-1.1373596129785488,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",6.271556690343581,True,"(-0.038666443376648686, 0.18710165172386128, 0.03999994227022465)","(0.9994765766426077, 0.032350725031239834, -5.772977534647979e-05)",-0.0001120416088163101,89.13248758734875,True,"(0.024502332533242674, 0.1875052671532574, 0.04000005772977534)","(-0.9994765766426074, -0.0323507250312433, 5.772977534134062e-05)",-0.0006591876265137047,89.706811991372
144,Move,"(-0.013800000000000002, 0.0, -0.028470000000000002)","(0.0, 0.18846763394735566, 0.0)","(-0.0065335858399191435, 0.17446927812940718, 0.0009843753754916872)","(1.570468348641237, 5.7425457812236146e-05, 0.03237085582786524)","[-0.006533664401384149, 0.004470215752888362, 6.948569240395252e-05]","[-0.026750000193715096, 0.05299999937415123, 0.03999999910593033]","[0.0, -0.0, 0.5892204189449708]","[-0.06676133722066879, 0.11285894364118576, 0.03999999910593033]","[0.0, 0.0, -0.1449967111950893]","[0.026750000193715096, 0.05299999937415123, 0.03999999910593033]","[0.0, 0.0, -0.48524325448565186]","[0.06033249571919441, 0.11668843030929565, 0.03999999910593033]","[0.0, -0.0, 0.2534893614672838]",0.587073218664828,-0.5153125563548705,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-11.663187829069741,-0.7293307215025668,1.1727180638019457,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-6.384565646340634,-0.48204675679984393,0.767162678088523,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",12.06008458504618,0.734068970140661,-1.11928109762978,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",6.321709001471205,True,"(-0.03873184765229882, 0.18726620549895195, 0.03999994226778578)","(0.9994767608016294, 0.03234503492769819, -5.773221421915072e-05)",-0.00011660137600985272,86.96437954528963,True,"(0.024408617620722176, 0.18766690163561892, 0.04000005773221421)","(-0.9994767608016295, -0.03234503492769514, 5.773221421662008e-05)",-0.0006830087710950504,89.47279008601384
145,Move,"(-0.01374, 0.0, -0.028730000000000002)","(0.0, 0.20944300089782356, 0.0)","(-0.006606220444436479, 0.17463169982131013, 0.0009837647575389652)","(1.5704536455146922, 6.451152259587724e-05, 0.032342498415573004)","[-0.0066062990059014845, 0.00463263744479131, 6.887507445123048e-05]","[-0.026750000193715096, 0.05299999937415123, 0.03999999910593033]","[0.0, -0.0, 0.5870731661636883]","[-0.0666327178478241, 0.11294471472501755, 0.03999999910593033]","[0.0, 0.0, -0.1422574992162162]","[0.026750000193715096, 0.05299999937415123, 0.03999999910593033]","[0.0, 0.0, -0.48204684522596175]","[0.060128744691610336, 0.11679545044898987, 0.03999999910593033]","[0.0, -0.0, 0.2520222084519489]",0.5848412033535161,-0.5356836747148663,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-11.948554916263078,-0.7243802505613305,1.1881130258967365,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-6.581293829647517,-0.478872914486514,0.7617221551991833,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",12.058644456777465,0.7293480991902919,-1.1330090280885723,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",6.274245186100871,True,"(-0.03880705906141595, 0.187425758602393, 0.039999942574542216)","(0.9994761079484255, 0.03236520265013886, -5.7425457775455915e-05)",-0.00012053241271513258,88.58879410318663,True,"(0.02430908806834891, 0.18782506597760115, 0.04000005742545777)","(-0.9994761079484257, -0.0323652026501287, 5.742545776783253e-05)",-0.0007034612253659456,89.42758161800828
146,Move,"(-0.01347, 0.0, -0.028999999999999998)","(0.0, 0.20944300089782356, 0.0)","(-0.006659725650982432, 0.17479760889708978, 0.0009832291222354446)","(1.5704304497734758, 7.228491580355315e-05, 0.032280836072047674)","[-0.006659804212447437, 0.004798546520570962, 6.833943914770989e-05]","[-0.026750000193715096, 0.05299999937415123, 0.03999999910593033]","[0.0, -0.0, 0.5848412976393725]","[-0.06649882346391678, 0.11303358525037766, 0.03999999910593033]","[0.0, 0.0, -0.13953906552202133]","[0.026750000193715096, 0.05299999937415123, 0.03999999910593033]","[0.0, 0.0, -0.4788729111939513]","[0.059926100075244904, 0.11690106987953186, 0.03999999910593033]","[0.0, -0.0, 0.2504751677525721]",0.5824035345850528,-0.5850405044311852,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-12.306459888935635,-0.7193202790450114,1.2143931639165848,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-6.761773868835005,-0.47579294081984314,0.7391936800010086,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",12.218408913301978,0.724530784864703,-1.1561554381413144,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",6.341619797655054,True,"(-0.03887564569810219, 0.18758725032249002, 0.039999935488477446)","(0.999477024908159, 0.03233686006708792, -6.451152255293938e-05)",-0.0001238748718214856,90.84050035533174,True,"(0.02421641922005046, 0.18798449445684653, 0.04000006451152255)","(-0.999477024908159, -0.032336860067089745, 6.45115225494033e-05)",-0.0007242085463707352,90.69001612839459
147,Move,"(-0.01334, 0.0, -0.029270000000000004)","(0.0, 0.18846763394735566, 0.0)","(-0.006703543308679869, 0.17496307395499583, 0.0009826852116892495)","(1.5704071389001235, 8.004154083966067e-05, 0.032206348136709056)","[-0.0067036218701448744, 0.004964011578477007, 6.779552860151482e-05]","[-0.026750000193715096, 0.05299999937415123, 0.03999999910593033]","[0.0, -0.0, 0.5824035503278729]","[-0.06635235995054245, 0.11313030123710632, 0.03999999910593033]","[0.0, 0.0, -0.13691674314520477]","[0.026750000193715096, 0.05299999937415123, 0.03999999910593033]","[0.0, 0.0, -0.47579297454461184]","[0.05972912907600403, 0.1170029491186142, 0.03999999910593033]","[0.0, -0.0, 0.2487378313080429]",0.5798983956685215,-0.6012333399675088,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-12.256982976779133,-0.7142660009984179,1.2130267311824523,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-6.757192869514169,-0.472799914906081,0.7183262193029231,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",12.268717596595522,0.7197156053541454,-1.1556430825338393,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",6.372164457082742,True,"(-0.038924692567507704, 0.1877534637943009, 0.03999992771508426)","(0.9994790164431949, 0.03227522989281924, -7.228491574488891e-05)",-0.00012717466597528992,90.70015533146693,True,"(0.024143051206931755, 0.18814663044027968, 0.04000007228491575)","(-0.9994790164431949, -0.032275229892825455, 7.228491574548593e-05)",-0.0007452476611831838,90.92019633464575
148,Move,"(-0.01335, 0.0, -0.02944)","(0.0, 0.18846763394735566, 0.0)","(-0.006756318469927729, 0.1751239505913071, 0.0009821386038859363)","(1.5703861076094368, 8.727509940361317e-05, 0.032149890525851016)","[-0.006756397031392735, 0.005124888214788265, 6.724892079820158e-05]","[-0.026750000193715096, 0.05299999937415123, 0.03999999910593033]","[0.0, -0.0, 0.5798983665632497]","[-0.0662016049027443, 0.11322931945323944, 0.03999999910593033]","[0.0, 0.0, -0.1343676064019684]","[0.026750000193715096, 0.05299999937415123, 0.03999999910593033]","[0.0, 0.0, -0.47279988991205846]","[0.05953741818666458, 0.11710136383771896, 0.03999999910593033]","[0.0, -0.0, 0.24691571125162817]",0.5775221366667521,-0.5703021604246683,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-11.899146530389103,-0.7093132908951015,1.1886504247959238,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-6.587948037712402,-0.46980951273121574,0.717696521967651,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",12.175012860308348,0.7149887756326804,-1.1344391331516028,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",6.327698487067687,True,"(-0.03896415952200498, 0.18791953669553996, 0.039999919958459244)","(0.9994814171951854, 0.03220078065599297, -8.00415407559354e-05)",-0.00013019799149726683,88.42588856184013,True,"(0.02408108977858927, 0.18830802935461213, 0.04000008004154075)","(-0.9994814171951851, -0.032200780656006504, 8.00415407562851e-05)",-0.0007647355135946149,89.89186053994472
