frame,pitch,rmag,roll,tmag,x,y,yaw,z
0,0,0,0,0,0.0,0.0,0,0
1,0,1.4899865793592248,0,0,-0.00012219357243566505,7.948450010092367e-05,0,0
2,0,1.4928112904341142,0,0,-0.0003483230580971173,4.714612808495722e-05,0,0
3,0,1.531170242882305,0,0,-0.0004699798411986212,-6.1001804972399265e-05,0,0
4,0,1.58267588427068,0,0,-0.000712697315335464,-1.7294623191776992e-05,0,0
5,0,1.576376882617879,0,0,-0.0007027264031058808,5.622366036350801e-07,0,0
6,0,1.5744864160932044,0,0,-0.0005202281602697146,1.8415178205388738e-05,0,0
7,0,1.573053243107043,0,0,-0.0004860595244402129,2.627201567254045e-05,0,0
8,0,1.5705652678918205,0,0,-0.0004906240909139213,2.8559246502329882e-05,0,0
9,0,1.5707077853449567,0,0,-0.00072135299748099,7.093880656475204e-05,0,0
10,0,1.5381569391567929,0,0,-0.0019188403260853568,0.0016085765889559123,0,0
11,0,1.5128080793615706,0,0,-0.0024017471505598156,0.002288463344829933,0,0
12,0,1.5300967140777249,0,0,-0.0037086776078093992,0.0024996258629530754,0,0
13,0,1.5831068268346875,0,0,-0.005428334808620851,0.0026559276248719343,0,0
14,0,1.5577003304659423,0,0,-0.007101027990363571,0.004333450342384193,0,0
15,0,1.5397992726991756,0,0,-0.008730760241825404,0.00485962646612878,0,0
16,0,1.5633478851590088,0,0,-0.011272979396770124,0.005086407685232358,0,0
17,0,1.5759672427007747,0,0,-0.0139751892183418,0.005282138181990914,0,0
18,0,1.5619040878330537,0,0,-0.01600455024359338,0.005156555094951026,0,0
19,0,1.5664000143754164,0,0,-0.018392546421011957,0.00497412871340111,0,0
20,0,1.564726905676394,0,0,-0.021135567641430073,0.005759900753520869,0,0
21,0,1.547118189249012,0,0,-0.023419442942248295,0.005788154547109597,0,0
22,0,1.568802268205889,0,0,-0.026397764551093154,0.0055153702848234065,0,0
23,0,1.5756976774076037,0,0,-0.028685300600552664,0.005192571796607731,0,0
24,0,1.5672378904940847,0,0,-0.030276400820979613,0.004830448442585844,0,0
25,0,1.5704192295720156,0,0,-0.031888170169812935,0.004632482805064508,0,0
26,0,1.5717873526069304,0,0,-0.03338436339215935,0.004548694603905223,0,0
27,0,1.57018393588451,0,0,-0.03492160856047134,0.0043885878739300666,0,0
28,0,1.5708794433861162,0,0,-0.03635311395984405,0.004240986157520998,0,0
29,0,1.5708440518345705,0,0,-0.03768383411832447,0.004002804046640579,0,0
30,0,1.5700436879318183,0,0,-0.038848137901834175,0.0037689054114586618,0,0
31,0,1.5708571720766773,0,0,-0.04004972731151462,0.0034847896976839265,0,0
32,0,1.57085748461826,0,0,-0.041249633408269676,0.0030732765311295707,0,0
33,0,1.5700014551889674,0,0,-0.0424537993286969,0.0027160574908426938,0,0
34,0,1.5702520128356459,0,0,-0.043444878728075016,0.002507337021342787,0,0
35,0,1.570422151882881,0,0,-0.044150098266617456,0.0023908575969409096,0,0
36,0,1.5702738608576197,0,0,-0.044928661704229086,0.0022824776394211044,0,0
37,0,1.5704468528978757,0,0,-0.045851890732419444,0.0022542707645338,0,0
38,0,1.5718533397042904,0,0,-0.04682904740785063,0.0022521220774442408,0,0
39,0,1.5715064404600931,0,0,-0.047760913321155715,0.002165830709873029,0,0
40,0,1.5705950004257685,0,0,-0.048578391287037385,0.0018869325233425993,0,0
41,0,1.5705363586234127,0,0,-0.04914992240206551,0.0016470964090554985,0,0
42,0,1.5705533053220349,0,0,-0.04969559245332267,0.0014385214236800892,0,0
43,0,1.5705685611125308,0,0,-0.05024395763889656,0.0012213889726003235,0,0
