frame,pitch,rmag,roll,tmag,x,y,yaw,z
0,0,0,0,0,0.0,0.0,0,0
1,0,1.4899865793592248,0,0,-0.00012219357243566505,7.948450010092367e-05,0,0
2,0,1.4928112904341142,0,0,-0.0003483230580971173,4.714612808495722e-05,0,0
3,0,1.531170242882305,0,0,-0.0004699798411986212,-6.1001804972399265e-05,0,0
4,0,1.5826650060824181,0,0,-0.0007151020641160574,-1.6138237793034138e-05,0,0
5,0,1.5763720306616995,0,0,-0.0007138980631023655,-5.251418297408383e-06,0,0
6,0,1.574492379324936,0,0,-0.000710712023609293,-6.22437678426957e-06,0,0
7,0,1.573246573249295,0,0,-0.0007118078128822123,-5.171127299669065e-06,0,0
8,0,1.572411679979553,0,0,-0.0007125455406214672,-4.449862417238437e-06,0,0
9,0,1.5718517482314829,0,0,-0.0007130479435838491,-3.930223643783259e-06,0,0
10,0,1.5714360719830165,0,0,-0.0007134243793043523,-3.526367477413306e-06,0,0
11,0,1.571059296205924,0,0,-0.0007138013683058678,-3.0998090505274245e-06,0,0
12,0,1.5708815777675926,0,0,-0.0007139376544913905,-2.9207804085329414e-06,0,0
13,0,1.5708433490839393,0,0,-0.0007139884378642818,-2.873353813659385e-06,0,0
14,0,1.5708181505436385,0,0,-0.0007140237926802177,-2.8391052673826245e-06,0,0
15,0,1.570801542485464,0,0,-0.0007140489787673078,-2.8135432449394315e-06,0,0
16,0,1.5707905963162088,0,0,-0.0007140674637140388,-2.7937049776327605e-06,0,0
17,0,1.5708184161088008,0,0,-0.0006161387809243554,5.759110726394345e-06,0,0
18,0,1.5708076901592103,0,0,-3.7588542462668175e-05,1.0883950618156835e-05,0,0
19,0,1.531147022456285,0,0,0.0017103621161883914,0.0011239317967837725,0,0
20,0,1.4913893153544984,0,0,0.0025427251252807485,0.0013701516369931666,0,0
21,0,1.4948853308359153,0,0,0.0041947419021152385,0.0012971152628752092,0,0
22,0,1.5357333825713098,0,0,0.006124478150113231,0.0014022287553075996,0,0
23,0,1.5880768367811224,0,0,0.008612763280290403,0.001994293764052163,0,0
24,0,1.5815055561689024,0,0,0.01118784076572623,0.002552274397073423,0,0
25,0,1.5680434581718932,0,0,0.0143035876112259,0.002776033865649369,0,0
26,0,1.5722793873841212,0,0,0.017758964652812837,0.0026565080780569517,0,0
27,0,1.5709055064432196,0,0,0.021129853063123274,0.0023002265041627556,0,0
28,0,1.5703404926732067,0,0,0.02425984414285756,0.001955401753345243,0,0
29,0,1.5711449178859747,0,0,0.027186748438545003,0.0016714250902466754,0,0
30,0,1.5706072845291703,0,0,0.029816147479098016,0.0013198090882203528,0,0
31,0,1.570896413415591,0,0,0.032235950795894724,0.0010019310151805627,0,0
32,0,1.5706866326336704,0,0,0.03430803094506969,0.0006849610498487757,0,0
33,0,1.5705244724039762,0,0,0.03628600244302427,0.00039604769669779327,0,0
34,0,1.571042985367312,0,0,0.038118067406834384,0.0001603678763983929,0,0
35,0,1.5707040359744406,0,0,0.0399511988769497,-8.018469382331528e-05,0,0
36,0,1.5707960979664968,0,0,0.04125665690335242,-0.00027228900110859433,0,0
37,0,1.5706670507329252,0,0,0.04247294018177348,-0.0005966783659090424,0,0
38,0,1.570451594100516,0,0,0.043593476036532686,-0.0009515234284910579,0,0
39,0,1.570603240984462,0,0,0.0446977971836629,-0.0014207416680115381,0,0
40,0,1.5702053325519223,0,0,0.04559531458947904,-0.001678521752724066,0,0
41,0,1.5701888256148449,0,0,0.04644676652531936,-0.0015183818381329095,0,0
42,0,1.570858992709969,0,0,0.047389375712924155,-0.0013974375931553318,0,0
43,0,1.570773775994798,0,0,0.04831846530589965,-0.0013478111138638116,0,0
