frame,pitch,rmag,roll,tmag,x,y,yaw,z
0,0,0,0,0,0.0,0.0,0,0
1,0,1.5708059692049072,0,0,-4.546300480674002e-09,6.306563604674409e-10,0,0
2,0,1.5643419032167225,0,0,6.517871394165591e-05,0.00034643597322017716,0,0
3,0,1.5534591187548563,0,0,0.00016168833121370824,0.000770281751076185,0,0
4,0,1.5453980249747683,0,0,0.00020560186660661522,0.0010810143507485603,0,0
5,0,1.5389812534468097,0,0,0.0002285515294160291,0.0013262817027276108,0,0
6,0,1.5343522232299316,0,0,0.00022371853153564195,0.0015009383284545208,0,0
7,0,1.5313204585498843,0,0,0.00022542389189720446,0.0016141778756006142,0,0
8,0,1.52990338719851,0,0,0.00023267729282957787,0.0016665516709911954,0,0
9,0,1.5301153615792886,0,0,0.00023889805215013125,0.0016721388039034335,0,0
10,0,1.5319446458209376,0,0,0.0002460576289417691,0.0016680583503785595,0,0
11,0,1.5353965539656282,0,0,0.0002531923149621305,0.0016604786674222494,0,0
12,0,1.540472543515266,0,0,0.00026031949602549576,0.0016498661104627776,0,0
13,0,1.5471730682991058,0,0,0.00026743818115680716,0.0016369028175733658,0,0
14,0,1.555498477145539,0,0,0.0002745461331933293,0.001622516670364088,0,0
15,0,1.565448964178903,0,0,0.0002816396973686712,0.0016078817307852433,0,0
16,0,1.5713667134718905,0,0,0.00023343213442384233,0.001652158239482393,0,0
17,0,1.5727607069247056,0,0,0.0002333582116948005,0.001650733119389014,0,0
18,0,1.572522172934644,0,0,0.00023323509327055332,0.0016509862481813298,0,0
19,0,1.5721018978141714,0,0,0.00023311381164116009,0.0016514046735321142,0,0
20,0,1.5718291557373663,0,0,0.0002328070904164534,0.001651696802258018,0,0
21,0,1.5715570210769296,0,0,0.00023252676346755848,0.0016519687403248329,0,0
22,0,1.5712854581386393,0,0,0.00023227752826870756,0.00165220791456816,0,0
23,0,1.5710144525600587,0,0,0.00023202029346501313,0.0016524545441014282,0,0
24,0,1.5708405309879407,0,0,0.00023184702728990995,0.001652629007334011,0,0
25,0,1.5708270346806286,0,0,0.00023183094837585336,0.0016526439580875352,0,0
26,0,1.5708181686606357,0,0,0.00023182014987152406,0.001652654207045301,0,0
27,0,1.5708124714263287,0,0,0.00023181351852390422,0.001652661304830494,0,0
28,0,1.5708087576742487,0,0,0.00023180947441356722,0.0016526664296771798,0,0
29,0,1.5708053406968514,0,0,0.00023180576750242302,0.001652671256626076,0,0
30,0,1.5708021970565207,0,0,0.00023180238244646488,0.0016526758110978479,0,0
31,0,1.5707993047860174,0,0,0.000231799293390204,0.0016526801149387427,0,0
32,0,1.5707966438901453,0,0,0.00023179647669456903,0.0016526841881414345,0,0
33,0,1.570794195859374,0,0,0.00023179391056438132,0.001652688049167489,0,0
34,0,1.5708242289269285,0,0,0.0002318263783454071,0.001652659579166521,0,0
35,0,1.5708170333983247,0,0,0.00023181779334308718,0.0016526681309273206,0,0
36,0,1.5708123951747086,0,0,0.0002318127970812941,0.0016526741769267161,0,0
37,0,1.570808687228786,0,0,0.00023180896016778462,0.0016526792952777924,0,0
38,0,1.570805275782342,0,0,0.00023180545122270836,0.0016526841172628537,0,0
39,0,1.570802137236612,0,0,0.00023180224823257046,0.0016526886671596186,0,0
40,0,1.5707992497656935,0,0,0.0002317993266956421,0.0016526929667327883,0,0
41,0,1.5707965932842936,0,0,0.00023179666409262612,0.0016526970360188908,0,0
42,0,1.5707964039458273,0,0,0.00023179578139484013,0.0016526967991918329,0,0
43,0,1.570793973671755,0,0,0.00023179340650587456,0.001652700641915833,0,0
44,0,1.570824024564477,0,0,0.00023182606344886682,0.0016526721555762403,0,0
45,0,1.5708173326646473,0,0,0.000231818306414552,0.0016526802080655267,0,0
46,0,1.5708129741803714,0,0,0.0002318138217410517,0.001652685976476248,0,0
47,0,1.5708092198629344,0,0,0.00023181004940546734,0.0016526911410226497,0,0
48,0,1.570808020346453,0,0,0.0002318081428160201,0.0016526919085577407,0,0
49,0,1.570806918084929,0,0,0.00023180637643603201,0.0016526925775497414,0,0
50,0,1.5708036467135382,0,0,0.00023180319367400602,0.001652697259250352,0,0
51,0,1.5708006384910111,0,0,0.00023180030375315755,0.0016527016797644734,0,0
52,0,1.5707978709267982,0,0,0.00023179767015953285,0.0016527058602923417,0,0
53,0,1.5707953247588886,0,0,0.00023179527244271452,0.0016527098200700974,0,0
54,0,1.5708252676321208,0,0,0.00023182789553482193,0.001652681441624393,0,0
55,0,1.5708206910696159,0,0,0.0002318217045924148,0.00165268552250597,0,0
56,0,1.5708177950217002,0,0,0.0002318178560173782,0.0016526879745009382,0,0
57,0,1.570693835990871,0,0,0.0016178869935025199,0.0017538074861514763,0,0
58,0,1.5603358085317351,0,0,0.001627336534724447,0.002374566101095349,0,0
59,0,1.5495668178674826,0,0,0.0016487260610752162,0.0029475012810484813,0,0
60,0,1.5410806973097866,0,0,0.0016661123862558025,0.0034430876925565512,0,0
61,0,1.5341560405540635,0,0,0.0016942112467602144,0.003890355070421181,0,0
62,0,1.5289880758050634,0,0,0.0017550238184088497,0.0042882823656097135,0,0
63,0,1.5268041580085754,0,0,0.0017940072422325828,0.004572354898035369,0,0
64,0,1.5259362107925478,0,0,0.001829994328014473,0.004804865327624697,0,0
65,0,1.526648348609648,0,0,0.001862268136548369,0.004975629500072493,0,0
66,0,1.5289416290592743,0,0,0.0018909067446980052,0.0050846235135902085,0,0
67,0,1.5328177695751848,0,0,0.001916057730378552,0.005131846283851493,0,0
68,0,1.5382898761695059,0,0,0.0019299670747612238,0.005133178442281533,0,0
69,0,1.5453787576384594,0,0,0.001930680714282411,0.005119021281969255,0,0
70,0,1.5540929297819155,0,0,0.0019308632533013824,0.005103418753513472,0,0
71,0,1.5644334988461368,0,0,0.0019309879260578386,0.005087722443514825,0,0
72,0,1.5701500537389925,0,0,0.003430115311452932,0.005166946002160111,0,0
73,0,1.5637044089320007,0,0,0.0034881604967375362,0.005926440198816024,0,0
74,0,1.556778441091667,0,0,0.003558002807451881,0.00661970602070433,0,0
75,0,1.5518314222550618,0,0,0.0035981693975691057,0.00724256251598418,0,0
76,0,1.548213384893464,0,0,0.003627739270738112,0.007819597802247363,0,0
77,0,1.5462625985996252,0,0,0.003689267775993477,0.008339351709511666,0,0
78,0,1.5474774078849702,0,0,0.003734003500916194,0.008738301726669478,0,0
79,0,1.549943725526916,0,0,0.003777224451115505,0.009088597916126095,0,0
80,0,1.5540040291085446,0,0,0.0038173312151413225,0.00937736433352751,0,0
81,0,1.5596599646487808,0,0,0.0038538240733126485,0.009604680717445968,0,0
82,0,1.575198991383672,0,0,0.005723730816001353,0.009748633789919692,0,0
83,0,1.5743253857607773,0,0,0.005839266332906253,0.010726673545021603,0,0
84,0,1.5734547897518085,0,0,0.005986538607953404,0.011657006054387437,0,0
85,0,1.5713392215350777,0,0,0.006129477894121502,0.012542400360560035,0,0
86,0,1.5679406578133652,0,0,0.006270542603855783,0.013380953727094608,0,0
87,0,1.5673981994169628,0,0,0.006359285655135853,0.014123263603080194,0,0
88,0,1.567689567500388,0,0,0.006483326997737915,0.014800266352334612,0,0
89,0,1.5679623556745286,0,0,0.006664982422856294,0.0153987125993294,0,0
90,0,1.5714623564114267,0,0,0.006794729171845145,0.01581651341303139,0,0
91,0,1.5712720728562877,0,0,0.008911286094764678,0.015963125051756205,0,0
92,0,1.5662295993707405,0,0,0.009019425860092292,0.016651631368929082,0,0
93,0,1.5637271743201588,0,0,0.009135667592052428,0.017414946256436775,0,0
94,0,1.5631341318095984,0,0,0.009225420407949185,0.018109441677139904,0,0
95,0,1.564305536371493,0,0,0.00936863481498538,0.018728696890789404,0,0
96,0,1.5673107489592302,0,0,0.009580242333543446,0.019271068624473142,0,0
97,0,1.567903198652809,0,0,0.00983749482310211,0.019698880435723487,0,0
98,0,1.5697283108061244,0,0,0.010036332197108378,0.020004859378291884,0,0
99,0,1.5814956868265428,0,0,0.012133650872055535,0.0200850754212136,0,0
100,0,1.5799908511116785,0,0,0.012265880298432582,0.0208934140367249,0,0
101,0,1.5785398158303454,0,0,0.012419137110789472,0.02165431639184548,0,0
102,0,1.5757570907320104,0,0,0.012567703567906667,0.022367233014589594,0,0
103,0,1.5716867429182042,0,0,0.012746075974938589,0.023016023443452355,0,0
104,0,1.5663171763331358,0,0,0.012977020436070602,0.02358948005877312,0,0
105,0,1.5654870558827982,0,0,0.013223387277399658,0.024019286696673164,0,0
106,0,1.5659151968222569,0,0,0.013544422845638074,0.02437219913785235,0,0
107,0,1.566299403776168,0,0,0.015865907835391053,0.024355809638069742,0,0
108,0,1.5628254278262859,0,0,0.016180171545549734,0.024825095906730488,0,0
109,0,1.5604052246505644,0,0,0.01640958657312837,0.025479767160174832,0,0
110,0,1.55982959042817,0,0,0.016605263272027476,0.026071528657587856,0,0
111,0,1.5609776016551105,0,0,0.016867660746664397,0.026584019043568885,0,0
112,0,1.563516646940671,0,0,0.017137266817943198,0.027046836483875875,0,0
113,0,1.5686283531535807,0,0,0.017380308609483575,0.027414398885101554,0,0
114,0,1.5751960211300318,0,0,0.01761061090324203,0.027727514150808874,0,0
115,0,1.5902385184348498,0,0,0.019696792347601525,0.027882628622847266,0,0
116,0,1.5866098684022287,0,0,0.01995134583539794,0.028446165848390853,0,0
117,0,1.5830984364919445,0,0,0.020191804335477657,0.02896613918524024,0,0
118,0,1.5785243822038906,0,0,0.0204130274203077,0.029434240987666893,0,0
119,0,1.5759687550052808,0,0,0.02058852572380747,0.029765040397994463,0,0
120,0,1.5734464965728698,0,0,0.02073213891414165,0.03001767126552099,0,0
121,0,1.570953329467417,0,0,0.02084228004216153,0.030192929874449714,0,0
122,0,1.5684843593801787,0,0,0.02091713186717678,0.030292253815481146,0,0
123,0,1.5687544489442822,0,0,0.022541759492555415,0.030113443482553015,0,0
124,0,1.565072163798282,0,0,0.024087842611795817,0.030004995700941256,0,0
125,0,1.5561865202864247,0,0,0.02488809391927959,0.03029116531462525,0,0
126,0,1.5492901671278796,0,0,0.02570235177653214,0.030549818455175293,0,0
127,0,1.5509326613714183,0,0,0.026191227988397705,0.03082637667253857,0,0
128,0,1.5534193491686896,0,0,0.02667205935180997,0.031122430937550155,0,0
129,0,1.5570628982859427,0,0,0.02711774706935963,0.031448720002298036,0,0
130,0,1.561892216909952,0,0,0.02755555636538736,0.03178295551210039,0,0
131,0,1.5679343174461084,0,0,0.027990499792134287,0.03211955351779647,0,0
132,0,1.575217384060977,0,0,0.028422411992609736,0.03245854840369744,0,0
133,0,1.577895253327666,0,0,0.028679407962230057,0.03277571365931156,0,0
134,0,1.580664801269957,0,0,0.02959988909388706,0.03305278788882124,0,0
135,0,1.5788291812382065,0,0,0.029582210745905665,0.03373145116706325,0,0
136,0,1.5670348694745675,0,0,0.02985705666098394,0.035043177663422465,0,0
137,0,1.563992219390655,0,0,0.030193156513026745,0.03619005498839736,0,0
138,0,1.5638864218769213,0,0,0.030729396991207032,0.03721530422760086,0,0
139,0,1.5643759026790136,0,0,0.031365990462520116,0.03813310398761838,0,0
140,0,1.5648457461134686,0,0,0.03204591118637621,0.03896367223736824,0,0
141,0,1.5652889055477677,0,0,0.03272284942395946,0.039734003483212876,0,0
142,0,1.5657208621084981,0,0,0.033485201371799375,0.04038390867233255,0,0
143,0,1.567604826577629,0,0,0.034223593132073654,0.04100541119409182,0,0
144,0,1.5761775300756549,0,0,0.03572767402804283,0.041493343336516914,0,0
145,0,1.5833375098146154,0,0,0.03678732724674101,0.04205806226297462,0,0
146,0,1.5911925935116364,0,0,0.038463287520639086,0.04250492722309368,0,0
147,0,1.5952652717473628,0,0,0.04053290079672509,0.042892561157026915,0,0
148,0,1.582220264805885,0,0,0.04225801357516074,0.04326161205651305,0,0
149,0,1.5672755978583066,0,0,0.0439256789600141,0.04363767654549172,0,0
150,0,1.5596061433632609,0,0,0.045241724793257124,0.04412102190629158,0,0
151,0,1.5523378597049056,0,0,0.04651057496376453,0.04462251236415818,0,0
152,0,1.5455267337436105,0,0,0.047733134595283964,0.045143541631046114,0,0
153,0,1.5392429764976738,0,0,0.04891006583916318,0.04568492600121635,0,0
154,0,1.533566404801649,0,0,0.05004182499339943,0.046247047851496,0,0
155,0,1.5285831043591938,0,0,0.05112869212979948,0.04682997275441764,0,0
156,0,1.524382810836225,0,0,0.052170806479254365,0.047433538149868615,0,0
157,0,1.523142024362674,0,0,0.052147722726040534,0.048886934205193217,0,0
158,0,1.5228146412988723,0,0,0.052158798869543686,0.05029766934473423,0,0
159,0,1.5190619113889854,0,0,0.05278015800589271,0.05173030610988705,0,0
160,0,1.5156803282416398,0,0,0.053470668776443554,0.05316644973716472,0,0
161,0,1.514102857584802,0,0,0.054208295408693576,0.054603627005118116,0,0
162,0,1.5142972604363314,0,0,0.054994037258352606,0.05603604815673327,0,0
