frame,pitch,rmag,roll,tmag,x,y,yaw,z
0,0,0,0,0,0.0,0.0,0,0
1,0,1.5708059692049072,0,0,-4.546300480674002e-09,6.306563604674409e-10,0,0
2,0,1.5643418998519334,0,0,6.517878278685787e-05,0.00034643615785784343,0,0
3,0,1.553459115144406,0,0,0.00016168841082813925,0.0007702819359832469,0,0
4,0,1.5453980212159237,0,0,0.00020560194261896815,0.0010810145301176632,0,0
5,0,1.539069350946226,0,0,0.00020059925377787248,0.0013197181856830498,0,0
6,0,1.5352783387566227,0,0,0.00015564207780001589,0.0014556408502393037,0,0
7,0,1.5338729719745607,0,0,6.600433838533021e-05,0.0015197342559689353,0,0
8,0,1.5343900578563647,0,0,-5.294021955937469e-05,0.0015587842003989272,0,0
9,0,1.53559630829206,0,0,-0.00019883505139632845,0.0016276054704299492,0,0
10,0,1.5373768398216545,0,0,-0.00036064582733069954,0.0017218458373096657,0,0
11,0,1.539679731456675,0,0,-0.0005342831184253879,0.0018411701294104577,0,0
12,0,1.5424863398061093,0,0,-0.0007223562422738717,0.001989025174038511,0,0
13,0,1.5457839667707793,0,0,-0.0009367552672906211,0.0021662285799423087,0,0
14,0,1.5495904835929952,0,0,-0.001177185544590729,0.0023690009570651593,0,0
15,0,1.5539015819549051,0,0,-0.0014370400874292653,0.0025970307695716566,0,0
16,0,1.5587104602943875,0,0,-0.0017153527075449942,0.0028500559454255614,0,0
17,0,1.5640097857242852,0,0,-0.0020116842563431343,0.0031277593818799243,0,0
18,0,1.5697914898489687,0,0,-0.0023256422647588296,0.0034297870834843758,0,0
19,0,1.5760467538938387,0,0,-0.0026568615313741404,0.0037557493110675355,0,0
20,0,1.580677715732337,0,0,-0.0030039316014387105,0.004024573034173723,0,0
21,0,1.5806809375798656,0,0,-0.0033522792567659437,0.004120083686037779,0,0
22,0,1.5806508621466473,0,0,-0.003733731287959769,0.004218827161559524,0,0
23,0,1.5806394987258183,0,0,-0.004129304885956833,0.0043229366290462035,0,0
24,0,1.5806272120832705,0,0,-0.00454018924007877,0.004431355165656625,0,0
25,0,1.5806143578619234,0,0,-0.004965950762861079,0.004543891001717121,0,0
26,0,1.580600878009851,0,0,-0.0054062564720724895,0.00466031592912397,0,0
27,0,1.5805867602107986,0,0,-0.0058607464895394,0.004780398522033241,0,0
28,0,1.5805720027356693,0,0,-0.006329067694762594,0.004903900849553888,0,0
29,0,1.5805565960713517,0,0,-0.006810863600421752,0.005030580083289771,0,0
30,0,1.580540532322106,0,0,-0.007305776317492612,0.005160188320965375,0,0
31,0,1.5805238001172357,0,0,-0.007813443282526217,0.005292474885376625,0,0
32,0,1.580506395996047,0,0,-0.008333503298890372,0.005427185128587919,0,0
33,0,1.5804883065374116,0,0,-0.008865588730935006,0.005564062340334658,0,0
34,0,1.5804695241827298,0,0,-0.009409329607492366,0.005702848310335434,0,0
35,0,1.5804500441323452,0,0,-0.009964356133525204,0.00584328286695418,0,0
36,0,1.5804298558167262,0,0,-0.010530293010375641,0.00598510582836731,0,0
37,0,1.5804089503110272,0,0,-0.01110676086954815,0.0061280573396768345,0,0
38,0,1.5803873198767668,0,0,-0.011693378306292855,0.006271877986186503,0,0
39,0,1.5803649573957208,0,0,-0.012289759459461763,0.00641631007039592,0,0
40,0,1.5803418579469186,0,0,-0.012895517927181698,0.006561097358523421,0,0
41,0,1.5803180124848075,0,0,-0.013510261710914151,0.006705986176788803,0,0
42,0,1.5802934149327708,0,0,-0.014133595318571246,0.006850726348734848,0,0
43,0,1.580268060052457,0,0,-0.014765120081839049,0.00699507136657293,0,0
44,0,1.5802419434806552,0,0,-0.015404435203570491,0.007138778216229796,0,0
45,0,1.5802150620568094,0,0,-0.016051136967785137,0.007281609111892767,0,0
46,0,1.5801874150528832,0,0,-0.01670482032197966,0.007423330979354575,0,0
47,0,1.580159000668782,0,0,-0.017365078030354728,0.0075637160562360695,0,0
48,0,1.5801298196324238,0,0,-0.01803149968041409,0.00770254325790018,0,0
49,0,1.580107215285806,0,0,-0.018703815869630585,0.007839955198258558,0,0
50,0,1.580096798667273,0,0,-0.019381889073149618,0.007976105486328683,0,0
51,0,1.5800642032035017,0,0,-0.020064827567961338,0.008109224370237172,0,0
52,0,1.5800307770638922,0,0,-0.020752250016656825,0.008239995686009055,0,0
53,0,1.57999944567161,0,0,-0.021442458274880935,0.008368338303077871,0,0
54,0,1.5800140556145335,0,0,-0.022116705690474817,0.008502655307125101,0,0
55,0,1.5798244111287387,0,0,-0.022610328174907504,0.008717530468481643,0,0
56,0,1.5795905623524396,0,0,-0.023107178450484815,0.008938072354823912,0,0
57,0,1.5793148229583476,0,0,-0.0236566185255523,0.009196847815088727,0,0
58,0,1.5790531535116432,0,0,-0.02424576133647253,0.009488880529183202,0,0
59,0,1.5793784421052512,0,0,-0.024824222163168982,0.009737204524191467,0,0
60,0,1.5792787907317254,0,0,-0.025380892451653703,0.00992915057215335,0,0
61,0,1.5790262570354598,0,0,-0.025943570433432126,0.010057865644781117,0,0
62,0,1.5787969527104198,0,0,-0.026513140243521215,0.010120058851413871,0,0
63,0,1.5786875797282443,0,0,-0.027091040289210788,0.01010961844605715,0,0
64,0,1.5788151231868266,0,0,-0.027678499788196777,0.010016033732003021,0,0
65,0,1.5790525025439945,0,0,-0.028288055482304095,0.009853396928012514,0,0
66,0,1.5776350798565513,0,0,-0.029374124225828614,0.00961630484874676,0,0
67,0,1.5747256256776658,0,0,-0.029968027642046972,0.009680356143965535,0,0
68,0,1.5735233918068938,0,0,-0.03051614557354122,0.009761729588789847,0,0
69,0,1.5733881318028802,0,0,-0.031063639010510413,0.009781825402034788,0,0
70,0,1.5732586838206617,0,0,-0.03188511787593924,0.009838425067695389,0,0
71,0,1.573699011888785,0,0,-0.03270449658817883,0.009911559317932056,0,0
72,0,1.5747314093512592,0,0,-0.03352253185058983,0.009998311578244545,0,0
73,0,1.5748083781791833,0,0,-0.034309775943116905,0.010052986656588575,0,0
74,0,1.5745467401382696,0,0,-0.03474467755491224,0.01021665506225336,0,0
75,0,1.574596669047148,0,0,-0.03518654457359523,0.010320206099485418,0,0
76,0,1.5746772444843926,0,0,-0.03563133319979282,0.010397470850585289,0,0
77,0,1.5748306129444987,0,0,-0.03608138315844163,0.010449390290549199,0,0
78,0,1.5753799238010617,0,0,-0.036574299307777586,0.010417249905844278,0,0
79,0,1.574040705505589,0,0,-0.03710785601374967,0.01049042398936273,0,0
80,0,1.5731125977429192,0,0,-0.0377012224725932,0.010528362696960725,0,0
81,0,1.5723984815223098,0,0,-0.03831881170291951,0.010549727174733625,0,0
82,0,1.571844025731326,0,0,-0.03894152665542403,0.010547059346220522,0,0
