,JA_diff_l_prox_-0.004706203869110517,JV_l_prox_-0.21838081625008482,JA_diff_r_prox_0.004139946410761911,JV_r_prox_0.19698914007388396,JA_diff_l_distal_0.007105424546184383,JV_l_distal_0.34110010813868064,JA_diff_r_distal_-0.006063915182342589,JV_r_distal_-0.2947916089952642,EUC_dist_l_prox_0.0,EUC_dist_l_distal_0.0004983518823603627,EUC_dist_r_prox_0.0,EUC_dist_r_distal_0.0004219403442064106,EUC_dist_cube_controller_0.0007633118068758646,EUC_dist_cube_human_0.0010624006060028183
73,-0.011352578649338002,-0.4830726859895071,-0.004569629708784273,-0.192924089929925,0.009467409520557135,0.4060328824775925,-0.007351049180179425,-0.318604835892793,0.0,0.000820965350693049,0.0,0.00033220022074054243,0.0009201373249048015,0.0008645229898620399
74,-0.007109656867248404,-0.269646648632504,-0.002404355978387618,-0.0854246086388347,0.007568304675378501,0.3075400577930569,-0.0062094527746702766,-0.2554300231058272,0.0,0.0005759209022190014,0.0,0.00020535976925569455,0.0005185541227457189,0.0001702938636592633
75,-0.007801121660613697,-0.3455660724546353,-0.002560410406574287,-0.1137893021086829,0.008502241100132396,0.3730989689557861,-0.007011914180922618,-0.3081372364772823,0.0,0.0005389032740376573,0.0,0.0001758413829631133,0.0005625497529484905,0.00032449961479175544
76,-0.009296972263146394,-0.4072381080548503,-0.00295498334622879,-0.128388021597173,0.010008448164433803,0.4372708159421366,-0.008270918153116702,-0.3621707180492975,0.0,0.0006508784318174193,0.0,0.0002083824022580282,0.0006735592781666408,0.00013416407864998966
77,-0.009281242208953502,-0.3946136081803299,-0.002803678174093216,-0.117969776787252,0.010552090642587497,0.4530797772800038,-0.008752346644617492,-0.3766838830074931,0.0,0.0006720349050957599,0.0,0.00020499001744915185,0.0006562770373109121,0.00043416586692184993
78,-0.005445424422051197,-0.2016926529125363,-0.0007859821980893411,-0.017549363716589,0.008809331757785588,0.3626685177692105,-0.0073557998423585125,-0.3034377688793105,0.0,0.00044994681584154537,0.0,8.671646257968476e-05,0.00031660307436772594,0.0007803204469959752
79,-0.0055765861281319995,-0.2452340843358435,-0.000667779566962956,-0.0306026220455837,0.009124947610064105,0.3954355425661073,-0.0076224543713274695,-0.3306442206911776,0.0,0.00038845178393923145,0.0,4.4159847008455116e-05,0.00032063365325540736,0.00020248456731316534
80,-0.004495710482673804,-0.1818918404872269,9.814217919823509e-05,0.0108048351092978,0.008727667629916891,0.369388126021863,-0.007314128753398708,-0.3100044602144646,0.0,0.00034269363921974694,0.0,5.3589722025019666e-06,0.00022841893007939543,0.00032572994949804597
81,-0.0042613130282199985,-0.1820513507147788,0.00021611806741383965,0.0089006996934288,0.008563947021864304,0.3659160837519357,-0.007182834788808212,-0.3071471330738409,0.0,0.00030676561395419377,0.0,1.613316523682147e-05,0.00021049537017705226,0.00012041594578792151
82,-0.004166339790899004,-0.1771874941832516,0.0002544885866896385,0.0112166924747683,0.008445393448660105,0.3605543398283362,-0.007087934861353895,-0.3028604629612136,0.0,0.00030143566197946,0.0,1.762686600189985e-05,0.00020345126330019415,9.055385138137393e-05
83,-0.004101870421288997,-0.1748429550502451,0.00035773821895024316,0.0160350619995314,0.008420769684949397,0.3602744590279864,-0.007071047298292776,-0.3027617753054272,0.0,0.00029603729750492377,0.0,2.431095335852126e-05,0.0001971566475754761,0.0001649242250247056
84,-0.005971997107367798,-0.2705187814458702,-0.00041037270961286065,-0.0238854970142284,0.009647361641410196,0.421863356903568,-0.008080861373278903,-0.3538163931269237,0.0,0.00040128063218230597,0.0,1.7569401135321087e-05,0.000339188709554744,0.00038600518131237584
85,-0.0058861034869696,-0.2478882390926992,4.9011714436941745e-06,0.0048509861168832,0.010068805610514209,0.431989364205858,-0.008450530929582645,-0.3629697897932725,0.0,0.000430587962242778,0.0,8.268483017589943e-06,0.0003173558933215696,0.000743303437365923
86,-0.007396531352092901,-0.328910551264287,-0.00010567515974890807,-0.0059449304618293,0.0117360449639409,0.5150704801184631,-0.01001421445409778,-0.4380530887702418,0.0,0.0005082422524042672,0.0,4.369979885762908e-06,0.0004157622201577199,0.0011399122773266396
87,-0.0087350704504874,-0.3817218436943425,8.461298819961716e-05,0.005708713932269,0.013719209012734296,0.5996440871284952,-0.011633951883236099,-0.507672304353857,0.0,0.0006130797308214948,0.0,2.592598647464905e-06,0.0004903673938138365,0.001189621788637042
88,-0.0110695214995023,-0.4904586532977555,0.0003519442369439574,0.0172564068598843,0.017078004103943903,0.7542844983923833,-0.014397668721651408,-0.6343989313363194,0.0,0.000764381146607093,0.0,2.1879320990410025e-05,0.0006231067356613472,0.002061965082148583
89,-0.006725156816020001,-0.2485246295650261,0.003099243055092349,0.154539577188808,0.0157563729755633,0.6592569624476077,-0.013243894873371076,-0.5525023555387564,0.0,0.00055679106576563,0.0,0.0001819627373404398,0.00026606589875228154,0.0017480560631741744
90,-0.005685206253357099,-0.2418568717101598,0.003974618133746111,0.1727175996130088,0.0159577397382112,0.6871915696471603,-0.013300940239111603,-0.5713911305644183,0.0,0.000411334095833903,0.0,0.0002807149225102603,0.00021506536111035127,0.0009940321926376443
91,-0.0055297479565454,-0.2351923708211306,0.0039020707238004437,0.1654652182081861,0.016000092050631298,0.6842548551554848,-0.01325662729667812,-0.5659423520208048,0.0,0.0004001397181941794,0.0,0.0002831264312385148,0.00020692841506452327,0.00029832867780352624
92,-0.0068619215360698,-0.3040842609419737,0.0030867939274538125,0.1254716231439295,0.0168985958477042,0.7308506706372222,-0.013919225797430185,-0.6000191875112543,0.0,0.0004733905835999742,0.0,0.0002342461464978489,0.00023987302895364993,0.00023345235059857577
93,-0.007488832505998001,-0.3228256873006763,0.0031838958851931887,0.1380754025034747,0.0179896467246648,0.7779323438657063,-0.014696261894921403,-0.6328261013038803,0.0,0.0005335726724084444,0.0,0.00022546104915601353,0.00025704273592312634,0.0010090094152187079
94,-0.005227257863290702,-0.2044198652417311,0.004372704990614262,0.1957575408155926,0.0168962516740154,0.7129847073587702,-0.0139016895658233,-0.5885105940316977,0.0,0.0004118838877517717,0.0,0.0002975275945888821,0.00019592416182267024,0.0008709190547921209
