,JA_diff_l_prox_-0.002609334532522281,JV_l_prox_-0.6277513655119572,JA_diff_r_prox_0.0026461890060997416,JV_r_prox_0.6365618927757073,JA_diff_l_distal_0.002779845168564964,JV_l_distal_0.6605772991565872,JA_diff_r_distal_-0.0027511147160074034,JV_r_distal_-0.6537088671006022,EUC_dist_l_prox_0.0,EUC_dist_l_distal_0.0004499409619802612,EUC_dist_r_prox_0.0,EUC_dist_r_distal_0.00045352114485590887,EUC_dist_cube_controller_0.0005755908983426567,EUC_dist_cube_human_0.00015827442534582442
90,0.00032081620096502395,0.0769958882315925,-8.666875829110854e-05,-0.0208005019898789,-5.683231663056176e-13,-1.3639489538179487e-10,-1.918114556076489e-10,-4.6034746681300793e-08,0.0,1.9207367017542962e-05,0.0,1.0125547360248247e-05,2.5633563382686696e-08,3.999999999999994e-05
91,0.00030657567742831127,0.0735781625827901,-0.00010109016693138351,-0.0242616400635392,5.684341886080802e-14,1.3639755990805428e-11,1.9181101151843905e-11,4.6034749345836405e-09,0.0,2.3096368433784038e-05,0.0,6.240602927824141e-06,2.3600131597123332e-08,0.0
92,0.0002529012980466705,0.0606963115312118,-0.00015516911044965997,-0.0372405865079088,-5.662137425588298e-15,-1.3642420519182385e-12,-1.918132319644883e-12,-4.6034642763840384e-10,0.0,2.2079692205751285e-05,0.0,7.280044614797253e-06,2.17327055851588e-08,0.0
93,0.00031269659357635593,0.0750471824583303,-9.518506142147665e-05,-0.0228444147411574,5.551115123125783e-16,1.3589129821411916e-13,1.9184653865522705e-13,4.603517567150366e-11,0.0,1.8205159423227846e-05,0.0,1.1166998699260392e-05,9.114986632219901e-08,0.0
94,0.00030774738805627866,0.0738593731335182,-0.00010029826386204199,-0.0240715833268909,-1.1102230246251565e-16,-1.3322676507260115e-14,-1.9206858326015208e-14,-4.604316927725449e-12,0.0,2.251572852718997e-05,0.0,6.854343832784343e-06,6.799613632585322e-08,3.999999999999994e-05
95,0.0002621267925009274,0.0629104302002109,-0.0001461336510931721,-0.0350720762623624,0.0,2.6645386472321647e-15,1.887379141862766e-15,4.609646045756904e-13,0.0,2.2156168982705486e-05,0.0,7.220104673660256e-06,3.207256470879475e-08,0.0
96,0.000320519946136244,0.0769247870727116,-8.738311627198847e-05,-0.0209719479052797,0.0,1.0587911840678754e-22,-2.220446049250313e-16,-4.5297121109925667e-14,0.0,1.8874689805579413e-05,0.0,1.0526391632192583e-05,1.899281481803174e-08,0.0
97,0.0003155758592751079,0.0757382062260301,-9.253437261735886e-05,-0.0222082494281661,0.0,2.1175823681357513e-22,0.0,5.3290707828985474e-15,0.0,2.3075766417209135e-05,0.0,6.294329685479215e-06,1.7724139482011843e-08,3.999999999999994e-05
98,0.00030641272809905917,0.0735390547437663,-0.00010187342535505906,-0.0244496220852196,0.0,4.235164736271503e-22,0.0,-3.441071348220595e-22,0.0,2.272239588405316e-05,0.0,6.655975248431657e-06,1.6334993903929005e-08,3.0000000000000024e-05
99,0.0003010067816611173,0.0722416275986565,-0.00010744114207050792,-0.0257858740969211,0.0,1.164670302474663e-21,0.0,-3.970466940254533e-23,0.0,2.2059106994104745e-05,0.0,7.337883886914658e-06,1.5058546126094437e-08,4.12310562561766e-05
100,0.0002946048245481281,0.0707051578915384,-0.00011689684104465581,-0.0280552418507062,0.0,7.411538288475128e-22,0.0,1.0852609636695725e-21,0.0,2.1676832685929337e-05,0.0,7.734624954907497e-06,1.3884872976280938e-08,0.0
101,0.00029538056254763134,0.0708913350114261,-0.00011595252937413036,-0.027828607049786,0.0,0.0,0.0,-1.3234889800848446e-23,0.0,2.120778418517048e-05,0.0,8.412418185351206e-06,9.787702580113896e-08,0.0
102,0.0002954614387383758,0.0709107452972186,-0.00011597010810526776,-0.0278328259452562,0.0,-1.0587911840678754e-22,0.0,1.3234889800848446e-23,0.0,2.1271849937065434e-05,0.0,8.352483006674762e-06,5.702955298281292e-08,3.9999999999999996e-05
103,0.0002870073232599246,0.0688817575823693,-0.00012423096410130174,-0.0298154313843038,0.0,4.235164736271503e-22,0.0,-3.838118042246048e-22,0.0,2.1269822176407995e-05,0.0,8.348364753675725e-06,2.3841208025827413e-08,4.000000000000001e-05
104,0.0002792760575417441,0.0670262538100246,-0.00013224907816178355,-0.0317397787588262,0.0,1.4823076576950256e-21,0.0,-3.1763735522036263e-22,0.0,2.0668490713870582e-05,0.0,8.943477833847103e-06,1.4151369891761917e-08,0.0
105,0.0002802268913777439,0.0672544539306619,-0.0001314293140811662,-0.0315430353794779,0.0,0.0,0.0,2.646977960169689e-23,0.0,2.0108522135258754e-05,0.0,9.524144525208886e-06,1.32182474883978e-08,4.000000000000001e-05
106,0.00023639534116726146,0.0567348818801365,-0.00017656124103293536,-0.0423746978478973,0.0,6.776263578034403e-21,0.0,1.3234889800848445e-21,0.0,2.0172589716864133e-05,0.0,9.464211262734702e-06,1.219947121342361e-08,0.0
107,0.0002408890722750412,0.0578133773459978,-0.0001721527406650658,-0.041316657759628,0.0,-2.646977960169689e-22,0.0,-4.764560328305439e-22,0.0,1.701926097791588e-05,0.0,1.2710561662923258e-05,1.126369880854342e-08,0.0
108,0.00029368551153619027,0.0704845227686892,-0.00011822892146218233,-0.0283749411509219,0.0,2.064642808932357e-21,0.0,2.9116757561866574e-21,0.0,1.7347796570786574e-05,0.0,1.2394407524072217e-05,1.0403700658752085e-08,0.0
109,0.00028837494984434997,0.0692099879626363,-0.00012381674356576333,-0.0297160184557841,0.0,8.470329472543003e-22,0.0,-2.646977960169689e-22,0.0,2.1139797165208513e-05,0.0,8.511583187656822e-06,9.613441552483008e-09,4.000000000000001e-05
110,0.00027938291540308136,0.0670518996967457,-0.00013301267996090882,-0.0319230431906092,0.0,0.0,0.0,0.0,0.0,2.0763714803493466e-05,0.0,8.91661442950309e-06,1.0178976714510234e-07,0.0
111,0.00028041872457384986,0.0673004938977327,-0.00013209010355463846,-0.0317016248531156,0.0,0.0,0.0,-5.293955920339377e-23,0.0,2.012317270879433e-05,0.0,9.575790416171704e-06,4.630159207976796e-08,4.000000000000001e-05
112,0.0002373694730716247,0.0569686735371857,-0.00017635615310729325,-0.0423254767457607,0.0,3.917527381051139e-21,0.0,6.590975120822525e-21,0.0,2.0187243291003115e-05,0.0,9.511733463329708e-06,1.697484326599036e-08,3.9999999999999996e-05
