,Phase,human_cube_pos,human_cube_orn,Cube_Pos,Cube_Orn,Cube_pos_in_start_pos,b'l_prox_pin'_link_pos,b'l_prox_pin'_link_orn,b'l_distal_pin'_link_pos,b'l_distal_pin'_link_orn,b'r_prox_pin'_link_pos,b'r_prox_pin'_link_orn,b'r_distal_pin'_link_pos,b'r_distal_pin'_link_orn,b'l_prox_pin'_joint_angle,b'l_prox_pin'_joint_vel,b'l_prox_pin'_joint_react_forces,b'l_prox_pin'_joint_motor_torque,b'l_distal_pin'_joint_angle,b'l_distal_pin'_joint_vel,b'l_distal_pin'_joint_react_forces,b'l_distal_pin'_joint_motor_torque,b'r_prox_pin'_joint_angle,b'r_prox_pin'_joint_vel,b'r_prox_pin'_joint_react_forces,b'r_prox_pin'_joint_motor_torque,b'r_distal_pin'_joint_angle,b'r_distal_pin'_joint_vel,b'r_distal_pin'_joint_react_forces,b'r_distal_pin'_joint_motor_torque,in_contact_l,contact_point_l_dist,contact_normal_l_dist,contact_distance_l_dist,contact_norm_force_l_dist,in_contact_r,contact_point_r_dist,contact_normal_r_dist,contact_distance_r_dist,contact_norm_force_r_dist
152,Move,"(0.07579999999999999, 0.0, -0.0007)","(0.0, 0.1033252370473163, 0.0)","(0.05888316966981434, 0.1536422922740571, 0.054185385656545425)","(-0.26899109283235084, 0.00583629648607084, -0.24278204398003272)","[0.04888434307109218, -0.0063854502478723485, 0.006634826642327792]","[-0.026750000193715096, 0.05299999937415123, 0.03999999910593033]","[0.0, 0.0, -0.13876628151401316]","[-0.016790863126516342, 0.12430789321660995, 0.03999999910593033]","[0.0, 0.0, -0.6749653561221297]","[0.026750000193715096, 0.05299999937415123, 0.03999999910593033]","[0.0, 0.0, -0.9267122511271498]","[0.08432480692863464, 0.09623356908559799, 0.03999999910593033]","[0.0, 0.0, -0.31361386200795766]",-0.14629994894518153,-1.8080810217867667,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-18.802546302662293,-0.5288612983085574,1.761039550659662,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-8.799767045868345,-0.9287708474546209,-0.4940672982330768,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",13.358454800095252,0.6097547502979088,-0.8024719478858012,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",4.2379423124407145,True,"(0.03826334774581899, 0.1743770786704663, 0.023995789902091474)","(0.9714285336265807, -0.23729492989145848, -0.004209549134893355)",-0.007025421452221012,111.03971691587857,True,"(0.09512066222915805, 0.16841965769111045, 0.05600416556907521)","(-0.9843794605435647, 0.1760106020243876, 0.004164809115996925)",0.0006914484394839073,17.469535834555543
153,Move,"(0.0746, 0.0, -0.0014)","(0.0, 0.1033252370473163, 0.0)","(0.0594002796216615, 0.15373314327729476, 0.054147738207996406)","(-0.26859735544945723, 0.00410667761177728, -0.2507784994619379)","[0.049401453022939336, -0.0062945992446346855, 0.006597179193778772]","[-0.026750000193715096, 0.05299999937415123, 0.03999999910593033]","[0.0, 0.0, -0.14629994522613685]","[-0.016253938898444176, 0.12423083931207657, 0.03999999910593033]","[0.0, 0.0, -0.6751613489646712]","[0.026750000193715096, 0.05299999937415123, 0.03999999910593033]","[0.0, 0.0, -0.9287710013046295]","[0.08441368490457535, 0.09611495584249496, 0.03999999910593033]","[0.0, 0.0, -0.3190161046119099]",-0.15381186267082594,-1.8028592941546573,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-16.839601440088245,-0.5223472241191677,1.5633778054535337,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-7.998149802477255,-0.9307002802719196,-0.4630638761516936,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",13.38683201512375,0.6057121822209465,-0.9702163384709639,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",4.937355475034343,True,"(0.03880935743933718, 0.1742863204494271, 0.02399416324512165)","(0.9706563859243424, -0.2403999136737922, -0.005836263353122289)",-0.007165607398193028,89.3921099342179,True,"(0.09559934901573032, 0.1682416669327543, 0.05600416556907521)","(-0.9843794605435647, 0.1760106020243876, 0.004164809115996925)",0.0007109550772426153,27.89566490827618
154,Move,"(0.07490000000000001, 0.0, -0.0014)","(0.0, 0.1033252370473163, 0.0)","(0.05981946861652011, 0.15377470384055716, 0.054123785074274636)","(-0.2684135613521102, 0.0030953307573033636, -0.25607800629693284)","[0.04982064201779795, -0.0062530386813722805, 0.0065732260600570025]","[-0.026750000193715096, 0.05299999937415123, 0.03999999910593033]","[0.0, 0.0, -0.15381187168197025]","[-0.015719160437583923, 0.12414998561143875, 0.03999999910593033]","[0.0, 0.0, -0.6761590968022657]","[0.026750000193715096, 0.05299999937415123, 0.03999999910593033]","[0.0, 0.0, -0.9307003116358563]","[0.08449676632881165, 0.09600362181663513, 0.03999999910593033]","[0.0, 0.0, -0.3249881343431852]",-0.1609232331307756,-1.7067289103879197,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-17.538612462225483,-0.5152575445208784,1.701523103589438,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-8.379164346797422,-0.9324364634266263,-0.4166839571295981,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",14.219204214570508,0.6015019514008565,-1.0104553968215935,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",5.307605966866756,True,"(0.0393923514315984, 0.17414370891650788, 0.023995892592988673)","(0.9687113556512142, -0.24815608944006715, -0.00410666606873689)",-0.007113910264086109,96.20780387612528,True,"(0.09611296779475478, 0.1680622419543852, 0.05600416556907521)","(-0.9843794605435647, 0.1760106020243876, 0.004164809115996925)",0.0005955719182762768,32.688008311684975
155,Move,"(0.0741, 0.0, -0.0015)","(0.0, 0.1033252370473163, 0.0)","(0.060248230862543085, 0.15381251234765825, 0.05409824853090717)","(-0.26824056724419393, 0.002053110621984186, -0.26137910909777107)","[0.05024940426382092, -0.006215230174271197, 0.006547689516689534]","[-0.026750000193715096, 0.05299999937415123, 0.03999999910593033]","[0.0, 0.0, -0.16092322972963893]","[-0.015213469974696636, 0.12406974285840988, 0.03999999910593033]","[0.0, 0.0, -0.6761808353175801]","[0.026750000193715096, 0.05299999937415123, 0.03999999910593033]","[0.0, 0.0, -0.9324364212790579]","[0.08457133919000626, 0.09590329229831696, 0.03999999910593033]","[0.0, 0.0, -0.3309345506965995]",-0.16814355716683518,-1.7328777686542978,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-17.979045971483867,-0.5081566537027491,1.7042137963510298,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-8.525834134013834,-0.9341879634340146,-0.4203600017731795,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",14.268901915728678,0.5972710701209104,-1.01541150718705,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",5.3213151755557275,True,"(0.039897806754898874, 0.17405716059386683, 0.02399690392149666)","(0.9673861770257832, -0.2532871956051899, -0.003095325814540899)",-0.007121025709444602,98.0398617566307,True,"(0.0966158253893191, 0.16789156989791315, 0.05600416556907521)","(-0.9843794605435647, 0.1760106020243876, 0.004164809115996925)",0.0006105691872055427,32.085434499888066
156,Move,"(0.074, 0.0, -0.0015)","(0.0, 0.10792941561407735, 0.0)","(0.060665281250201326, 0.1538526782209386, 0.05407058125291418)","(-0.26807123571716657, 0.0009545398918369504, -0.2665193002268198)","[0.05066645465147916, -0.006175064300990851, 0.006520022238696549]","[-0.026750000193715096, 0.05299999937415123, 0.03999999910593033]","[0.0, 0.0, -0.16814355562087738]","[-0.014700628817081451, 0.12398459762334824, 0.03999999910593033]","[0.0, 0.0, -0.6763001985603583]","[0.026750000193715096, 0.05299999937415123, 0.03999999910593033]","[0.0, 0.0, -0.9341879420943816]","[0.08464639633893967, 0.0958019569516182, 0.03999999910593033]","[0.0, 0.0, -0.33691692558752373]",-0.17514289919115889,-1.679842085837686,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-17.631652721018025,-0.5011546035831248,1.680492028709833,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-8.406906244664865,-0.9357657997711469,-0.3786807209117644,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",14.154474467068903,0.5930930148021655,-1.0027332764987846,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",5.2733969267777585,True,"(0.04041529448591184, 0.17396041903792156, 0.02399794613253805)","(0.9660324810661011, -0.2584125195650739, -0.0020531091795836366)",-0.007133067236470468,97.07328471313616,True,"(0.09712132499435025, 0.16771688760166595, 0.05600416556907521)","(-0.9843794605435647, 0.1760106020243876, 0.004164809115996925)",0.0006197748682389736,31.098049434178296
157,Move,"(0.0755, 0.0, -0.0017)","(0.0, 0.11653563415566137, 0.0)","(0.0610460757189318, 0.15402509510605755, 0.05398259478376306)","(-0.26757994107306377, -0.0021346745780163883, -0.27754929121200295)","[0.05104724912020964, -0.006002647415871892, 0.00643203576954543]","[-0.026750000193715096, 0.05299999937415123, 0.03999999910593033]","[0.0, 0.0, -0.17514289180817408]","[-0.014204083010554314, 0.12389852106571198, 0.03999999910593033]","[0.0, 0.0, -0.6762975434224513]","[0.026750000193715096, 0.05299999937415123, 0.03999999910593033]","[0.0, 0.0, -0.9357659897215171]","[0.08471386134624481, 0.09571055322885513, 0.03999999910593033]","[0.0, 0.0, -0.3426727736491061]",-0.1822602007644693,-1.7081523775945018,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-12.619893577489997,-0.4963910918771212,1.14324280944086,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-6.025419509242015,-0.9371048243964146,-0.3213659100642414,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",10.055489123530817,0.5902389652516763,-0.6849718921174007,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",3.7124137269587227,True,"(0.04091036524061126, 0.17386952732227678, 0.023999044701887632)","(0.9646930288870958, -0.2633751105752257, -0.0009545397468821826)",-0.00713633496659789,93.36644536126356,True,"(0.09760251300504112, 0.16755248810167545, 0.05600416556907521)","(-0.9843794605435647, 0.1760106020243876, 0.004164809115996925)",0.000619408765364339,22.214468391406978
158,Move,"(0.0755, 0.0, -0.0025)","(0.0, 0.1251278900632295, 0.0)","(0.061312409697865514, 0.15394540323733194, 0.054029070580697364)","(-0.2677106895853983, -0.0005047951661831933, -0.27757538030699236)","[0.05131358309914335, -0.006082339284597504, 0.0064785115664797305]","[-0.026750000193715096, 0.05299999937415123, 0.03999999910593033]","[0.0, 0.0, -0.18226022622128957]","[-0.013699798844754696, 0.12380743026733398, 0.03999999910593033]","[0.0, 0.0, -0.6786512452141029]","[0.026750000193715096, 0.05299999937415123, 0.03999999910593033]","[0.0, 0.0, -0.9371048819152201]","[0.08477099984884262, 0.0956328958272934, 0.03999999910593033]","[0.0, 0.0, -0.34686583283103595]",-0.18937519359688215,-1.7075982797790838,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-21.275558037374566,-0.48799664886235944,2.014666323542823,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-9.641370138493269,-0.9388195375726456,-0.41153116229543146,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",14.919010921715799,0.5855473757047297,-1.1259814912671713,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",5.619041063761788,True,"(0.04153211782685451, 0.17364857315228527, 0.023999044701887632)","(0.9646930288870958, -0.2633751105752257, -0.0009545397468821826)",-0.0072215380173360905,123.07953786828728,True,"(0.09796077588997155, 0.16742016031788362, 0.05600416556907521)","(-0.9843794605435647, 0.1760106020243876, 0.004164809115996925)",0.0004417595615242439,37.07020539990407
