,Phase,human_cube_pos,human_cube_orn,Cube_Pos,Cube_Orn,Cube_pos_in_start_pos,b'l_prox_pin'_link_pos,b'l_prox_pin'_link_orn,b'l_distal_pin'_link_pos,b'l_distal_pin'_link_orn,b'r_prox_pin'_link_pos,b'r_prox_pin'_link_orn,b'r_distal_pin'_link_pos,b'r_distal_pin'_link_orn,b'l_prox_pin'_joint_angle,b'l_prox_pin'_joint_vel,b'l_prox_pin'_joint_react_forces,b'l_prox_pin'_joint_motor_torque,b'l_distal_pin'_joint_angle,b'l_distal_pin'_joint_vel,b'l_distal_pin'_joint_react_forces,b'l_distal_pin'_joint_motor_torque,b'r_prox_pin'_joint_angle,b'r_prox_pin'_joint_vel,b'r_prox_pin'_joint_react_forces,b'r_prox_pin'_joint_motor_torque,b'r_distal_pin'_joint_angle,b'r_distal_pin'_joint_vel,b'r_distal_pin'_joint_react_forces,b'r_distal_pin'_joint_motor_torque,in_contact_l,contact_point_l_dist,contact_normal_l_dist,contact_distance_l_dist,contact_norm_force_l_dist,in_contact_r,contact_point_r_dist,contact_normal_r_dist,contact_distance_r_dist,contact_norm_force_r_dist
341,Move,"(0.038200000000000005, 0.0, -0.019600000000000003)","(0.0, 0.043015384744652246, 0.0)","(0.043844471459795795, 0.15817389991514094, 0.04966229057408914)","(-0.03783743223298155, 0.00047206666241221237, -0.19489442826904543)","[0.03384564486107363, -0.0018538426067885028, 0.002111731559871509]","[-0.026750000193715096, 0.05299999937415123, 0.03999999910593033]","[0.0, -0.0, 0.021664059295135214]","[-0.028309689834713936, 0.12498310208320618, 0.03999999910593033]","[0.0, 0.0, -0.5238107955743936]","[0.026750000193715096, 0.05299999937415123, 0.03999999910593033]","[0.0, 0.0, -0.7620952234289978]","[0.07646158337593079, 0.10508415102958679, 0.03999999910593033]","[0.0, 0.0, -0.21012594685491212]",0.019182378651649398,-0.5956035036148127,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-5.058252393031498,-0.5434882649839343,0.4767666495721339,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-2.46550346436695,-0.7629110431755887,-0.19578594295997165,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",3.6282651912626758,0.5509922604584288,-0.23449346107740332,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",1.2216085271666104,True,"(0.01856272901102022, 0.1826678980239771, 0.023999586859191995)","(0.9814242205098515, -0.1918497570548476, -0.0004124495437169392)",-0.002089111214510941,31.976671693292676,True,"(0.06889376960219161, 0.12713050430934586, 0.05600041320950294)","(-0.9814242205098521, 0.19184975705484472, 0.00041244954371848116)",-0.0007471499321528197,21.103565816812985
342,Move,"(0.038200000000000005, 0.0, -0.019600000000000003)","(0.0, 0.043015384744652246, 0.0)","(0.043984973517124645, 0.15809444290872326, 0.049681906542775975)","(-0.03791899512254794, 0.0005719361425422283, -0.19637315652941043)","[0.03398614691840248, -0.0019332996132061797, 0.0021313475285583416]","[-0.026750000193715096, 0.05299999937415123, 0.03999999910593033]","[0.0, -0.0, 0.01918238046778235]","[-0.028131047263741493, 0.12498675286769867, 0.03999999910593033]","[0.0, 0.0, -0.5243058809456723]","[0.026750000193715096, 0.05299999937415123, 0.03999999910593033]","[0.0, 0.0, -0.7629111126161507]","[0.07650405913591385, 0.10504357516765594, 0.03999999910593033]","[0.0, 0.0, -0.21191877043391702]",0.016611623190727755,-0.6169813106211938,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-5.324547555693905,-0.5413518182958289,0.5127472051453009,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-2.5591924242463864,-0.7638017183477703,-0.21376204132360407,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",3.7329576042617916,0.5499337254583253,-0.25404840002483,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",1.2897548741960996,True,"(0.018769668742304044, 0.18264700364426234, 0.023999527242394885)","(0.9810680110369463, -0.19366294140359702, -0.0004720666448796242)",-0.002109494547778276,33.2263304099347,True,"(0.06897579019679577, 0.127103519865588, 0.056000472826604086)","(-0.9810680110369477, 0.1936629414035899, 0.00047206664487252624)",-0.0007672780613068372,21.74939821402814
343,Move,"(0.038, 0.0, -0.0198)","(0.0, 0.03875852669903807, 0.0)","(0.04412290010875175, 0.15801125933373084, 0.049702775480280646)","(-0.03800690243519416, 0.0006284233748903658, -0.19800405610713398)","[0.034124073510029586, -0.002016483188198609, 0.002152216466063013]","[-0.026750000193715096, 0.05299999937415123, 0.03999999910593033]","[0.0, -0.0, 0.01661162482431999]","[-0.027945982292294502, 0.1249900683760643, 0.03999999910593033]","[0.0, 0.0, -0.5247401527021613]","[0.026750000193715096, 0.05299999937415123, 0.03999999910593033]","[0.0, 0.0, -0.7638017356349044]","[0.07655038684606552, 0.10499924421310425, 0.03999999910593033]","[0.0, 0.0, -0.21386800681549534]",0.014059358780946482,-0.6125434583475057,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-5.293996984243497,-0.5392296703761863,0.5093155007142334,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-2.564044807269903,-0.7646480151427796,-0.20311123080220833,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",3.7831703299134394,0.5488808673002763,-0.25268595793175913,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",1.2951917728025777,True,"(0.018979568073781376, 0.18262891682835736, 0.023999427374521844)","(0.9807805125270682, -0.19511345196122673, -0.000571936111360402)",-0.0021398685679280393,33.144316054386096,True,"(0.06906504626182004, 0.1270733553530745, 0.05600057269607059)","(-0.980780512527067, 0.1951134519612329, 0.0005719361113675085)",-0.0007899358918604175,21.924639575848634
344,Move,"(0.0374, 0.0, -0.0207)","(0.0, 0.03446676206838401, 0.0)","(0.04425388064368332, 0.15792947095477627, 0.049723730211987664)","(-0.03810351273056264, 0.000670421650388321, -0.1996117957398155)","[0.03425505404496115, -0.0020982715671531704, 0.002173171197770031]","[-0.026750000193715096, 0.05299999937415123, 0.03999999910593033]","[0.0, -0.0, 0.01405936009516392]","[-0.027762239798903465, 0.12499288469552994, 0.03999999910593033]","[0.0, 0.0, -0.5251702892930733]","[0.026750000193715096, 0.05299999937415123, 0.03999999910593033]","[0.0, 0.0, -0.7646480080316728]","[0.07659438252449036, 0.10495707392692566, 0.03999999910593033]","[0.0, 0.0, -0.21576714090653396]",0.011566154085377568,-0.5983691269365392,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-5.294712890773413,-0.5370987684367381,0.511416465467576,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-2.5702804697495067,-0.7654321664649326,-0.18819631731674097,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",3.8097168508404895,0.5478202192266395,-0.25455553767282335,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",1.3054981363217544,True,"(0.01918786099643343, 0.18261036857424962, 0.023999370887662123)","(0.9804609646255364, -0.19671273962221195, -0.0006284233335277943)",-0.002166362043033666,33.2021536278581,True,"(0.06915091807874224, 0.12704510382342007, 0.056000629183292745)","(-0.9804609646255371, 0.19671273962220992, 0.0006284233335264152)",-0.0008105258865394122,22.09339991351969
345,Move,"(0.038, 0.0, -0.0198)","(0.0, 0.03875852669903807, 0.0)","(0.044370825979449205, 0.1578527458104292, 0.049744826010532685)","(-0.03821837174446717, 0.0006798095173476555, -0.20118567289403047)","[0.03437199938072704, -0.002174996711500232, 0.0021942669963150516]","[-0.026750000193715096, 0.05299999937415123, 0.03999999910593033]","[0.0, -0.0, 0.011566154731483928]","[-0.027582744136452675, 0.12499518692493439, 0.03999999910593033]","[0.0, 0.0, -0.5255325903308329]","[0.026750000193715096, 0.05299999937415123, 0.03999999910593033]","[0.0, 0.0, -0.7654320883038519]","[0.07663510739803314, 0.104917973279953, 0.03999999910593033]","[0.0, 0.0, -0.2176119412930319]",0.009226864534609244,-0.5614294921843977,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-5.212340240781017,-0.5349940518260119,0.5051319865742767,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-2.543300055165013,-0.7660832870227466,-0.15626893387536583,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",3.806452350106903,0.5467700444135515,-0.2520419551411154,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",1.3000998070330307,True,"(0.01938798262222754, 0.18259443375165962, 0.023999328889349934)","(0.980143408000411, -0.19828880525187972, -0.0006704216001670738)",-0.0021913142558258668,32.882468113432346,True,"(0.06923235857468397, 0.12701946406368006, 0.05600067118155939)","(-0.9801434080004102, 0.19828880525188294, 0.0006704216001718411)",-0.0008296094699362873,22.046080332969105
346,Move,"(0.038200000000000005, 0.0, -0.019600000000000003)","(0.0, 0.043015384744652246, 0.0)","(0.04449593393765704, 0.1577755189423494, 0.049765861817068095)","(-0.03835626034643294, 0.0007189883746122919, -0.2027052136478437)","[0.03449710733893487, -0.0022522235795800483, 0.002215302802850462]","[-0.026750000193715096, 0.05299999937415123, 0.03999999910593033]","[0.0, -0.0, 0.009226864421820915]","[-0.02741432562470436, 0.12499693781137466, 0.03999999910593033]","[0.0, 0.0, -0.5257671365541604]","[0.026750000193715096, 0.05299999937415123, 0.03999999910593033]","[0.0, 0.0, -0.7660832828339894]","[0.07666890323162079, 0.10488548129796982, 0.03999999910593033]","[0.0, 0.0, -0.2193132477492425]",0.0067426512589158685,-0.59621118616641,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-5.530347402567993,-0.5327933599067102,0.5281660606324012,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-2.6532280259314125,-0.7668157908021316,-0.1758009070523887,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",3.8844125734011774,0.5456650905026937,-0.26518893860587023,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",1.3523454124437437,True,"(0.019569645500058925, 0.18258385267904687, 0.023999319500530938)","(0.9798301057475477, -0.19983118307671802, -0.0006798094649860193)",-0.0022115124987129617,34.25550821719966,True,"(0.06930373924987683, 0.1269994092628307, 0.05600068056942421)","(-0.9798301057475475, 0.19983118307671946, 0.0006798094649986221)",-0.0008457750944566208,22.936926637641562
347,Move,"(0.038200000000000005, 0.0, -0.019899999999999998)","(0.0, 0.043015384744652246, 0.0)","(0.04462119709512996, 0.1576944023713394, 0.049787911958134354)","(-0.03849944590538847, 0.0007241211280388227, -0.2043392964569271)","[0.034622370496407796, -0.0023333401505900575, 0.0022373529439167206]","[-0.026750000193715096, 0.05299999937415123, 0.03999999910593033]","[0.0, -0.0, 0.006742651234168734]","[-0.027235466986894608, 0.12499836087226868, 0.03999999910593033]","[0.0, 0.0, -0.5260507020801705]","[0.026750000193715096, 0.05299999937415123, 0.03999999910593033]","[0.0, 0.0, -0.7668158741739488]","[0.0767068937420845, 0.10484890639781952, 0.03999999910593033]","[0.0, 0.0, -0.2211506945221295]",0.0042379387467189646,-0.6011310029272569,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-5.529933960331156,-0.5305839959714943,0.5302473444518134,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-2.6746104048150023,-0.767535164943088,-0.17264979382956241,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",3.9571842210186894,0.5445533621003219,-0.2668148165692516,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",1.3690313637494254,True,"(0.019764580226723925, 0.18257074671124868, 0.023999280321575337)","(0.9795252961815685, -0.2013198380592849, -0.0007189883126663199)",-0.002238768159046238,34.3964193848293,True,"(0.06938231395449061, 0.12697601399290567, 0.05600071974827187)","(-0.9795252961815692, 0.20131983805928166, 0.0007189883126577714)",-0.0008640927802239819,23.26990493477748
348,Move,"(0.037899999999999996, 0.0, -0.0202)","(0.0, 0.043015384744652246, 0.0)","(0.044899841674599435, 0.1575510155763575, 0.04976745116780693)","(-0.037319001612826745, 0.00018303266800206953, -0.21729815299713423)","[0.03490101507587727, -0.0024767269455719387, 0.002216892153589299]","[-0.026750000193715096, 0.05299999937415123, 0.03999999910593033]","[0.0, -0.0, 0.004237939134344478]","[-0.027055131271481514, 0.12499935179948807, 0.03999999910593033]","[0.0, 0.0, -0.5263460620083877]","[0.026750000193715096, 0.05299999937415123, 0.03999999910593033]","[0.0, 0.0, -0.7675352180198086]","[0.07674417644739151, 0.10481294989585876, 0.03999999910593033]","[0.0, 0.0, -0.22298181738945558]",0.0015775346254186273,-0.638496989112081,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-1.1062054786396935,-0.530768756950838,-0.0443426350424837,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.5501545417229765,-0.7680630560214201,-0.12669385879970835,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.7199890722043266,0.5446508145604525,0.023388590431354772,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.20937827703075185,True,"(0.019961647851693444, 0.18255654185305434, 0.023999275187770952)","(0.9791950116379918, -0.20292019325822813, -0.0007241210647566283)",-0.0022641364341039667,3.4023366912478745,True,"(0.06946008905523347, 0.1269532449179804, 0.05600072488102397)","(-0.9791950116379919, 0.20292019325822772, 0.0007241210647509148)",-0.0008813782111875267,3.6194930202560913
349,Move,"(0.037899999999999996, 0.0, -0.0202)","(0.0, 0.03875852669903807, 0.0)","(0.04515416394604341, 0.15742534980197323, 0.0496870508398054)","(-0.03422420173483888, -0.00040107293436152466, -0.22946623545478745)","[0.03515533734732124, -0.0026023927199562147, 0.002136491825587769]","[-0.026750000193715096, 0.05299999937415123, 0.03999999910593033]","[0.0, -0.0, 0.0015775346453928525]","[-0.02686358243227005, 0.12499991059303284, 0.03999999910593033]","[0.0, 0.0, -0.5291912107279089]","[0.026750000193715096, 0.05299999937415123, 0.03999999910593033]","[0.0, 0.0, -0.7680631797377729]","[0.07677152007818222, 0.10478655248880386, 0.03999999910593033]","[0.0, 0.0, -0.2234122165667478]",-0.0009799075516996672,-0.6137861225083907,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.06668533047964711,-0.5307489209478577,0.004760640715264941,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.044864039221513226,-0.7685162244835544,-0.10876043091222432,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.09247302351611889,0.544640522398517,-0.0024701188645288204,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.018539524794924718,True,"(0.02031463505544807, 0.18241320881130707, 0.023999816255352323)","(0.9764834932973125, -0.2155921005438743, -0.00018303266697997325)",-0.0020745755082285213,0.0,True,"(0.06949958847776759, 0.12694222996404714, 0.056000183792626196)","(-0.976483493297314, 0.2155921005438685, 0.0001830326669791993)",-0.0008178818116771145,0.7078517817445159
