,x,y,rmag,f_x,f_y,f_rot_mag
99,-0.2396,0.3032,5.9201,-0.2102,0.3018,7.3288
100,-0.2102,0.2695,7.8903,-0.2144,0.3005,7.2576
101,-0.2208,0.318,6.9579,-0.2182,0.3021,7.1954
102,-0.1968,0.2886,3.9451,-0.217,0.3018,6.9324
103,-0.2396,0.3032,5.9201,-0.219,0.3016,6.6703
104,-0.2396,0.3032,5.9201,-0.221,0.3012,6.4678
105,-0.2444,0.2727,5.9201,-0.2234,0.2987,6.2652
106,-0.2511,0.2964,3.9451,-0.2282,0.3004,5.931
107,-0.2511,0.2964,3.9451,-0.2295,0.2991,5.7302
108,-0.2511,0.2964,3.9451,-0.2315,0.298,5.5293
109,-0.2422,0.3079,3.9451,-0.2358,0.2983,5.3976
110,-0.2572,0.2964,3.9451,-0.2374,0.2979,5.266
111,-0.2572,0.2964,3.9451,-0.239,0.2974,5.1343
112,-0.2572,0.2964,3.9451,-0.2398,0.2965,5.0673
113,-0.2572,0.2964,3.9451,-0.241,0.2961,4.9356
114,-0.2375,0.2595,5.9201,-0.2409,0.2932,4.9356
115,-0.2679,0.3033,2.94,-0.2447,0.2954,4.6056
116,-0.2633,0.2964,3.9451,-0.2476,0.294,4.4048
117,-0.2633,0.2964,3.9451,-0.252,0.2945,4.4048
118,-0.2633,0.2964,3.9451,-0.2536,0.294,4.2731
119,-0.2513,0.3169,4.9502,-0.2544,0.295,4.2084
120,-0.2633,0.3041,3.9451,-0.2556,0.297,4.0768
121,-0.2633,0.3041,3.9451,-0.2564,0.2976,4.0768
122,-0.2633,0.3041,3.9451,-0.2572,0.2981,4.0768
123,-0.2633,0.3041,3.9451,-0.2581,0.2986,4.0768
124,-0.2485,0.3295,5.9201,-0.2585,0.3,4.2084
125,-0.2571,0.3244,4.9502,-0.2585,0.3019,4.2754
126,-0.2571,0.3244,4.9502,-0.2585,0.3038,4.3424
127,-0.2571,0.3244,4.9502,-0.2585,0.3056,4.4095
128,-0.2634,0.3195,5.9201,-0.2589,0.3072,4.5411
129,-0.2545,0.3299,5.9201,-0.26,0.3119,4.5411
130,-0.2631,0.3247,4.9502,-0.2597,0.3133,4.6751
131,-0.2646,0.3436,6.9579,-0.2598,0.3164,4.876
132,-0.2633,0.3106,4.9162,-0.2598,0.3174,4.9407
133,-0.2633,0.3106,4.9162,-0.2598,0.3183,5.0055
134,-0.2815,0.3041,3.9451,-0.2618,0.3175,4.9385
135,-0.2274,0.2953,3.9451,-0.2594,0.3169,4.9385
136,-0.2274,0.2953,3.9451,-0.257,0.3163,4.9385
137,-0.2274,0.2953,3.9451,-0.2546,0.3157,4.9385
138,-0.2274,0.2953,3.9451,-0.2522,0.3151,4.9385
139,-0.2274,0.2953,3.9451,-0.2508,0.3128,4.8068
140,-0.2797,0.3263,4.9502,-0.2523,0.313,4.8068
141,-0.2691,0.3249,4.9502,-0.2531,0.313,4.8068
142,-0.2691,0.3249,4.9502,-0.2539,0.313,4.8068
143,-0.2695,0.3198,5.9201,-0.2543,0.3131,4.8068
144,-0.2695,0.3198,5.9201,-0.2553,0.3124,4.8068
145,-0.2695,0.3198,5.9201,-0.2557,0.3121,4.8715
146,-0.238,0.3174,3.9451,-0.254,0.3103,4.6706
147,-0.2352,0.3221,3.9451,-0.2521,0.3111,4.6059
148,-0.222,0.3026,3.9451,-0.2493,0.3105,4.5411
149,-0.2695,0.3198,5.9201,-0.2485,0.3116,4.6728
150,-0.2695,0.3198,5.9201,-0.2513,0.3132,4.8045
151,-0.2695,0.3198,5.9201,-0.2542,0.3149,4.9361
152,-0.2691,0.3249,4.9502,-0.2569,0.3168,5.0031
153,-0.2755,0.32,5.9201,-0.2601,0.3185,5.1348
154,-0.2755,0.32,5.9201,-0.2633,0.3201,5.2665
155,-0.2755,0.32,5.9201,-0.2631,0.3197,5.3311
156,-0.2691,0.3249,4.9502,-0.2631,0.3197,5.3311
157,-0.2271,0.3025,3.9451,-0.2603,0.3182,5.2641
158,-0.2271,0.3025,3.9451,-0.2574,0.3171,5.1324
159,-0.2271,0.3025,3.9451,-0.2546,0.3159,5.0008
160,-0.2271,0.3025,3.9451,-0.2518,0.3148,4.8691
161,-0.2271,0.3025,3.9451,-0.2511,0.3138,4.8691
162,-0.2723,0.3233,3.9451,-0.2535,0.3138,4.8691
163,-0.2918,0.318,2.94,-0.2582,0.3149,4.8021
164,-0.2806,0.3028,2.9741,-0.2589,0.3137,4.6057
165,-0.2806,0.3028,2.9741,-0.2597,0.3126,4.4093
166,-0.2876,0.3117,3.9451,-0.2609,0.3121,4.2776
167,-0.2876,0.3117,3.9451,-0.2621,0.3112,4.2106
168,-0.2411,0.2647,2.94,-0.2598,0.3075,4.012
169,-0.2808,0.3171,2.94,-0.2602,0.3073,3.8133
170,-0.2808,0.3171,2.94,-0.2605,0.3071,3.6146
171,-0.2808,0.3171,2.94,-0.2613,0.3066,3.4806
172,-0.2808,0.3171,2.94,-0.2649,0.3076,3.4136
173,-0.2808,0.3171,2.94,-0.2685,0.3085,3.3466
174,-0.2808,0.3171,2.94,-0.272,0.3095,3.2796
175,-0.238,0.2956,1.9701,-0.2728,0.309,3.1479
176,-0.238,0.2956,1.9701,-0.2735,0.3086,3.0162
