,x,y,rmag,f_x,f_y,f_rot_mag
98,-0.4107,0.0533,5.0274,-0.4067,0.0521,4.8782
99,-0.4107,0.0533,5.0274,-0.4071,0.0526,4.9528
100,-0.4107,0.0533,5.0274,-0.4071,0.053,4.9528
101,-0.4195,0.0496,5.0274,-0.4081,0.0526,4.9528
102,-0.4166,0.0429,3.9081,-0.4089,0.0519,4.8782
103,-0.4167,0.0523,5.0274,-0.4097,0.0518,4.8782
104,-0.4167,0.0523,5.0274,-0.4105,0.0516,4.8782
105,-0.4226,0.0419,3.9081,-0.4117,0.0508,4.8035
106,-0.4222,0.0215,5.8372,-0.4128,0.0486,4.8575
107,-0.359,0.0491,5.8372,-0.4098,0.0483,4.9115
108,-0.3606,0.0469,5.8372,-0.4068,0.0478,4.9655
109,-0.428,0.043,5.0274,-0.4084,0.047,4.9655
110,-0.428,0.043,5.0274,-0.4099,0.0463,4.9655
111,-0.428,0.043,5.0274,-0.4111,0.0462,5.0401
112,-0.4337,0.0323,3.9081,-0.4122,0.0452,4.9655
113,-0.4233,0.0535,3.9081,-0.4131,0.0452,4.8909
114,-0.434,0.042,5.0274,-0.4146,0.0444,4.8909
115,-0.4212,0.0303,5.8372,-0.4153,0.0429,4.9449
116,-0.4184,0.0261,6.9776,-0.4153,0.0413,5.0749
117,-0.4231,0.0297,5.8372,-0.4157,0.0405,5.2035
118,-0.4388,0.0102,5.8372,-0.4172,0.0377,5.2575
119,-0.4388,0.0102,5.8372,-0.4186,0.0348,5.3115
120,-0.3816,0.0244,5.8372,-0.4159,0.0337,5.4401
121,-0.3816,0.0244,5.8372,-0.4132,0.0339,5.4401
122,-0.3816,0.0244,5.8372,-0.4147,0.0322,5.4401
123,-0.3816,0.0244,5.8372,-0.4161,0.0307,5.4401
124,-0.4448,0.0227,3.9081,-0.4172,0.0294,5.3654
125,-0.4506,0.0262,5.0274,-0.4187,0.0283,5.3654
126,-0.4454,0.0327,5.0274,-0.4199,0.0276,5.3654
127,-0.398,0.0032,5.0274,-0.4175,0.0256,5.4401
128,-0.4517,0.005,6.9776,-0.4194,0.0224,5.6447
129,-0.4496,0.0002,5.8372,-0.4205,0.0196,5.6987
130,-0.4496,0.0002,5.8372,-0.4223,0.0176,5.6987
131,-0.4496,0.0002,5.8372,-0.4244,0.0159,5.6227
132,-0.4496,0.0002,5.8372,-0.4262,0.0139,5.6227
133,-0.4496,0.0002,5.8372,-0.4269,0.0132,5.6227
134,-0.4496,0.0002,5.8372,-0.4276,0.0126,5.6227
135,-0.4496,0.0002,5.8372,-0.4322,0.011,5.6227
136,-0.4496,0.0002,5.8372,-0.4367,0.0093,5.6227
137,-0.4496,0.0002,5.8372,-0.4412,0.0077,5.6227
138,-0.4517,0.005,6.9776,-0.4459,0.0064,5.6987
139,-0.4512,0.0029,6.9776,-0.4463,0.0051,5.9033
140,-0.4512,0.0029,6.9776,-0.4464,0.0036,6.0333
141,-0.4482,0.0035,6.9776,-0.4466,0.0016,6.1633
142,-0.4512,0.0029,6.9776,-0.4501,0.0016,6.2934
143,-0.4512,0.0029,6.9776,-0.4501,0.0015,6.2934
144,-0.4517,0.005,6.9776,-0.4502,0.0018,6.3694
145,-0.4517,0.005,6.9776,-0.4504,0.0021,6.4454
146,-0.4517,0.005,6.9776,-0.4505,0.0024,6.5214
147,-0.4517,0.005,6.9776,-0.4506,0.0027,6.5975
148,-0.4517,0.005,6.9776,-0.4508,0.0031,6.6735
149,-0.4496,0.0002,5.8372,-0.4508,0.0031,6.6735
150,-0.454,0.0022,6.9776,-0.4511,0.0032,6.7495
151,-0.4541,0.0015,6.9776,-0.4514,0.0033,6.8255
152,-0.4488,-0.0106,8.9025,-0.4513,0.0026,7.0299
153,-0.4488,-0.0106,8.9025,-0.4511,0.0015,7.1582
154,-0.4488,-0.0106,8.9025,-0.451,0.0006,7.2866
155,-0.4471,-0.0108,8.9025,-0.4507,-0.0003,7.4149
156,-0.4471,-0.0108,8.9025,-0.4506,-0.0012,7.5432
157,-0.457,-0.0246,8.9025,-0.451,-0.0031,7.6715
158,-0.4529,-0.0487,8.9025,-0.4511,-0.0065,7.7999
159,-0.4799,0.0208,8.1496,-0.453,-0.0055,7.878
160,-0.4031,0.0644,6.9776,-0.4498,-0.0015,7.878
161,-0.3633,0.0034,6.9776,-0.4439,-0.0016,7.878
162,-0.4397,-0.0284,5.8372,-0.4431,-0.0038,7.802
163,-0.4513,-0.0012,5.0274,-0.443,-0.0043,7.672
164,-0.4513,-0.0012,5.0274,-0.4431,-0.0043,7.618
165,-0.4513,-0.0012,5.0274,-0.443,-0.0046,7.488
166,-0.4513,-0.0012,5.0274,-0.4428,-0.0048,7.3579
167,-0.4513,-0.0012,5.0274,-0.4429,-0.0041,7.0996
168,-0.4513,-0.0012,5.0274,-0.4431,-0.0035,6.8413
169,-0.4513,-0.0012,5.0274,-0.4433,-0.0029,6.5829
170,-0.4513,-0.0012,5.0274,-0.4436,-0.0022,6.3246
171,-0.4513,-0.0012,5.0274,-0.4438,-0.0016,6.0662
172,-0.4513,-0.0012,5.0274,-0.4435,-0.0,5.8079
173,-0.4427,0.0039,5.0274,-0.4428,0.0035,5.5496
174,-0.4427,0.0039,5.0274,-0.4403,0.0023,5.3414
175,-0.4513,-0.0012,5.0274,-0.4435,-0.002,5.2114
176,-0.4427,0.0039,5.0274,-0.4488,-0.002,5.0814
177,-0.3958,-0.0241,5.0274,-0.4459,-0.0017,5.0274
178,-0.3958,-0.0241,5.0274,-0.4422,-0.0032,5.0274
179,-0.4513,-0.0012,5.0274,-0.4422,-0.0032,5.0274
180,-0.4513,-0.0012,5.0274,-0.4422,-0.0032,5.0274
181,-0.4513,-0.0012,5.0274,-0.4422,-0.0032,5.0274
182,-0.4513,-0.0012,5.0274,-0.4422,-0.0032,5.0274
183,-0.4513,-0.0012,5.0274,-0.4422,-0.0032,5.0274
184,-0.4513,-0.0012,5.0274,-0.4422,-0.0032,5.0274
185,-0.4513,-0.0012,5.0274,-0.4422,-0.0032,5.0274
186,-0.4513,-0.0012,5.0274,-0.4422,-0.0032,5.0274
187,-0.4513,-0.0012,5.0274,-0.4422,-0.0032,5.0274
188,-0.4513,-0.0012,5.0274,-0.4428,-0.0036,5.0274
189,-0.4513,-0.0012,5.0274,-0.4433,-0.0039,5.0274
190,-0.4427,0.0039,5.0274,-0.4428,-0.0036,5.0274
191,-0.4427,0.0039,5.0274,-0.4428,-0.0036,5.0274
192,-0.4513,-0.0012,5.0274,-0.4465,-0.002,5.0274
193,-0.4513,-0.0012,5.0274,-0.4502,-0.0005,5.0274
194,-0.4513,-0.0012,5.0274,-0.4502,-0.0005,5.0274
195,-0.3958,-0.0241,5.0274,-0.4465,-0.002,5.0274
