,x,y,rmag,f_x,f_y,f_rot_mag
0,0.0,-0.0,0.0,0.0,0.0,0.0
1,0.0,-0.0,0.0,0.0,0.0,0.0
2,0.0,-0.0,0.0,0.0,0.0,0.0
3,0.0,-0.0,0.0,0.0,0.0,0.0
4,0.0,-0.0,0.0,0.0,0.0,0.0
5,0.0,-0.0,0.0,0.0,0.0,0.0
6,0.0,-0.0,0.0,0.0,0.0,0.0
7,0.0,-0.0,0.0,0.0,0.0,0.0
8,0.0,-0.0,0.0,0.0,0.0,0.0
9,0.0,-0.0,0.0,0.0,0.0,0.0
10,0.0,-0.0,0.0,0.0,0.0,0.0
11,0.0,-0.0,0.0,0.0,0.0,0.0
12,0.0,-0.0,0.0,0.0,0.0,0.0
13,0.0012,-0.0068,0.0,0.0001,-0.0005,0.0
14,0.0082,-0.0026,0.0,0.0006,-0.0006,0.0
15,0.0012,-0.0068,0.0,0.0007,-0.0011,0.0
16,0.0041,-0.0038,1.9701,0.001,-0.0013,0.1313
17,0.0089,-0.0168,5.0263,0.0016,-0.0025,0.4664
18,-0.0035,-0.0273,7.8075,0.0013,-0.0043,0.9869
19,-0.0075,-0.0446,10.1198,0.0008,-0.0072,1.6616
20,-0.0024,-0.0294,10.8728,0.0007,-0.0092,2.3864
21,0.0028,-0.0269,10.8728,0.0009,-0.011,3.1113
22,0.0028,-0.0269,10.8728,0.0011,-0.0128,3.8361
23,0.0028,-0.0269,10.8728,0.0012,-0.0146,4.561
24,0.0086,-0.0247,10.8728,0.0018,-0.0162,5.2858
25,-0.0002,-0.022,10.8728,0.0018,-0.0177,6.0107
26,0.0004,-0.0345,12.0613,0.0018,-0.02,6.8148
27,0.0011,-0.0275,13.9705,0.0019,-0.0218,7.7462
28,-0.0033,-0.0314,13.9705,0.0016,-0.0235,8.6775
29,-0.0033,-0.0314,13.9705,0.0008,-0.0254,9.6089
30,-0.0077,-0.0238,13.9705,0.0002,-0.0265,10.5403
31,0.001,-0.0167,15.2009,0.0,-0.0274,11.4223
32,-0.0036,-0.0146,17.0828,-0.0008,-0.0272,12.2261
33,-0.0036,-0.0146,17.0828,-0.0008,-0.0264,12.8444
34,-0.0036,-0.0146,17.0828,-0.0005,-0.0244,13.3086
35,-0.0036,-0.0146,17.0828,-0.0006,-0.0234,13.7226
36,-0.0036,-0.0146,17.0828,-0.0011,-0.0226,14.1366
37,-0.0036,-0.0146,17.0828,-0.0015,-0.0218,14.5506
38,-0.0036,-0.0146,17.0828,-0.0019,-0.0209,14.9646
39,-0.0008,-0.0162,17.0828,-0.0025,-0.0204,15.3786
40,0.0086,-0.0066,18.9228,-0.0019,-0.0194,15.9153
41,0.0078,-0.0041,20.1914,-0.0015,-0.0173,16.4573
42,0.0138,-0.0078,19.6398,-0.0006,-0.016,16.8353
43,0.0158,0.0014,21.4841,0.0007,-0.0138,17.3362
44,-0.0056,-0.0024,21.4841,0.0005,-0.0119,17.8371
45,0.0158,0.0014,21.4841,0.0021,-0.0102,18.338
46,0.0158,0.0014,21.4841,0.0031,-0.009,18.7569
47,0.0158,0.0014,21.4841,0.0044,-0.0079,19.0503
48,0.0158,0.0014,21.4841,0.0057,-0.0069,19.3437
49,0.0158,0.0014,21.4841,0.0069,-0.0058,19.6371
50,0.0078,0.0167,21.4841,0.0077,-0.0037,19.9305
51,0.0072,0.0072,21.4841,0.0084,-0.0023,20.224
52,0.0066,0.0074,23.2782,0.0091,-0.0008,20.637
53,0.0084,0.0071,23.2782,0.0099,0.0006,21.05
54,0.0084,0.0071,23.2782,0.0105,0.0022,21.463
55,0.0066,0.0074,23.2782,0.0104,0.0031,21.7534
56,0.0066,0.0074,23.2782,0.0103,0.0039,21.9592
57,0.0066,0.0074,23.2782,0.0098,0.0049,22.2017
58,0.0066,0.0074,23.2782,0.0092,0.0053,22.3213
59,0.0084,0.0071,23.2782,0.0101,0.0059,22.441
60,0.0066,0.0074,23.2782,0.0095,0.0063,22.5606
61,0.0127,0.0081,23.2782,0.0093,0.0068,22.6802
62,0.0127,0.0081,23.2782,0.0091,0.0072,22.7998
63,0.0127,0.0081,23.2782,0.0089,0.0077,22.9194
64,0.012,-0.008,22.8002,0.0087,0.0071,23.0071
65,0.012,-0.008,22.8002,0.0089,0.0054,23.0949
66,0.0009,-0.0106,22.8002,0.0085,0.0042,23.1826
67,0.0009,-0.0106,22.8002,0.0081,0.003,23.1507
68,0.0009,-0.0106,22.8002,0.0076,0.0018,23.1189
69,0.0008,0.0113,22.8002,0.0071,0.0021,23.087
70,0.0004,-0.0055,23.2782,0.0067,0.0013,23.087
71,-0.0048,-0.0092,23.2782,0.006,0.0002,23.087
72,-0.0048,-0.0092,23.2782,0.0052,-0.0009,23.087
73,-0.0046,-0.014,22.8002,0.0045,-0.0024,23.0551
74,-0.0024,0.0101,22.8002,0.0037,-0.0022,23.0233
75,-0.0111,0.0148,24.139,0.0026,-0.0017,23.0807
76,0.0082,0.0007,25.9223,0.0023,-0.0022,23.2569
