,x,y,rmag,f_x,f_y,f_rot_mag
98,0.0856,-0.137,3.9081,0.077,-0.1164,8.2655
99,0.0856,-0.137,3.9081,0.0779,-0.1184,7.7261
100,0.0826,-0.1375,3.9081,0.0785,-0.1205,7.2667
101,0.0968,-0.1542,0.0,0.0807,-0.1239,6.594
102,0.0882,-0.1692,2.9741,0.0816,-0.1286,6.1988
103,0.0832,-0.1701,2.9741,0.0819,-0.1321,5.8035
104,0.087,-0.1714,3.9451,0.0816,-0.136,5.3938
105,0.0812,-0.1777,3.9451,0.0816,-0.1398,5.0633
106,0.087,-0.1714,3.9451,0.0814,-0.1444,4.7328
107,0.0812,-0.1777,3.9451,0.0824,-0.1478,4.4023
108,0.0812,-0.1777,3.9451,0.0833,-0.1516,4.0718
109,0.081,-0.1579,4.9162,0.0835,-0.1546,3.9344
110,0.075,-0.1778,3.9451,0.0832,-0.1578,3.8083
111,0.075,-0.1778,3.9451,0.0827,-0.1612,3.6821
112,0.075,-0.1778,3.9451,0.083,-0.1648,3.61
113,0.0767,-0.1704,1.9701,0.0824,-0.167,3.4808
114,0.0655,-0.1485,0.0,0.0811,-0.1678,3.2202
115,0.0819,-0.1542,1.0679,0.0811,-0.1689,3.0309
116,0.0476,-0.1382,3.0561,0.0778,-0.1679,3.2346
117,0.0374,-0.1252,3.0561,0.0744,-0.1649,3.2401
118,0.0489,-0.131,3.9081,0.0721,-0.1623,3.3024
119,0.0427,-0.1368,3.9081,0.0692,-0.16,3.2999
120,0.029,-0.124,5.0274,0.0657,-0.1564,3.372
121,0.0484,-0.1362,5.0274,0.0631,-0.1541,3.4442
122,0.0357,-0.1254,6.9776,0.0601,-0.1506,3.6464
123,0.0167,-0.1192,5.0274,0.0558,-0.1467,3.7185
124,0.0203,-0.1169,6.9776,0.0517,-0.144,3.8559
125,0.0267,-0.1261,6.9776,0.0485,-0.1405,4.0581
126,0.0112,-0.1145,6.9776,0.0442,-0.1363,4.2603
127,0.0045,-0.1229,8.9025,0.0395,-0.1326,4.5908
128,0.0086,-0.1227,6.9776,0.035,-0.1295,4.9246
129,-0.0039,-0.1152,6.9776,0.0304,-0.1272,5.3898
130,0.0086,-0.1227,6.9776,0.0255,-0.1251,5.7838
131,0.0196,-0.1071,6.9776,0.0236,-0.1231,6.0452
132,0.0139,-0.1218,7.7442,0.0221,-0.1228,6.3577
133,0.0141,-0.1212,7.7442,0.0197,-0.1222,6.6135
134,0.0141,-0.1212,7.7442,0.0178,-0.1211,6.8692
135,0.0028,-0.121,6.9776,0.0161,-0.1209,6.9992
136,0.0089,-0.1409,6.9776,0.0135,-0.1213,7.1292
137,-0.0031,-0.1224,6.9776,0.0109,-0.1211,7.1292
138,0.0034,-0.1321,7.7442,0.01,-0.1219,7.3104
139,-0.0089,-0.1237,6.9776,0.008,-0.1224,7.3104
140,-0.0089,-0.1237,6.9776,0.0057,-0.1222,7.3104
141,-0.0148,-0.1251,6.9776,0.0039,-0.1229,7.3104
142,-0.0141,-0.1165,5.0274,0.0027,-0.1225,7.052
143,-0.0109,-0.1306,5.8372,0.0014,-0.123,6.976
144,-0.0245,-0.1273,5.0274,0.0,-0.1238,6.846
145,-0.0148,-0.1251,6.9776,-0.0015,-0.124,6.846
146,-0.0048,-0.1321,5.8372,-0.0032,-0.1256,6.7699
147,-0.0089,-0.1237,6.9776,-0.0047,-0.1258,6.7188
148,0.0011,-0.1308,5.8372,-0.0056,-0.1264,6.5917
149,-0.0038,-0.1364,6.9776,-0.0068,-0.1274,6.5406
150,-0.0012,-0.1244,8.9025,-0.007,-0.1277,6.6689
151,0.0018,-0.1349,6.9776,-0.0075,-0.1273,6.6689
152,-0.0016,-0.1102,6.9776,-0.0074,-0.1264,6.6689
153,0.004,-0.1177,8.9025,-0.0074,-0.1255,6.7461
154,-0.0078,-0.1185,8.9025,-0.0073,-0.1251,6.8745
155,-0.0078,-0.1185,8.9025,-0.0072,-0.1248,7.0028
156,-0.0057,-0.1156,8.9025,-0.0066,-0.1242,7.1311
157,-0.0048,-0.1188,7.7442,-0.006,-0.1243,7.3122
158,-0.0048,-0.1188,7.7442,-0.0056,-0.1235,7.4394
159,-0.0086,-0.1234,8.9025,-0.0045,-0.1233,7.6977
160,0.0039,-0.1036,8.9025,-0.0033,-0.1218,7.826
161,0.009,-0.1154,10.091,-0.0023,-0.1207,8.1096
162,-0.0151,-0.1058,10.091,-0.0028,-0.1195,8.3172
163,-0.0151,-0.1058,10.091,-0.0038,-0.1179,8.6008
164,-0.0077,-0.0992,8.9025,-0.0041,-0.1154,8.7291
165,-0.0209,-0.1076,10.091,-0.0054,-0.1143,8.8083
166,-0.0081,-0.1084,10.7984,-0.0061,-0.1125,9.0631
167,-0.0081,-0.1084,10.7984,-0.0065,-0.1124,9.3178
168,-0.0034,-0.1129,12.0002,-0.007,-0.112,9.5243
169,-0.0092,-0.1215,10.091,-0.0071,-0.1122,9.6035
170,-0.0168,-0.1196,10.7984,-0.0077,-0.1123,9.7299
171,-0.0193,-0.1277,10.091,-0.0086,-0.1131,9.8092
172,-0.0128,-0.1175,10.7984,-0.0091,-0.113,10.0128
173,-0.0071,-0.1157,10.7984,-0.0093,-0.1128,10.2164
174,-0.0071,-0.1157,10.7984,-0.0092,-0.1123,10.3428
175,-0.0115,-0.1172,8.9025,-0.0102,-0.1132,10.3428
176,-0.0087,-0.1266,7.7442,-0.0114,-0.114,10.1863
177,-0.0156,-0.118,6.9776,-0.0114,-0.1148,9.9788
178,0.0042,-0.1316,6.9776,-0.0101,-0.1165,9.7712
179,-0.0128,-0.1302,6.9776,-0.0105,-0.1186,9.6429
180,0.0027,-0.1275,5.8372,-0.0089,-0.1199,9.3593
181,0.0154,-0.1289,6.9776,-0.0073,-0.1213,9.1046
182,0.007,-0.1295,5.8372,-0.0063,-0.1227,8.7738
183,0.0211,-0.1275,6.9776,-0.0047,-0.1236,8.439
184,0.0129,-0.1283,5.8372,-0.0032,-0.1241,8.1554
185,0.0152,-0.1112,5.0274,-0.0011,-0.1235,7.7707
186,0.0108,-0.1203,5.0274,0.0009,-0.123,7.4331
187,0.0239,-0.1323,3.9081,0.0034,-0.124,6.9737
188,0.0135,-0.1218,3.0561,0.0047,-0.1244,6.4576
189,0.0285,-0.1316,3.9081,0.0071,-0.1255,5.9982
190,0.0393,-0.1332,3.9081,0.0105,-0.1266,5.6653
191,0.04,-0.1333,2.8209,0.0137,-0.127,5.337
192,0.0406,-0.1245,5.8372,0.0175,-0.1274,5.261
193,0.04,-0.1194,7.7442,0.0199,-0.1266,5.3121
194,0.0281,-0.1242,8.9025,0.0226,-0.1262,5.4405
195,0.0281,-0.1242,8.9025,0.0243,-0.126,5.6448
196,0.0371,-0.1162,8.9025,0.0257,-0.1252,5.7731
197,0.0355,-0.1256,10.7984,0.0276,-0.1249,6.1039
198,0.0355,-0.1256,10.7984,0.0286,-0.1248,6.3586
199,0.0469,-0.1271,10.091,0.0309,-0.1247,6.6422
200,0.0469,-0.1271,10.091,0.033,-0.1258,6.9798
201,0.0469,-0.1271,10.091,0.0354,-0.1262,7.3173
202,0.0331,-0.135,10.091,0.036,-0.1264,7.7295
203,0.0228,-0.1163,10.091,0.0366,-0.126,8.1985
204,0.0345,-0.1183,10.7984,0.037,-0.1251,8.6579
205,0.0269,-0.1169,12.0002,0.0362,-0.1241,9.1973
206,0.0344,-0.1121,12.0002,0.0358,-0.1226,9.8093
207,0.0439,-0.1115,12.0002,0.036,-0.1218,10.2202
208,0.0366,-0.1109,12.6618,0.0358,-0.1212,10.548
209,0.0414,-0.1121,12.6618,0.0367,-0.1204,10.7986
210,0.0287,-0.1141,12.0002,0.0367,-0.1197,11.0051
211,0.0287,-0.1141,12.0002,0.0362,-0.1196,11.2117
212,0.031,-0.1021,10.091,0.0359,-0.118,11.1645
213,0.0309,-0.1203,10.7984,0.0356,-0.1177,11.1645
214,0.0344,-0.1121,12.0002,0.0347,-0.1167,11.2918
215,0.0391,-0.1331,10.091,0.0342,-0.1171,11.2918
216,0.0412,-0.1239,10.7984,0.0338,-0.1169,11.3389
217,0.0346,-0.13,8.9025,0.0339,-0.1165,11.2597
218,0.0634,-0.1178,8.9025,0.0366,-0.1166,11.1805
219,0.0505,-0.1297,8.9025,0.0377,-0.1174,11.0541
220,0.0668,-0.1367,10.091,0.0404,-0.1187,10.9268
221,0.0536,-0.138,10.091,0.0417,-0.1204,10.7995
222,0.0476,-0.1417,8.9025,0.0419,-0.1224,10.593
223,0.0616,-0.1592,6.9776,0.0436,-0.1257,10.2141
224,0.0477,-0.1541,6.9776,0.044,-0.1285,9.8351
225,0.0644,-0.1589,3.9081,0.0464,-0.1314,9.2956
226,0.0691,-0.1656,2.8209,0.0491,-0.1349,8.6837
227,0.0673,-0.1808,0.0,0.0515,-0.1401,8.0109
228,0.0528,-0.1948,1.9701,0.0529,-0.1451,7.4224
229,0.053,-0.1692,1.9701,0.0542,-0.1489,6.7537
230,0.0467,-0.1951,1.9701,0.0547,-0.153,6.2123
231,0.0428,-0.189,0.0,0.0548,-0.1574,5.4924
232,0.0358,-0.1844,3.9081,0.0549,-0.161,5.1595
233,0.0291,-0.1522,10.091,0.0526,-0.1633,5.2387
234,0.0383,-0.1599,10.7984,0.0518,-0.1653,5.3651
235,0.0277,-0.1567,10.7984,0.0492,-0.1666,5.4123
236,0.0188,-0.1623,12.0002,0.0468,-0.1683,5.5395
237,0.0188,-0.1623,12.0002,0.0449,-0.1696,5.7461
238,0.0096,-0.1705,12.0002,0.0415,-0.1704,6.0809
239,0.0229,-0.1693,10.7984,0.0398,-0.1714,6.3356
240,0.033,-0.1631,12.0002,0.0377,-0.1717,6.8751
241,0.0316,-0.1615,12.6618,0.0352,-0.1714,7.5311
242,0.033,-0.1631,12.0002,0.0329,-0.1702,8.3312
243,0.0176,-0.1553,12.0002,0.0306,-0.1676,8.9998
244,0.0281,-0.1433,10.7984,0.0289,-0.1659,9.5884
245,0.0197,-0.1635,10.091,0.0271,-0.1638,10.1298
246,0.0206,-0.1455,10.7984,0.0256,-0.1609,10.8497
247,0.0182,-0.1559,10.091,0.0245,-0.159,11.2619
248,0.0196,-0.1382,10.7984,0.0238,-0.158,11.309
249,0.0196,-0.1382,10.7984,0.0226,-0.1566,11.309
250,0.0206,-0.1378,10.7984,0.0221,-0.1553,11.309
251,0.0196,-0.1382,10.7984,0.0222,-0.1537,11.2289
252,0.0196,-0.1382,10.7984,0.0222,-0.1521,11.1488
253,0.0196,-0.1382,10.7984,0.0229,-0.15,11.0687
254,0.0147,-0.1322,8.9025,0.0223,-0.1475,10.9423
255,0.0225,-0.1325,6.9776,0.0216,-0.1454,10.6074
256,0.0244,-0.112,6.9776,0.0212,-0.1421,10.2285
257,0.0258,-0.1332,5.8372,0.0207,-0.1401,9.8176
