,Phase,human_cube_pos,human_cube_orn,Cube_Pos,Cube_Orn,Cube_pos_in_start_pos,b'l_prox_pin'_link_pos,b'l_prox_pin'_link_orn,b'l_distal_pin'_link_pos,b'l_distal_pin'_link_orn,b'r_prox_pin'_link_pos,b'r_prox_pin'_link_orn,b'r_distal_pin'_link_pos,b'r_distal_pin'_link_orn,b'l_prox_pin'_joint_angle,b'l_prox_pin'_joint_vel,b'l_prox_pin'_joint_react_forces,b'l_prox_pin'_joint_motor_torque,b'l_distal_pin'_joint_angle,b'l_distal_pin'_joint_vel,b'l_distal_pin'_joint_react_forces,b'l_distal_pin'_joint_motor_torque,b'r_prox_pin'_joint_angle,b'r_prox_pin'_joint_vel,b'r_prox_pin'_joint_react_forces,b'r_prox_pin'_joint_motor_torque,b'r_distal_pin'_joint_angle,b'r_distal_pin'_joint_vel,b'r_distal_pin'_joint_react_forces,b'r_distal_pin'_joint_motor_torque,in_contact_l,contact_point_l_dist,contact_normal_l_dist,contact_distance_l_dist,contact_norm_force_l_dist,in_contact_r,contact_point_r_dist,contact_normal_r_dist,contact_distance_r_dist,contact_norm_force_r_dist
61,Move,,,"(0.006953428279101256, 0.15936555806379668, 0.04799883027777207)","(0.0036027003309908674, 0.011726089522938334, 0.045571805054608026)","[-0.0030453983196209082, -0.000662184458132764, 0.0004482712635544353]","[-0.026750000193715096, 0.05299999937415123, 0.03999999910593033]","[0.0, -0.0, 0.6141590305095613]","[-0.06824154406785965, 0.11184260249137878, 0.03999999910593033]","[0.0, 0.0, -0.24726930604170874]","[0.026750000193715096, 0.05299999937415123, 0.03999999910593033]","[0.0, 0.0, -0.6186765449450942]","[0.06850694119930267, 0.11165456473827362, 0.03999999910593033]","[0.0, -0.0, 0.24156588090171732]",0.5923752537221402,-5.228100533748595,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.6968351830029371,-0.8614707024266173,-0.010173654502368734,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.03860943376531379,-0.6008618977467228,4.275513269238477,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",3.1840553339598543,0.8603207379647874,0.018804023458970476,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",2.2071937117843152,False,,,,,True,"(0.03955126028332891, 0.18000420521160232, 0.023999959438538117)","(-0.9999999992078928, -2.3394376620903917e-07, -3.980150265941498e-05)",-4.69285261207243e-06,0.0
62,Move,,,"(0.005232479171843643, 0.15895611509417099, 0.04805192961782931)","(0.0015613319654504138, 0.011710638263295036, 0.07400765980182708)","[-0.004766347426878521, -0.0010716274277584592, 0.0005013706036116755]","[-0.026750000193715096, 0.05299999937415123, 0.03999999910593033]","[0.0, -0.0, 0.5923752994005711]","[-0.0669499859213829, 0.1127324104309082, 0.03999999910593033]","[0.0, 0.0, -0.2690954538189607]","[0.026750000193715096, 0.05299999937415123, 0.03999999910593033]","[0.0, 0.0, -0.6008619062673114]","[0.0674554631114006, 0.11238910257816315, 0.03999999910593033]","[0.0, -0.0, 0.2594588653702835]",0.5711748754471921,-5.088090785987531,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.20179723839696584,-0.8614666854136499,0.0009640831121563087,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.015124512099487388,-0.5830478441846109,4.27537285490686,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.00040728805220429705,0.8603129289032243,-0.001874174775147154,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.0017677334094061982,False,,,,,True,"(0.03728150083157586, 0.18020972647077313, 0.023999959438538117)","(-0.9999999992078928, -2.3394376620903917e-07, -3.980150265941498e-05)",0.00010136561290409651,0.0
63,Move,,,"(0.003536438132730313, 0.15853702184869162, 0.04798413986117641)","(-0.002178499075898401, 0.009685758062407228, 0.10285468498251224)","[-0.006462388465991851, -0.0014907206732378275, 0.0004335808469587768]","[-0.026750000193715096, 0.05299999937415123, 0.03999999910593033]","[0.0, -0.0, 0.5711748797881039]","[-0.06567469984292984, 0.1135711818933487, 0.03999999910593033]","[0.0, 0.0, -0.2902918330000066]","[0.026750000193715096, 0.05299999937415123, 0.03999999910593033]","[0.0, 0.0, -0.5830479010023177]","[0.06639109551906586, 0.11310476809740067, 0.03999999910593033]","[0.0, -0.0, 0.2772650915613622]",0.5507922484404775,-4.891830481611522,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.282294284049585,-0.8614673765775518,-0.00016587933645189224,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.019719768305812027,-0.565275293151566,4.265412247930778,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.012306804327906049,0.8603137161198487,0.00018893198985979812,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.0004299034376783175,False,,,,,True,"(0.035014354147368115, 0.18037738642755824, 0.023999959438538117)","(-0.9999999992078928, -2.3394376620903917e-07, -3.980150265941498e-05)",0.0001657852207818292,0.0
64,Move,,,"(0.0033070809685918903, 0.15939336139403074, 0.0480245948749005)","(-0.003221721649284341, 0.008758192496794307, 0.10007245081902345)","[-0.006691745630130274, -0.0006343811278987088, 0.00047403586068286985]","[-0.026750000193715096, 0.05299999937415123, 0.03999999910593033]","[0.0, -0.0, 0.5507922756468575]","[-0.06443209946155548, 0.11435192823410034, 0.03999999910593033]","[0.0, 0.0, -0.31067510738133]","[0.026750000193715096, 0.05299999937415123, 0.03999999910593033]","[0.0, 0.0, -0.5652752430676895]","[0.06531667709350586, 0.11379976570606232, 0.03999999910593033]","[0.0, -0.0, 0.2950384296353975]",0.5330621314256022,-4.255228083570051,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-63.6841566907319,-0.833899768100212,6.616226034561552,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-32.0033096547166,-0.5494184347075574,3.805646026562078,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",54.08522476914028,0.834294882877888,-6.244519978070589,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",25.974823871813367,True,"(-0.030827226021807298, 0.18072875671023755, 0.023990313633420805)","(0.9946684597633704, 0.10266861339458756, -0.009685606619977753)",0.00023266339136997558,510.2877732171601,True,"(0.03274929454054999, 0.18050411530517568, 0.023999959438538117)","(-0.9999999992078928, -2.3394376620903917e-07, -3.980150265941498e-05)",0.00018643181396489492,418.4587664295024
65,Move,"(0.0, 0.0, 0.0)","(0.0, -0.0, 0.0)","(0.0031969503873777684, 0.16028143882127593, 0.048054583489053525)","(-0.004372781608329888, 0.007939463136719069, 0.09861198334618497)","[-0.006801876211344396, 0.00025369629934648974, 0.0005040244748358916]","[-0.026750000193715096, 0.05299999937415123, 0.03999999910593033]","[0.0, -0.0, 0.5330621158171134]","[-0.06333845853805542, 0.11501035839319229, 0.03999999910593033]","[0.0, 0.0, -0.30083767855036603]","[0.026750000193715096, 0.05299999937415123, 0.03999999910593033]","[0.0, 0.0, -0.549418426545043]","[0.0643477737903595, 0.11440364271402359, 0.03999999910593033]","[0.0, -0.0, 0.2848764361199625]",0.5161701590322703,-4.054073374399667,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-68.88180562685734,-0.8061093417891989,6.669702314643141,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-35.756361121383094,-0.5337544439677235,3.7593577775601132,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",68.77952387616044,0.8075007011486295,-6.430603615022057,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",33.85011913137436,True,"(-0.030386831991674287, 0.18170201039644102, 0.02399124115951112)","(0.9949587688124035, 0.09990167360330966, -0.008758080529661552)",-0.0003521033588324185,534.8399967547618,True,"(0.03245991098360225, 0.1814354915724969, 0.023999959438538117)","(-0.9999999992078928, -2.3394376620903917e-07, -3.980150265941498e-05)",3.895377007335016e-05,524.277520594291
66,Move,"(0.0006329113924050633, 0.0, 0.0006329113924050633)","(0.0, -0.0, 0.0)","(0.003103231430513846, 0.16109440397195374, 0.048059086996620294)","(-0.004816457762876065, 0.004152668738523914, 0.09477766741003538)","[-0.006895595168208318, 0.0010666614500242921, 0.0005085279824026609]","[-0.026750000193715096, 0.05299999937415123, 0.03999999910593033]","[0.0, -0.0, 0.5161702079325045]","[-0.062285806983709335, 0.11561953276395798, 0.03999999910593033]","[0.0, 0.0, -0.28993919682770425]","[0.026750000193715096, 0.05299999937415123, 0.03999999910593033]","[0.0, 0.0, -0.5337544427276155]","[0.0633813738822937, 0.11498501896858215, 0.03999999910593033]","[0.0, -0.0, 0.27374624928461355]",0.5166144337824271,0.10662594003765413,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",5.0099850593155235,-0.8088825038537306,-0.6655588954876208,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.47721716603763553,-0.5367630675167633,-0.7220696517695289,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-5.770589790420478,0.8101801193215553,0.6430603615022044,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.2689174556793983,True,"(-0.03006166347399304, 0.18265404950541297, 0.023992059860314583)","(0.9951104129424696, 0.09844913561342714, -0.007939379726199769)",-0.0007346128178897825,2.032966651424181,True,"(0.032241548852435555, 0.18236762460912842, 0.023999959438538117)","(-0.9999999992078928, -2.3394376620903917e-07, -3.980150265941498e-05)",-0.00012424112725224057,0.0
67,Move,"(0.0012658227848101268, 0.0, 0.0012658227848101268)","(0.0, -0.0, 0.0)","(0.002993347935349499, 0.16186085925702084, 0.047989709404105955)","(-0.004599915065034015, -0.001120024916714355, 0.09007714569220765)","[-0.007005478663372665, 0.0018331167350914002, 0.0004391503898883223]","[-0.026750000193715096, 0.05299999937415123, 0.03999999910593033]","[0.0, -0.0, 0.5166145167686849]","[-0.06231362372636795, 0.1156037449836731, 0.03999999910593033]","[0.0, 0.0, -0.29226808746388727]","[0.026750000193715096, 0.05299999937415123, 0.03999999910593033]","[0.0, 0.0, -0.5367630711600129]","[0.06356769800186157, 0.11487452685832977, 0.03999999910593033]","[0.0, -0.0, 0.27341709946321935]",0.5152990953092202,-0.315681233569657,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.5550889519709283,-0.8086064896751191,0.06624340286676256,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.02231746939576405,-0.5381572325464963,-0.3345996071359192,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.4889087176538847,0.8099121775042627,-0.0643060361502199,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.033208316680056645,True,"(-0.029933285562671302, 0.18256153119103405, 0.023995846583237473)","(0.9955033743714912, 0.09463502024329482, -0.004152656803312201)",-0.0006805043496028978,0.13694895942395088,True,"(0.032450056763315, 0.18226738195973757, 0.023999959438538117)","(-0.9999999992078928, -2.3394376620903917e-07, -3.980150265941498e-05)",9.451939916559619e-07,0.0
68,Move,"(0.00189873417721519, 0.0, 0.00189873417721519)","(0.0, -0.0, 0.0)","(0.0031075821799967413, 0.16240693660991162, 0.04805947089611357)","(-0.003909149211287029, -0.001039913777195872, 0.08781440748810228)","[-0.006891244418725424, 0.0023791940879821782, 0.000508911881895939]","[-0.026750000193715096, 0.05299999937415123, 0.03999999910593033]","[0.0, -0.0, 0.515299086390783]","[-0.06223125010728836, 0.1156504675745964, 0.03999999910593033]","[0.0, 0.0, -0.29330740092939656]","[0.026750000193715096, 0.05299999937415123, 0.03999999910593033]","[0.0, 0.0, -0.5381572487939661]","[0.06365393102169037, 0.11482313275337219, 0.03999999910593033]","[0.0, -0.0, 0.2717549656128184]",0.5138260299606128,-0.35353568366580074,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-2.35361622495531,-0.8082119539518453,0.09468857358570754,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-1.2712567492312468,-0.5396447607338202,-0.35700676495772143,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.23803869676134295,0.809587989397052,-0.07780514573057488,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.1619605081989516,True,"(-0.029781336355326177, 0.182574565394808, 0.023995846583237473)","(0.9955033743714912, 0.09463502024329482, -0.004152656803312201)",-0.0006260905936778575,14.127199564445746,True,"(0.032736777478553414, 0.18113077207619865, 0.05600415341676252)","(-0.9955033743714903, -0.0946350202433038, 0.004152656803305648)",-7.426427659287079e-05,2.216393656396859
69,Move,"(0.002531645569620253, 0.0, 0.002531645569620253)","(0.0, -0.0, 0.0)","(0.0032372431936113478, 0.16287310627904142, 0.04809432088824993)","(-0.0022895699340879394, -0.0009535600263831636, 0.0848969073260172)","[-0.006761583405110816, 0.002845363757111974, 0.0005437618740322947]","[-0.026750000193715096, 0.05299999937415123, 0.03999999910593033]","[0.0, -0.0, 0.513825999185146]","[-0.06213892251253128, 0.11570266634225845, 0.03999999910593033]","[0.0, 0.0, -0.2943859057472175]","[0.026750000193715096, 0.05299999937415123, 0.03999999910593033]","[0.0, 0.0, -0.5396447230256975]","[0.06374584883451462, 0.11476816982030869, 0.03999999910593033]","[0.0, -0.0, 0.26994321663361676]",0.512338106140707,-0.357101716777406,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.42869466911582726,-0.8081642043758387,0.011459898241592978,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.23876113109997002,-0.5414066684737567,-0.42285785758477257,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.010653705608760097,0.8095272682967501,-0.014573064072442604,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.06057549679385232,True,"(-0.029616404237066574, 0.1825869015549944, 0.056001040673548996)","(0.9961462533730517, 0.0877015420078688, 0.001039913589771717)",-0.0006171962207401969,3.157996834602405,True,"(0.032948881571813034, 0.18113171231767877, 0.05600415341676252)","(-0.9955033743714903, -0.0946350202433038, 0.004152656803305648)",-6.710391609019173e-05,0.8135577535980643
70,Move,"(0.0031645569620253164, 0.0, 0.0031645569620253164)","(0.0, -0.0, 0.0)","(0.003390274580081534, 0.16329354568772417, 0.04803664724115629)","(-0.0002692363561775654, 0.0015449071786745115, 0.08335610845047699)","[-0.006608552018640631, 0.003265803165794723, 0.00048608822693865794]","[-0.026750000193715096, 0.05299999937415123, 0.03999999910593033]","[0.0, -0.0, 0.5123381216203984]","[-0.06204558536410332, 0.11575525254011154, 0.03999999910593033]","[0.0, 0.0, -0.2958261384427586]","[0.026750000193715096, 0.05299999937415123, 0.03999999910593033]","[0.0, 0.0, -0.541406693060999]","[0.0638546273112297, 0.11470289528369904, 0.03999999910593033]","[0.0, -0.0, 0.2681206052041675]",0.5108104349123548,-0.36664109480451823,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.2288884371647174,-0.8081648323791052,-0.0001507207839726698,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.12055959830592487,-0.5433237099799648,-0.4600899614899401,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.05250006012954229,0.8095333404067804,0.0014573064072447295,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.0022117243546283557,True,"(-0.029426650671844592, 0.182591108803712, 0.056000954319841104)","(0.9963979685356342, 0.08479492332453138, 0.0009535598818755757)",-0.0005702885644738866,1.6279366547367224,True,"(0.033178253771599935, 0.18112702054413754, 0.0239990456801589)","(-0.9963979685356339, -0.08479492332453471, -0.0009535598818778171)",-7.897500733223235e-05,0.0
