,Phase,human_cube_pos,human_cube_orn,Cube_Pos,Cube_Orn,Cube_pos_in_start_pos,b'l_prox_pin'_link_pos,b'l_prox_pin'_link_orn,b'l_distal_pin'_link_pos,b'l_distal_pin'_link_orn,b'r_prox_pin'_link_pos,b'r_prox_pin'_link_orn,b'r_distal_pin'_link_pos,b'r_distal_pin'_link_orn,b'l_prox_pin'_joint_angle,b'l_prox_pin'_joint_vel,b'l_prox_pin'_joint_react_forces,b'l_prox_pin'_joint_motor_torque,b'l_distal_pin'_joint_angle,b'l_distal_pin'_joint_vel,b'l_distal_pin'_joint_react_forces,b'l_distal_pin'_joint_motor_torque,b'r_prox_pin'_joint_angle,b'r_prox_pin'_joint_vel,b'r_prox_pin'_joint_react_forces,b'r_prox_pin'_joint_motor_torque,b'r_distal_pin'_joint_angle,b'r_distal_pin'_joint_vel,b'r_distal_pin'_joint_react_forces,b'r_distal_pin'_joint_motor_torque,in_contact_l,contact_point_l_dist,contact_normal_l_dist,contact_distance_l_dist,contact_norm_force_l_dist,in_contact_r,contact_point_r_dist,contact_normal_r_dist,contact_distance_r_dist,contact_norm_force_r_dist
20,Move,"(0.02531645569620253, 0.0, -0.02531645569620253)","(0.0, -0.0, 0.0)","(0.00680067819950101, 0.17692851762218278, 0.0018007238194951906)","(1.5969273571282279, -2.2695441495680196e-05, -0.017593231657537334)","[0.006515734711487031, 0.005643251073826128, -6.605370604981101e-05]","[-0.026750000193715096, 0.05299999937415123, 0.03999999910593033]","[0.0, -0.0, 0.4751203366817355]","[-0.059686072170734406, 0.11702511459589005, 0.03999999910593033]","[0.0, 0.0, -0.2368029444042696]","[0.026750000193715096, 0.05299999937415123, 0.03999999910593033]","[0.0, 0.0, -0.5756019076633433]","[0.06594246625900269, 0.11339826881885529, 0.03999999910593033]","[0.0, -0.0, 0.14243376301398222]",0.47043279055354226,-1.1250103929490616,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-9.758317278708182,-0.7089404374000654,0.7158783668399222,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-5.286767021708437,-0.5769621265897135,-0.32646501475246,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",10.08831438155307,0.7149079381776106,-0.7506410155808003,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",5.5106067499157065,True,"(-0.024951544007740974, 0.18859157781733382, 0.040000011899070986)","(0.9998519919233876, -0.017204479220431425, 1.1899070983711478e-05)",-0.0003989826206473556,73.25082658587128,True,"(0.03810330539092956, 0.18785942362818825, 0.03999998810092902)","(-0.9998519919233877, 0.017204479220422397, -1.189907098044985e-05)",-0.0004629026539741328,74.25881145901451
21,Move,"(0.03037974683544304, 0.0, -0.03037974683544304)","(0.0, -0.0, 0.0)","(0.009261442093472657, 0.1774507508156093, 0.001798141407157834)","(1.5967810222548682, -6.181286695841628e-05, -0.01998763052157763)","[0.008976498605458677, 0.0061654842672526355, -6.863611838716765e-05]","[-0.026750000193715096, 0.05299999937415123, 0.03999999910593033]","[0.0, -0.0, 0.4460409413291882]","[-0.057810600847005844, 0.11795566976070404, 0.03999999910593033]","[0.0, 0.0, -0.2468026714368016]","[0.026750000193715096, 0.05299999937415123, 0.03999999910593033]","[0.0, 0.0, -0.5832577100337923]","[0.06640370935201645, 0.1130964532494545, 0.03999999910593033]","[0.0, -0.0, 0.11488526821143526]",0.44061448065509107,-1.3023510037282582,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-11.787481771878404,-0.6892432710198264,0.8640737355681964,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-6.32684223820931,-0.5846218660726255,-0.3274080550757747,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",12.160140418317026,0.6943783651616737,-0.9034987940512069,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",6.688620141106289,True,"(-0.022361996787264124, 0.18917887181754633, 0.04000005438180813)","(0.999808721895791, -0.019558033227388215, 5.438180812440454e-05)",-0.0005623686399947846,87.99753689200999,True,"(0.04062533502096613, 0.18827100183485374, 0.039999945618191875)","(-0.9998087218957913, 0.01955803322737827, -5.4381808121010187e-05)",-0.00036458988138109047,89.28430283248188
22,Move,"(0.03544303797468354, 0.0, -0.03544303797468354)","(0.0, -0.0, 0.0)","(0.012007856218814646, 0.17799925793118557, 0.0017948973864755956)","(1.5966274714982107, -0.00010104955824223396, -0.02244930795480351)","[0.011722912730800667, 0.00671399138282891, -7.188013906940603e-05]","[-0.026750000193715096, 0.05299999937415123, 0.03999999910593033]","[0.0, -0.0, 0.41327684686977273]","[-0.05566609650850296, 0.11893829703330994, 0.03999999910593033]","[0.0, 0.0, -0.25717573291322143]","[0.026750000193715096, 0.05299999937415123, 0.03999999910593033]","[0.0, 0.0, -0.5906952116745338]","[0.06684957444667816, 0.11279986798763275, 0.03999999910593033]","[0.0, -0.0, 0.08401880363968116]",0.40723593016643383,-1.449820521555879,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-13.752239618269437,-0.6663005873826732,0.9964780339953156,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-7.3115763245573095,-0.5919994976225527,-0.31302842286818205,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",14.154089399745102,0.6703020959983148,-1.0588607332953475,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",7.83574946355082,True,"(-0.01948040383476754, 0.1897978626949097, 0.04000009228847289)","(0.9997573269642268, -0.022029041381360373, 9.228847289682513e-05)",-0.0007205036931103484,102.06678689503269,True,"(0.0434024598306043, 0.18870579384303804, 0.039999907711527095)","(-0.9997573269642265, 0.0220290413813781, -9.228847290161429e-05)",-0.00030783378160832497,103.6154042719826
23,Move,"(0.04050632911392405, 0.0, -0.04050632911392405)","(0.0, -0.0, 0.0)","(0.014992273337291778, 0.17854891941495446, 0.0017909723999054619)","(1.596444410979464, -0.00014805876201445993, -0.02480782823263004)","[0.014707329849277799, 0.007263652866597803, -7.580512563953976e-05]","[-0.026750000193715096, 0.05299999937415123, 0.03999999910593033]","[0.0, -0.0, 0.37742825439897104]","[-0.05328422784805298, 0.11993231624364853, 0.03999999910593033]","[0.0, 0.0, -0.2676513749866378]","[0.026750000193715096, 0.05299999937415123, 0.03999999910593033]","[0.0, 0.0, -0.597628705747325]","[0.06726323813199997, 0.11252039670944214, 0.03999999910593033]","[0.0, -0.0, 0.05012392915269771]",0.37087181350210713,-1.5735479874950655,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-15.62929795425221,-0.640405426697123,1.1218052504976157,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-8.22960303108204,-0.5988281999573841,-0.2878618522532173,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",16.045018166092344,0.6427206696546545,-1.2076884066220275,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",8.936490760883094,True,"(-0.01635800758203365, 0.19041702485384623, 0.040000137830162694)","(0.999702163160372, -0.024404220440720492, 0.00013783016269874892)",-0.0008728141304440143,115.31425194785027,True,"(0.046400649908012244, 0.1891458197395687, 0.039999862169837315)","(-0.999702163160372, 0.02440422044072359, -0.00013783016269065584)",-0.00027619586543789655,117.07657117525332
24,Move,"(0.04556962025316456, 0.0, -0.04556962025316456)","(0.0, -0.0, 0.0)","(0.018163102484049176, 0.17907665354070101, 0.0017863267409698783)","(1.596231114267692, -0.00020269327033744833, -0.027014514628871077)","[0.017878158996035197, 0.007791386992344357, -8.045078457512332e-05]","[-0.026750000193715096, 0.05299999937415123, 0.03999999910593033]","[0.0, -0.0, 0.3390544248802132]","[-0.050696875900030136, 0.12090101093053818, 0.03999999910593033]","[0.0, 0.0, -0.2779012715439042]","[0.026750000193715096, 0.05299999937415123, 0.03999999910593033]","[0.0, 0.0, -0.6038306344921207]","[0.06763158738613129, 0.11226800084114075, 0.03999999910593033]","[0.0, -0.0, 0.013609667798260765]",0.33208227715652894,-1.6733176797307818,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-17.376902759773138,-0.6118063990314997,1.235828492997454,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-9.062915916499223,-0.6048869615891358,-0.25352596733174093,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",17.79430555583704,0.6118213961401646,-1.3485297748410883,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",9.965717848422512,True,"(-0.013049900172602685, 0.1910115482796, 0.04000019101276997)","(0.9996451863758112, -0.026635781756713, 0.00019101276996998787)",-0.0010171918140434192,127.46894086232727,True,"(0.04957870885231798, 0.1895697094739901, 0.03999980898723005)","(-0.9996451863758115, 0.026635781756704842, -0.00019101276994954643)",-0.0002580145915606911,129.4076672981412
25,Move,"(0.05063291139240506, 0.0, -0.05063291139240506)","(0.0, -0.0, 0.0)","(0.021467528935012407, 0.17956294126514313, 0.0017813012336157549)","(1.5960231189215397, -0.00024305517605576138, -0.02907262232736948)","[0.021182585446998428, 0.008277674716786476, -8.547629192924675e-05]","[-0.026750000193715096, 0.05299999937415123, 0.03999999910593033]","[0.0, -0.0, 0.29870458041476583]","[-0.047938331961631775, 0.12181173264980316, 0.03999999910593033]","[0.0, 0.0, -0.28765261323306507]","[0.026750000193715096, 0.05299999937415123, 0.03999999910593033]","[0.0, 0.0, -0.609118603168333]","[0.06794442981481552, 0.11205098778009415, 0.03999999910593033]","[0.0, 0.0, -0.025108825407004067]",0.2914140870198191,-1.749715006961806,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-18.993881278760735,-0.5807611518209801,1.3430500713314184,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-9.820647700007545,-0.6100045894433911,-0.2126348781469772,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",19.4056020412543,0.577852786190063,-1.4776798516880967,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",10.909270347527881,True,"(-0.00960923179825332, 0.19155951119753267, 0.04000024459989586)","(0.9995878862805113, -0.028705361383383195, 0.0002445998958611048)",-0.001151252734866059,138.5519850291616,True,"(0.05289308215660474, 0.18985629219026032, 0.03797991172513151)","(-0.9995878235958124, 0.028707552557500123, -0.00024360859018911858)",-0.00024379240500777843,140.7405813533621
26,Move,"(0.055696202531645575, 0.0, -0.055696202531645575)","(0.0, -0.0, 0.0)","(0.0239056139748423, 0.1800080747688082, 0.0017424993270461818)","(1.5942100915055755, 0.0018231918749051664, -0.056503537327997566)","[0.02362067048682832, 0.008722808220451544, -0.00012427819849881983]","[-0.026750000193715096, 0.05299999937415123, 0.03999999910593033]","[0.0, -0.0, 0.25705868510487495]","[-0.04505506157875061, 0.12263422459363937, 0.03999999910593033]","[0.0, 0.0, -0.28582356873873804]","[0.026750000193715096, 0.05299999937415123, 0.03999999910593033]","[0.0, 0.0, -0.6139645307604418]","[0.06823009997606277, 0.11185067147016525, 0.03999999910593033]","[0.0, 0.0, -0.06311197576717671]",0.24953095085415772,-1.8066509045124086,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-23.5420321944426,-0.5350459614095033,1.8807090544156826,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-13.318198226677554,-0.6147138232713851,-0.17982530188978868,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",21.296425465516105,0.5451970053109932,-1.3573380611210084,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",9.737061838541399,True,"(-0.006854487722281109, 0.19242886712883814, 0.039998545961976543)","(0.9987482697844895, -0.04999779371047161, -0.0014540380234603185)",-0.00102012383444958,166.02843018313553,True,"(0.05614575706954218, 0.19017165666340943, 0.03797991172513151)","(-0.9995878235958124, 0.028707552557500123, -0.00024360859018911858)",0.0001484379987596331,106.5564922351409
27,Move,"(0.06075949367088608, 0.0, -0.06075949367088608)","(0.0, -0.0, 0.0)","(0.027090125671228888, 0.1796655794032074, 0.0017033500114655674)","(1.5902315254363517, 0.004610488960103466, -0.12557133386492078)","[0.02680518218321491, 0.008380312854850747, -0.00016342751407943425]","[-0.026750000193715096, 0.05299999937415123, 0.03999999910593033]","[0.0, -0.0, 0.2128841813899176]","[-0.0419621467590332, 0.12337464839220047, 0.03999999910593033]","[0.0, 0.0, -0.28487157242428623]","[0.026750000193715096, 0.05299999937415123, 0.03999999910593033]","[0.0, 0.0, -0.6183192390963516]","[0.06848597526550293, 0.11166948080062866, 0.03999999910593033]","[0.0, 0.0, -0.0999398281734553]",0.20428700699509048,-2.0633111437807052,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-11.196351577110924,-0.49979096979294213,-0.4884682591669751,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-6.45768339732099,-0.6184372560799367,-0.028341110412501702,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",5.572004007422644,0.5207089489934241,0.5591084821728163,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",1.6676875566491969,True,"(-0.003830800501039261, 0.19316573591464592, 0.039996641122995294)","(0.9960314406275211, -0.08893867115452005, -0.0033588770047031165)",-0.0008288672077339063,76.4349913790865,True,"(0.054755973525111426, 0.1451302652024555, 0.05095617444076563)","(-0.9950023273184408, 0.09978712214400948, 0.0035915017893532798)",-0.0005014334104878716,51.19045450538424
28,Move,"(0.0658227848101266, 0.0, -0.0658227848101266)","(0.0, -0.0, 0.0)","(0.03024091742081843, 0.17997238051333475, 0.0016668299321273407)","(1.5852265260456142, -0.0013271562383750657, -0.15715333155183592)","[0.029955973932804452, 0.008687113964978094, -0.00019994759341766095]","[-0.026750000193715096, 0.05299999937415123, 0.03999999910593033]","[0.0, -0.0, 0.16496884039948118]","[-0.03857395425438881, 0.12402249127626419, 0.03999999910593033]","[0.0, 0.0, -0.2942461111183474]","[0.026750000193715096, 0.05299999937415123, 0.03999999910593033]","[0.0, 0.0, -0.6223022847306308]","[0.06871933490037918, 0.11150277405977249, 0.03999999910593033]","[0.0, 0.0, -0.13385723296993132]",0.15631175683523932,-2.0776960958399386,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-24.72423717038953,-0.4527355486864754,1.5550417083877295,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-12.56789305463629,-0.6230236562729486,-0.17311106013848618,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",25.256633295270095,0.4799750253718755,-2.032824166155028,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",14.275518749159572,True,"(0.00020246172382355765, 0.19339466677257022, 0.040001387504128856)","(0.9876512583168435, -0.15666226979540337, 0.001387504128859639)",-0.0009023296635145186,175.91216003813332,True,"(0.06220352515379541, 0.19049550359986941, 0.03785374171657716)","(-0.9876512583168442, 0.15666226979539982, -0.001387504128828914)",-0.0013310307847080045,179.84883930664267
29,Move,"(0.07088607594936708, 0.0, -0.07088607594936708)","(0.0, -0.0, 0.0)","(0.03306860740197179, 0.18054045693167758, 0.0016303819731723125)","(1.5871428242753347, -0.0008151852097943022, -0.1664239278305605)","[0.03278366391395781, 0.009255190383320927, -0.00023639555237268918]","[-0.026750000193715096, 0.05299999937415123, 0.03999999910593033]","[0.0, -0.0, 0.1153592041788281]","[-0.03503745049238205, 0.12452144920825958, 0.03999999910593033]","[0.0, 0.0, -0.2935613137120943]","[0.026750000193715096, 0.05299999937415123, 0.03999999910593033]","[0.0, 0.0, -0.6271326509578564]","[0.06900142878293991, 0.11129936575889587, 0.03999999910593033]","[0.0, 0.0, -0.18193371191690486]",0.1064885368699403,-2.128957784130496,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-34.29146109842367,-0.3970835400375295,2.840861163378388,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-19.252424713247613,-0.628192544803363,-0.2543723056505291,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",29.923002661060565,0.43833665881520056,-1.6469489591937267,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",12.707118131128901,True,"(0.0036902940074643453, 0.19391302248442335, 0.040000908685830804)","(0.986604171500376, -0.16312995760471907, 0.0009086858308016043)",-0.0011856743540706188,237.63277623646695,True,"(0.06628751475736061, 0.19050480103178413, 0.037853802064857216)","(-0.9876759390501267, 0.15650711830074374, -0.0013271558487778375)",-0.0004218052791947453,130.23002710413172
