,Phase,human_cube_pos,human_cube_orn,Cube_Pos,Cube_Orn,Cube_pos_in_start_pos,b'l_prox_pin'_link_pos,b'l_prox_pin'_link_orn,b'l_distal_pin'_link_pos,b'l_distal_pin'_link_orn,b'r_prox_pin'_link_pos,b'r_prox_pin'_link_orn,b'r_distal_pin'_link_pos,b'r_distal_pin'_link_orn,b'l_prox_pin'_joint_angle,b'l_prox_pin'_joint_vel,b'l_prox_pin'_joint_react_forces,b'l_prox_pin'_joint_motor_torque,b'l_distal_pin'_joint_angle,b'l_distal_pin'_joint_vel,b'l_distal_pin'_joint_react_forces,b'l_distal_pin'_joint_motor_torque,b'r_prox_pin'_joint_angle,b'r_prox_pin'_joint_vel,b'r_prox_pin'_joint_react_forces,b'r_prox_pin'_joint_motor_torque,b'r_distal_pin'_joint_angle,b'r_distal_pin'_joint_vel,b'r_distal_pin'_joint_react_forces,b'r_distal_pin'_joint_motor_torque,in_contact_l,contact_point_l_dist,contact_normal_l_dist,contact_distance_l_dist,contact_norm_force_l_dist,in_contact_r,contact_point_r_dist,contact_normal_r_dist,contact_distance_r_dist,contact_norm_force_r_dist
116,Move,"(0.0374, 0.0, 0.0381)","(0.0, 0.012138764947620562, 0.0)","(0.018831158961408984, 0.19518794422109428, 0.0005207801216005626)","(1.5696599137034035, 0.010646979978511906, -0.10721231765739501)","[0.018831080399943977, 0.02518888184457546, -0.0003941095614871721]","[-0.026750000193715096, 0.05299999937415123, 0.03999999910593033]","[0.0, -0.0, 0.291172374069442]","[-0.04741942882537842, 0.12196937203407288, 0.03999999910593033]","[0.0, 0.0, -0.23423778217857988]","[0.026750000193715096, 0.05299999937415123, 0.03999999910593033]","[0.0, 0.0, -0.5577266475450471]","[0.0648566260933876, 0.11408915370702744, 0.03999999910593033]","[0.0, 0.0, -0.03007349153072146]",0.29199283000933374,0.19691738270588477,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",5.285769256272565,-0.5282042478580515,-0.6705954786848354,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.4780126652393809,-0.5740681703568137,-3.9219676975609827,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-10.894692546401055,0.5306684190595354,0.7236652922527753,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.006193334899631531,True,"(-0.012899107855930063, 0.1934285685632567, 0.03784221423905846)","(0.9942014392500393, -0.10675533449057319, -0.012914981647534702)",-0.0003255358684509528,1.1634235125818413,True,"(0.05019840100991181, 0.19204912785395156, 0.04215806385839684)","(-0.994086082786589, 0.10779055002086681, 0.013193079102841404)",-0.0007712738456060956,0.0
117,Move,"(0.0342, 0.0, 0.0389)","(0.0, 0.02957285884579192, 0.0)","(0.019178669493948166, 0.19568613991771797, 0.0005202003491971691)","(1.5697521543250885, 0.008564062459901553, -0.10758956740309376)","[0.01917859093248316, 0.025687077541199144, -0.00039468933389056563]","[-0.026750000193715096, 0.05299999937415123, 0.03999999910593033]","[0.0, -0.0, 0.2919928240347861]","[-0.047476012259721756, 0.12195239216089249, 0.03999999910593033]","[0.0, 0.0, -0.23621141618648925]","[0.026750000193715096, 0.05299999937415123, 0.03999999910593033]","[0.0, 0.0, -0.5740681704390366]","[0.06584978848695755, 0.1134583055973053, 0.03999999910593033]","[0.0, 0.0, -0.043399751327918894]",0.29049560655342854,-0.35933362941725044,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-1.732478450419154,-0.5278868339085466,0.07617934788118452,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.5525099996009669,-0.5871505800274571,-3.1397783209544303,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",1.059629997722376,0.5303668918544301,-0.07236652922527753,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.0017612005889260703,True,"(-0.012814507670917866, 0.19334503219916277, 0.037844482441880045)","(0.9942019093688379, -0.10700097900481381, -0.010646778825944676)",-0.00029763318666911186,6.44215778061306,True,"(0.05223174464780219, 0.19160668951305426, 0.04215806385839684)","(-0.994086082786589, 0.10779055002086681, 0.013193079102841404)",0.0011877085020936004,0.0
118,Move,"(0.039200000000000006, 0.0, 0.0374)","(0.0, 0.04277452930787703, 0.0)","(0.0195103050790824, 0.19612935169204251, 0.00047679902530821275)","(1.569838854745815, 0.0052632599724713475, -0.1092902231111316)","[0.019510226517617392, 0.02613028931552369, -0.00043809065777952196]","[-0.026750000193715096, 0.05299999937415123, 0.03999999910593033]","[0.0, -0.0, 0.29049562622677216]","[-0.04737275093793869, 0.1219833493232727, 0.03999999910593033]","[0.0, 0.0, -0.2373912046655841]","[0.026750000193715096, 0.05299999937415123, 0.03999999910593033]","[0.0, 0.0, -0.5871505702024093]","[0.06663735955953598, 0.11294163018465042, 0.03999999910593033]","[0.0, 0.0, -0.0567836882551087]",0.2895916348851299,-0.2169532003916741,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.001345361787371156,-0.5279123087568828,-0.006113963600686639,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.10727882669702066,-0.5996943150299324,-3.0104964005940658,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.19724696874113526,0.5303970445749406,0.007236652922528286,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.022631162653626767,True,"(-0.012626935380282499, 0.1933358384148409, 0.03784656526293162)","(0.994181364043566, -0.10737818221460554, -0.008563957774374683)",-0.0002721692407304372,1.4271491677204298,False,,,,
119,Move,"(0.039200000000000006, 0.0, 0.0374)","(0.0, 0.04277452930787703, 0.0)","(0.019995948381387036, 0.19643712584569858, 0.00047925210312248635)","(1.569918901571323, 0.003596581060598634, -0.11004685085447045)","[0.01999586981992203, 0.026438063469179762, -0.00043563757996524836]","[-0.026750000193715096, 0.05299999937415123, 0.03999999910593033]","[0.0, -0.0, 0.2895916354845776]","[-0.04731038212776184, 0.12200196087360382, 0.03999999910593033]","[0.0, 0.0, -0.2383207011401345]","[0.026750000193715096, 0.05299999937415123, 0.03999999910593033]","[0.0, 0.0, -0.5996943188841437]","[0.06738609075546265, 0.11243659257888794, 0.03999999910593033]","[0.0, 0.0, -0.06929727665244678]",0.2869961659595445,-0.622912542140492,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-2.5669031024140287,-0.5278140006611058,0.023593942986453162,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-1.1742402136156618,-0.6133990108153289,-3.2891269884951524,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.4111888685987221,0.5303940293028896,-0.0007236652922530951,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.03160833714058788,True,"(-0.012498264664300922, 0.19332212741722954, 0.03784656526293162)","(0.994181364043566, -0.10737818221460554, -0.008563957774374683)",-0.00025095836739459393,12.596779926403824,False,,,,
120,Move,"(0.039200000000000006, 0.0, 0.0374)","(0.0, 0.04277452930787703, 0.0)","(0.022261621064962073, 0.19643565568525306, 0.0009063173067976576)","(1.5700177981740333, 0.01579373199738627, -0.1011451801042073)","[0.022261542503497066, 0.02643659330873424, -8.572376290077099e-06]","[-0.026750000193715096, 0.05299999937415123, 0.03999999910593033]","[0.0, -0.0, 0.28699616672081835]","[-0.04713122174143791, 0.12205509096384048, 0.03999999910593033]","[0.0, 0.0, -0.2408178181069976]","[0.026750000193715096, 0.05299999937415123, 0.03999999910593033]","[0.0, 0.0, -0.6133989898341771]","[0.06819681078195572, 0.11187411844730377, 0.03999999910593033]","[0.0, 0.0, -0.08300498875760749]",0.26687551024430245,-4.828957371658105,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-25.61633246452771,-0.5264845186657674,0.31907567888121674,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-10.691359809221515,-0.5909307672598244,5.3923784533210615,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",12.745587031645178,0.5303943308300947,7.236652922504305e-05,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.9506714914862625,True,"(-0.01214111396775773, 0.1932881050408442, 0.03784656526293162)","(0.994181364043566, -0.10737818221460554, -0.008563957774374683)",-0.00022578465219115848,138.35725435650423,False,,,,
121,Move,"(0.039200000000000006, 0.0, 0.0374)","(0.0, 0.04277452930787703, 0.0)","(0.022683246644349387, 0.1969884850425152, 0.0009557794331233138)","(1.5652093426738116, 0.013212596467693476, -0.09958338057075501)","[0.02268316808288438, 0.026989422665996382, 4.088975003557912e-05]","[-0.026750000193715096, 0.05299999937415123, 0.03999999910593033]","[0.0, -0.0, 0.2668755165700129]","[-0.04573775827884674, 0.12245117127895355, 0.03999999910593033]","[0.0, 0.0, -0.2596090049206198]","[0.026750000193715096, 0.05299999937415123, 0.03999999910593033]","[0.0, 0.0, -0.590930839829659]","[0.06686366349458694, 0.11279042065143585, 0.03999999910593033]","[0.0, 0.0, -0.060536438285009736]",0.2503431509712727,-3.9677662255271375,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-55.96585298132952,-0.4996917371680997,6.43026755944024,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-28.53514744275592,-0.5736041865035585,4.158379381503815,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",69.07223205062775,0.5006310324875284,-7.1431916022159205,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",38.31221565966324,True,"(-0.0094121382471134, 0.19304261877162565, 0.03783933614530367)","(0.9947651046376186, -0.10096021674226142, -0.01579307540231337)",-0.0002113244833003726,406.5209102347982,True,"(0.05453072805717949, 0.19029041929971077, 0.046125229220841155)","(-0.9947651046376184, 0.10096021674226695, 0.015793075402304475)",4.646111684306043e-05,512.9738092612932
122,Move,"(0.0367, 0.0, 0.0381)","(0.0, 0.055869734685590484, 0.0)","(0.02300536438664925, 0.19764726740553257, 0.0009611544725153237)","(1.5637117600237214, 0.012771978707382128, -0.09908219972683494)","[0.023005285825184244, 0.027648205029013745, 4.6264789427589016e-05]","[-0.026750000193715096, 0.05299999937415123, 0.03999999910593033]","[0.0, -0.0, 0.2503431722897358]","[-0.04458702355623245, 0.12275557965040207, 0.03999999910593033]","[0.0, 0.0, -0.24934860044178087]","[0.026750000193715096, 0.05299999937415123, 0.03999999910593033]","[0.0, 0.0, -0.5736041768026271]","[0.06582172960042953, 0.11347644031047821, 0.03999999910593033]","[0.0, 0.0, -0.07297315330500202]",0.2337654676725071,-3.978643991703736,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-71.3639351862213,-0.4723277119204588,6.567366059433822,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-36.2640024427917,-0.5570840180175332,3.9648404366460728,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",69.72448524183065,0.47180487679166927,-6.91827736700619,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",38.24876007744435,True,"(-0.008988391302284612, 0.19370735800645222, 0.03784191700866141)","(0.9949588188216586, -0.09941019214295282, -0.013212212044592098)",-0.0002868537051968601,502.6817362086268,True,"(0.054453569806716555, 0.19112382630141156, 0.046125229220841155)","(-0.9947651046376184, 0.10096021674226695, 0.015793075402304475)",-0.0003631577317444976,497.8233870050642
123,Move,"(0.04020000000000001, 0.0, 0.0375)","(0.0, 0.055869734685590484, 0.0)","(0.023338127661424176, 0.19822506128886838, 0.0009470581399660542)","(1.5643828080783413, 0.011324164615305, -0.09870787180737446)","[0.02333804909995917, 0.02822599891234956, 3.216845687831953e-05]","[-0.026750000193715096, 0.05299999937415123, 0.03999999910593033]","[0.0, -0.0, 0.23376547247276613]","[-0.04342823848128319, 0.12304167449474335, 0.03999999910593033]","[0.0, 0.0, -0.2385622659533905]","[0.026750000193715096, 0.05299999937415123, 0.03999999910593033]","[0.0, 0.0, -0.5570841060363049]","[0.06481736153364182, 0.11411362886428833, 0.03999999910593033]","[0.0, 0.0, -0.08527914843709636]",0.23389584117056178,0.031289639533123914,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",4.642466620328466,-0.4750562994363065,-0.6548610038034477,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.6081428978286765,-0.5733883604384554,-3.9130421810213547,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-10.732211628071123,0.4746874923612552,0.6918277367006187,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.029541473336499417,True,"(-0.008597932615062809, 0.19436306081585364, 0.03784235758923064)","(0.9950142127407412, -0.09891209164394524, -0.012771631475362567)",-0.00036808411121169184,0.9957567761372758,True,"(0.0544055670969546, 0.19189502979673706, 0.046125229220841155)","(-0.9947651046376184, 0.10096021674226695, 0.015793075402304475)",-0.0007235492679460771,0.0
124,Move,"(0.039799999999999995, 0.0, 0.037700000000000004)","(0.0, 0.0516163672984803, 0.0)","(0.023787433768944988, 0.19870618410025184, 0.0009023957075909329)","(1.5671481136426322, 0.01111267658376033, -0.09610476775739968)","[0.02378735520747998, 0.02870712172373302, -1.2493975496801857e-05]","[-0.026750000193715096, 0.05299999937415123, 0.03999999910593033]","[0.0, -0.0, 0.23389582987810686]","[-0.04343736916780472, 0.12303949892520905, 0.03999999910593033]","[0.0, 0.0, -0.24116047288072617]","[0.026750000193715096, 0.05299999937415123, 0.03999999910593033]","[0.0, 0.0, -0.5733883256670019]","[0.06580867618322372, 0.11348487436771393, 0.03999999910593033]","[0.0, 0.0, -0.09870086899106371]",0.2310792756614956,-0.6759757221758814,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-2.277173113253073,-0.4747591433035178,0.07131747186928872,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.7357235161409658,-0.5870034821794883,-3.267629217847877,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.8626410956280279,0.4743992308042966,-0.06918277367006187,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.012909031815948645,True,"(-0.008421558935458248, 0.19427310426942362, 0.03784380529811807)","(0.9950685266239154, -0.0985413420840838, -0.011323922587928657)",-0.00032854988077289524,7.690982354732778,True,"(0.05644174801311943, 0.19139900550213423, 0.046125229220841155)","(-0.9947651046376184, 0.10096021674226695, 0.015793075402304475)",0.001144531573074131,0.0
125,Move,"(0.0388, 0.0, 0.037899999999999996)","(0.0, 0.0429961861228803, 0.0)","(0.024238388524925932, 0.1991419213130147, 0.000792697875521684)","(1.5712744886551333, 0.010283633217825813, -0.09343583429257411)","[0.024238309963460925, 0.029142858936495875, -0.00012219180756605072]","[-0.026750000193715096, 0.05299999937415123, 0.03999999910593033]","[0.0, -0.0, 0.23107926585279756]","[-0.043240033090114594, 0.12308622151613235, 0.03999999910593033]","[0.0, 0.0, -0.24367990285872274]","[0.026750000193715096, 0.05299999937415123, 0.03999999910593033]","[0.0, 0.0, -0.5870034923107582]","[0.06662853807210922, 0.1129474937915802, 0.03999999910593033]","[0.0, 0.0, -0.11260424756820088]",0.22852701523193816,-0.6125425030937878,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.20943357235135002,-0.4747857132909709,-0.0063767969887396775,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.16104972449681612,-0.6003559990483928,-3.204604048537077,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.09950600608547179,0.47442805695999246,0.00691827736700644,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.014973641616994727,True,"(-0.008044359947664795, 0.19423647936081995, 0.03784401677284116)","(0.9953240298995896, -0.09595097189133932, -0.011112447864833824)",-0.0002954106635178487,0.0626722493403721,False,,,,
