,x,y,rmag,f_x,f_y,f_rot_mag
0,-0.0,-0.0,0.0,0,0,0
1,-0.0,-0.0,0.0,0,0,0
2,-0.0,-0.0,0.0,0,0,0
3,0.0395,-0.0016,1.9701,0,0,0
4,-0.0,-0.0,0.0,0,0,0
5,0.0395,-0.0016,1.9701,0,0,0
6,0.0395,-0.0016,1.9701,0,0,0
7,-0.0,-0.0,0.0,0,0,0
8,0.0395,-0.0016,1.9701,0,0,0
9,-0.0,-0.0,0.0,0,0,0
10,0.0395,-0.0016,1.9701,0,0,0
11,0.0395,-0.0016,1.9701,0,0,0
12,-0.0,-0.0,0.0,0,0,0
13,0.0395,-0.0016,1.9701,0,0,0
14,-0.0,-0.0,0.0,0.0184,-0.0007,0.9194
15,-0.0,-0.0,0.0,0.0184,-0.0007,0.9194
16,0.0395,-0.0016,1.9701,0.0211,-0.0009,1.0507
17,-0.0,-0.0,0.0,0.0211,-0.0009,1.0507
18,0.0395,-0.0016,1.9701,0.0211,-0.0009,1.0507
19,-0.0156,-0.0003,1.9701,0.02,-0.0009,1.1821
20,-0.0,-0.0,0.0,0.0174,-0.0008,1.0507
21,0.0395,-0.0016,1.9701,0.0174,-0.0008,1.0507
22,-0.0,-0.0,0.0,0.0174,-0.0008,1.0507
23,-0.0,-0.0,0.0,0.0148,-0.0007,0.9194
24,0.0395,-0.0016,1.9701,0.0174,-0.0008,1.0507
25,-0.0,-0.0,0.0,0.0148,-0.0007,0.9194
26,-0.0,-0.0,0.0,0.0121,-0.0006,0.788
27,0.0395,-0.0016,1.9701,0.0148,-0.0007,0.9194
28,-0.0,-0.0,0.0,0.0121,-0.0006,0.788
29,-0.0,-0.0,0.0,0.0121,-0.0006,0.788
30,0.0395,-0.0016,1.9701,0.0148,-0.0007,0.9194
31,-0.0,-0.0,0.0,0.0121,-0.0006,0.788
32,0.0395,-0.0016,1.9701,0.0148,-0.0007,0.9194
33,-0.0,-0.0,0.0,0.0121,-0.0006,0.788
34,-0.0156,-0.0003,1.9701,0.0121,-0.0006,0.788
35,0.0395,-0.0016,1.9701,0.0148,-0.0007,0.9194
36,-0.0,-0.0,0.0,0.0121,-0.0006,0.788
37,-0.0,-0.0,0.0,0.0121,-0.0006,0.788
38,0.0395,-0.0016,1.9701,0.0148,-0.0007,0.9194
39,-0.0,-0.0,0.0,0.0121,-0.0006,0.788
40,-0.0,-0.0,0.0,0.0121,-0.0006,0.788
41,0.0395,-0.0016,1.9701,0.0148,-0.0007,0.9194
42,-0.0,-0.0,0.0,0.0121,-0.0006,0.788
43,0.0395,-0.0016,1.9701,0.0148,-0.0007,0.9194
44,0.0395,-0.0016,1.9701,0.0174,-0.0008,1.0507
45,-0.0,-0.0,0.0,0.0148,-0.0007,0.9194
46,-0.0,-0.0,0.0,0.0148,-0.0007,0.9194
47,-0.0123,0.0076,1.9701,0.0113,-0.0,0.9194
48,0.0037,-0.0031,1.9701,0.0116,-0.0003,1.0507
