,x,y,rmag,f_x,f_y,f_rot_mag
101,0.1242,-0.086,5.8784,0.1195,-0.071,3.4726
102,0.1313,-0.0915,5.8784,0.1201,-0.0737,3.7976
103,0.1233,-0.0837,6.9977,0.1202,-0.0759,4.1972
104,0.1321,-0.0941,7.8075,0.1216,-0.0788,4.586
105,0.1469,-0.0863,7.8075,0.1238,-0.0811,4.8432
106,0.1458,-0.1022,5.8784,0.1253,-0.084,5.0387
107,0.1518,-0.1012,5.8784,0.1277,-0.0862,5.1673
108,0.1564,-0.1057,5.8784,0.1304,-0.0886,5.2335
109,0.1572,-0.0936,7.8075,0.1331,-0.0897,5.3593
110,0.1469,-0.086,6.9977,0.1345,-0.0903,5.5001
111,0.1639,-0.099,5.8784,0.1377,-0.0913,5.4973
112,0.1709,-0.11,3.9311,0.1414,-0.0932,5.4337
113,0.1539,-0.1042,3.9311,0.1434,-0.0947,5.5641
114,0.1805,-0.1143,1.0378,0.1474,-0.0963,5.5016
115,0.1895,-0.1251,0.0,0.1516,-0.0989,5.4392
116,0.1745,-0.118,0.0,0.155,-0.101,5.0473
117,0.193,-0.1224,0.0,0.1591,-0.1031,4.6554
118,0.1878,-0.1244,1.0037,0.1634,-0.1058,4.2558
119,0.1878,-0.1244,1.0037,0.1671,-0.1078,3.8022
120,0.1885,-0.1237,1.9748,0.1699,-0.1103,3.4134
121,0.2015,-0.1374,1.9748,0.1736,-0.1126,3.1532
122,0.1794,-0.1296,1.9748,0.1754,-0.1145,2.8929
123,0.1828,-0.1238,1.9748,0.1772,-0.1157,2.6327
124,0.1927,-0.1261,0.9695,0.1796,-0.1179,2.1768
125,0.1835,-0.1332,0.0,0.182,-0.121,1.7103
126,0.1653,-0.1153,3.0382,0.1821,-0.1221,1.521
127,0.1655,-0.1303,1.9701,0.1817,-0.1235,1.3902
128,0.1568,-0.1195,3.0382,0.1819,-0.1245,1.3307
129,0.1613,-0.1249,5.0263,0.1807,-0.1252,1.5966
130,0.1389,-0.1197,5.8784,0.1773,-0.1248,1.9885
131,0.1254,-0.0954,8.9478,0.174,-0.1233,2.585
132,0.1158,-0.0883,10.8728,0.1689,-0.1211,3.3099
133,0.1063,-0.0957,15.844,0.1634,-0.1192,4.2992
134,0.1016,-0.098,15.844,0.1577,-0.1174,5.2886
135,0.0853,-0.0983,17.0828,0.1508,-0.1157,6.2958
136,0.094,-0.0895,18.9228,0.1436,-0.1125,7.4256
137,0.0885,-0.092,18.9228,0.1376,-0.11,8.5555
138,0.0854,-0.0859,20.1914,0.1311,-0.1075,9.7699
139,0.0854,-0.0859,20.1914,0.1239,-0.1048,11.0514
140,0.0768,-0.0913,20.1914,0.1168,-0.102,12.3975
141,0.0754,-0.0935,20.1914,0.1108,-0.1005,13.541
142,0.0853,-0.087,20.1914,0.1055,-0.0977,14.7558
143,0.0847,-0.0885,21.9875,0.1007,-0.0956,16.0191
144,0.0722,-0.0914,21.4841,0.0947,-0.0934,17.1163
145,0.0796,-0.0853,21.9875,0.0908,-0.0911,18.1902
146,0.0822,-0.0895,21.9875,0.0879,-0.0907,19.0595
147,0.0796,-0.0853,21.9875,0.0855,-0.0905,19.8005
148,0.0904,-0.0861,21.4841,0.0844,-0.0898,20.1765
149,0.0904,-0.0861,21.4841,0.0837,-0.089,20.5525
150,0.0904,-0.0861,21.4841,0.084,-0.0882,20.8459
151,0.0827,-0.0815,21.9875,0.0833,-0.0877,21.0502
152,0.0904,-0.0799,21.4841,0.0834,-0.0869,21.221
153,0.0904,-0.0799,21.4841,0.0837,-0.0865,21.3072
154,0.0808,-0.0696,23.2782,0.0834,-0.0854,21.513
