,x,y,rmag,f_x,f_y,f_rot_mag
103,0.2806,0.2676,0.0,0.2686,0.2636,0.3178
104,0.2806,0.2676,0.0,0.2695,0.2646,0.2556
105,0.2852,0.2528,0.9321,0.2724,0.2646,0.3178
106,0.263,0.2705,0.9321,0.273,0.2652,0.3799
107,0.2605,0.276,0.9321,0.2724,0.2658,0.442
108,0.2677,0.2421,1.9701,0.2737,0.265,0.5734
109,0.2677,0.2421,1.9701,0.2734,0.2635,0.7047
110,0.2622,0.2455,1.9701,0.2734,0.2623,0.8361
111,0.2677,0.2421,1.9701,0.2722,0.2612,0.8361
112,0.2677,0.2421,1.9701,0.2726,0.2593,0.9053
113,0.2677,0.2421,1.9701,0.2729,0.2574,0.9745
114,0.2677,0.2421,1.9701,0.272,0.2557,1.1058
115,0.268,0.2633,1.9701,0.2712,0.2554,1.2371
116,0.268,0.2633,1.9701,0.2703,0.2551,1.3685
117,0.268,0.2633,1.9701,0.2695,0.2548,1.4998
118,0.2627,0.278,0.9321,0.2683,0.2555,1.562
119,0.2851,0.2665,1.9701,0.2686,0.2555,1.6933
120,0.2851,0.2665,1.9701,0.2686,0.2564,1.7625
121,0.2851,0.2665,1.9701,0.2701,0.2561,1.8317
122,0.2851,0.2665,1.9701,0.2717,0.2555,1.9009
123,0.2851,0.2665,1.9701,0.2729,0.2571,1.9009
124,0.2851,0.2665,1.9701,0.274,0.2587,1.9009
125,0.2851,0.2665,1.9701,0.2755,0.2601,1.9009
126,0.2851,0.2665,1.9701,0.2767,0.2617,1.9009
127,0.2834,0.2664,0.9321,0.2778,0.2634,1.8317
128,0.2545,0.283,0.9321,0.2769,0.2661,1.7625
129,0.2715,0.2804,0.0,0.2771,0.2686,1.6312
130,0.2616,0.2782,0.0,0.2767,0.2696,1.4998
131,0.2569,0.285,0.9321,0.276,0.2711,1.4306
132,0.2789,0.2739,1.9701,0.2767,0.2718,1.4306
133,0.2789,0.2739,1.9701,0.2778,0.2715,1.4998
134,0.2789,0.2739,1.9701,0.2774,0.272,1.4998
135,0.2789,0.2739,1.9701,0.2769,0.2725,1.4998
136,0.2789,0.2739,1.9701,0.2765,0.273,1.4998
137,0.2789,0.2739,1.9701,0.2761,0.2735,1.4998
138,0.2789,0.2739,1.9701,0.2757,0.274,1.4998
139,0.2789,0.2739,1.9701,0.2753,0.2745,1.4998
140,0.2789,0.2739,1.9701,0.2749,0.275,1.4998
141,0.2784,0.2742,0.9321,0.2744,0.2755,1.4306
142,0.2834,0.2654,3.9451,0.2744,0.2754,1.6315
143,0.2834,0.2654,3.9451,0.2764,0.2742,1.8324
144,0.2641,0.2731,1.9701,0.2759,0.2738,1.9637
145,0.2619,0.2739,1.9701,0.2759,0.2735,2.095
146,0.2826,0.2694,3.9451,0.2776,0.2724,2.2959
147,0.2826,0.2694,3.9451,0.2778,0.2721,2.4276
148,0.2826,0.2694,3.9451,0.2781,0.2718,2.5592
149,0.2686,0.2651,3.9451,0.2774,0.2712,2.6909
150,0.2686,0.2651,3.9451,0.2767,0.2707,2.8226
151,0.2686,0.2651,3.9451,0.276,0.2701,2.9542
152,0.2695,0.24,5.9201,0.2754,0.2678,3.2176
153,0.2695,0.24,5.9201,0.2748,0.2656,3.4809
154,0.2874,0.2569,5.9201,0.2753,0.2644,3.7442
155,0.2874,0.2569,5.9201,0.2759,0.2633,4.0076
156,0.2874,0.2569,5.9201,0.2765,0.2621,4.3401
157,0.2874,0.2569,5.9201,0.2768,0.2616,4.4718
158,0.2695,0.24,5.9201,0.2758,0.2599,4.6034
159,0.2874,0.2569,5.9201,0.2774,0.2588,4.8668
160,0.2652,0.2445,5.9201,0.2776,0.2568,5.1301
161,0.2874,0.2569,5.9201,0.2779,0.256,5.2618
162,0.2874,0.2569,5.9201,0.2783,0.2552,5.3934
163,0.2874,0.2569,5.9201,0.2786,0.2543,5.5251
164,0.2695,0.24,5.9201,0.2786,0.2527,5.6568
165,0.2874,0.2569,5.9201,0.2799,0.2521,5.7884
166,0.2695,0.24,5.9201,0.28,0.2504,5.9201
167,0.28,0.282,3.9451,0.2807,0.2532,5.7884
168,0.2834,0.273,3.9451,0.2816,0.2554,5.6568
169,0.2834,0.273,3.9451,0.2813,0.2565,5.5251
170,0.2834,0.273,3.9451,0.281,0.2576,5.3934
