,x,y,rmag,f_x,f_y,f_rot_mag
96,-0.1154,-0.3177,12.0002,-0.1265,-0.3064,11.199
97,-0.1154,-0.3177,12.0002,-0.1248,-0.3067,11.2791
98,-0.1154,-0.3177,12.0002,-0.123,-0.307,11.2791
99,-0.1154,-0.3177,12.0002,-0.1234,-0.3071,11.2791
100,-0.1154,-0.3177,12.0002,-0.1213,-0.3073,11.3592
101,-0.1154,-0.3177,12.0002,-0.1203,-0.3091,11.4394
102,-0.1154,-0.3177,12.0002,-0.1197,-0.3106,11.5195
103,-0.1154,-0.3177,12.0002,-0.1189,-0.3112,11.5996
104,-0.1154,-0.3177,12.0002,-0.1181,-0.3118,11.6797
105,-0.1154,-0.3177,12.0002,-0.1174,-0.3133,11.7598
106,-0.1154,-0.3177,12.0002,-0.1167,-0.3148,11.84
107,-0.1154,-0.3177,12.0002,-0.1161,-0.3162,11.9201
108,-0.1154,-0.3177,12.0002,-0.1154,-0.3177,12.0002
109,-0.1154,-0.3177,12.0002,-0.1154,-0.3177,12.0002
110,-0.1154,-0.3177,12.0002,-0.1154,-0.3177,12.0002
111,-0.1154,-0.3177,12.0002,-0.1154,-0.3177,12.0002
112,-0.1154,-0.3177,12.0002,-0.1154,-0.3177,12.0002
113,-0.1154,-0.3177,12.0002,-0.1154,-0.3177,12.0002
114,-0.1154,-0.3177,12.0002,-0.1154,-0.3177,12.0002
115,-0.1154,-0.3177,12.0002,-0.1154,-0.3177,12.0002
116,-0.1416,-0.326,10.7984,-0.1171,-0.3183,11.9201
117,-0.1307,-0.2971,10.7984,-0.1182,-0.3169,11.84
118,-0.1307,-0.2971,10.7984,-0.1192,-0.3155,11.7598
119,-0.1307,-0.2971,10.7984,-0.1202,-0.3141,11.6797
120,-0.1307,-0.2971,10.7984,-0.1212,-0.3128,11.5996
121,-0.1307,-0.2971,10.7984,-0.1222,-0.3114,11.5195
122,-0.1457,-0.2838,10.091,-0.1243,-0.3091,11.3922
123,-0.1476,-0.33,10.7984,-0.1264,-0.3099,11.3121
124,-0.1476,-0.33,10.7984,-0.1286,-0.3108,11.232
125,-0.1566,-0.3253,10.7984,-0.1313,-0.3113,11.1518
126,-0.1388,-0.2999,10.7984,-0.1329,-0.3101,11.0717
127,-0.1605,-0.3278,12.0002,-0.1359,-0.3108,11.0717
128,-0.1605,-0.3278,12.0002,-0.1389,-0.3114,11.0717
129,-0.1594,-0.321,12.0002,-0.1418,-0.3117,11.0717
130,-0.1594,-0.321,12.0002,-0.1447,-0.3119,11.0717
131,-0.1594,-0.321,12.0002,-0.1459,-0.3115,11.1518
132,-0.1605,-0.3278,12.0002,-0.1479,-0.3136,11.232
133,-0.1605,-0.3278,12.0002,-0.1499,-0.3156,11.3121
134,-0.1388,-0.2999,10.7984,-0.1504,-0.3158,11.3121
135,-0.1388,-0.2999,10.7984,-0.151,-0.316,11.3121
136,-0.1512,-0.2851,10.091,-0.1524,-0.3152,11.2649
137,-0.1566,-0.3253,10.7984,-0.1531,-0.318,11.3121
138,-0.1566,-0.3253,10.7984,-0.1537,-0.3177,11.3121
139,-0.1249,-0.317,10.091,-0.1522,-0.3168,11.2649
140,-0.1566,-0.3253,10.7984,-0.1522,-0.3168,11.2649
141,-0.1249,-0.317,10.091,-0.1512,-0.3179,11.2178
142,-0.1249,-0.317,10.091,-0.1489,-0.3172,11.0905
143,-0.1566,-0.3253,10.7984,-0.1486,-0.317,11.0104
144,-0.1566,-0.3253,10.7984,-0.1484,-0.3173,10.9302
145,-0.1512,-0.2851,10.091,-0.1479,-0.3149,10.803
146,-0.1566,-0.3253,10.7984,-0.1477,-0.3152,10.7228
147,-0.1566,-0.3253,10.7984,-0.1474,-0.3151,10.6427
148,-0.1388,-0.2999,10.7984,-0.146,-0.3132,10.5626
149,-0.1388,-0.2999,10.7984,-0.146,-0.3132,10.5626
150,-0.1512,-0.2851,10.091,-0.1468,-0.3122,10.5154
151,-0.1388,-0.2999,10.7984,-0.146,-0.3132,10.5626
152,-0.1388,-0.2999,10.7984,-0.1448,-0.3115,10.5626
153,-0.1388,-0.2999,10.7984,-0.1436,-0.3098,10.5626
