,x,y,rmag,f_x,f_y,f_rot_mag
0,-0.0,0.0,0.0,0,0,0
1,-0.0,0.0,0.0,0,0,0
2,-0.0,0.0,0.0,0,0,0
3,-0.0,0.0,0.0,0,0,0
4,-0.0,0.0,0.0,0,0,0
5,-0.0,0.0,0.0,0,0,0
6,-0.0,0.0,0.0,0,0,0
7,-0.0,0.0,0.0,0,0,0
8,-0.0,0.0,0.0,0,0,0
9,-0.0,0.0,0.0,0,0,0
10,-0.0,0.0,0.0,0,0,0
11,-0.0,0.0,0.0,0,0,0
12,-0.0,0.0,0.0,0,0,0
13,-0.0,0.0,0.0,0,0,0
14,-0.0,0.0,0.0,0.0,0.0,0.0
15,-0.0,0.0,0.0,0.0,0.0,0.0
16,-0.0,0.0,0.0,0.0,0.0,0.0
17,-0.0,0.0,0.0,0.0,0.0,0.0
18,-0.0,0.0,0.0,0.0,0.0,0.0
19,-0.0,0.0,0.0,0.0,0.0,0.0
20,-0.0,0.0,0.0,0.0,0.0,0.0
21,-0.0,0.0,0.0,0.0,0.0,0.0
22,-0.0,0.0,0.0,0.0,0.0,0.0
23,-0.0,0.0,0.0,0.0,0.0,0.0
24,-0.0046,-0.0073,0.0,-0.0003,-0.0005,0.0
25,-0.0033,-0.0083,3.0561,-0.0005,-0.001,0.2037
26,-0.001,-0.0211,5.0274,-0.0006,-0.0024,0.5389
27,-0.0042,-0.0103,6.9776,-0.0009,-0.0031,1.0041
28,0.0036,-0.0178,6.9776,-0.0006,-0.0043,1.4692
29,0.0009,0.0066,8.9025,-0.0006,-0.0039,2.0627
30,0.0151,0.0021,13.2307,0.0004,-0.0037,2.9448
31,0.0096,-0.0051,13.2307,0.0011,-0.0041,3.8268
32,0.0208,0.0063,16.3779,0.0025,-0.0037,4.9187
33,0.0031,0.015,18.2211,0.0027,-0.0027,6.1334
34,0.0083,0.0211,20.0173,0.0032,-0.0013,7.4679
35,0.0294,0.0216,20.8299,0.0052,0.0002,8.8566
36,0.0093,0.0299,22.6199,0.0058,0.0022,10.3646
37,0.0114,0.0255,22.6199,0.0066,0.0039,11.8726
38,0.0114,0.0255,22.6199,0.0073,0.0056,13.3806
39,0.02,0.0317,22.6199,0.009,0.0082,14.8886
40,0.0096,0.0332,24.3556,0.0098,0.0109,16.3085
41,0.0091,0.0346,25.6786,0.0105,0.0147,17.6853
42,0.0091,0.0346,25.6786,0.0114,0.0177,18.932
43,0.0052,0.0277,25.3036,0.0115,0.0207,20.1537
44,0.0052,0.0277,25.3036,0.0118,0.0221,21.2471
45,0.016,0.03,25.3036,0.0118,0.024,22.052
46,0.0081,0.0394,27.0186,0.0117,0.0269,22.9712
47,0.0202,0.0424,29.7449,0.0117,0.0293,23.8623
48,0.0119,0.0572,29.7449,0.0123,0.0321,24.6306
49,0.0057,0.0428,34.1019,0.0121,0.0336,25.5696
50,0.0097,0.0456,34.1019,0.0108,0.0352,26.4544
51,0.0102,0.0374,32.7292,0.0109,0.0357,27.1283
